,model,score
0,google/vit-base-patch16-224,0.3860316637528959
1,IDEA-CCNL/Taiyi-vit-87M-D,0.3938305296929842
2,facebook/deit-base-patch16-224,0.41031084855135275
3,facebook/deit-base-distilled-patch16-224,0.3923358996215434
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.35844377707192054
5,facebook/convnext-small-224,0.43214928759202725
6,microsoft/beit-base-patch16-224,0.35729335528429584
7,facebook/convnext-tiny-224,0.4135343690973123
8,Visual-Attention-Network/van-small,0.4097242107514393
9,WinKawaks/vit-small-patch16-224,0.37340105197299495
10,facebook/deit-small-distilled-patch16-224,0.36395474488684626
11,Visual-Attention-Network/van-base,0.3961547551369916
12,facebook/deit-small-patch16-224,0.4054668130394732
13,WinKawaks/vit-tiny-patch16-224,0.3419707690318581
14,Visual-Attention-Network/van-tiny,0.38175103439816654
15,facebook/deit-tiny-distilled-patch16-224,0.36573969053437194
16,facebook/deit-tiny-patch16-224,0.35275430791886414
17,Visual-Attention-Network/van-large,0.41423815055148744
18,google/vit-base-patch32-384,0.3846146459839106
19,lysandre/tiny-vit-random,0.32806576466018306
20,microsoft/beit-base-patch16-224-pt22k,0.37471546906418524
21,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.4136469085059937
22,karthiksv/vit-base-patch16-224-cifar10,0.38493045047167374
23,nateraw/vit-base-patch16-224-cifar10,0.3739102369945082
24,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.38189676027509945
25,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.3969123091921552
26,jadohu/BEiT-finetuned,0.36608942258828775
27,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.4285780611066336
28,nateraw/vit-base-beans-demo,0.3637284996771807
29,nickmuchi/vit-base-beans,0.38071054932163056
30,karthiksv/vit-base-beans,0.39200494672069147
31,nateraw/vit-base-beans-demo-v3,0.3781539294833955
32,johnnydevriese/vit_beans,0.3870396503819584
33,nateraw/vit-base-beans-demo-v2,0.39135621273804944
34,mmekias/vit-base-beans,0.39120188253070687
35,nateraw/vit-base-beans,0.4015642822111179
36,mrm8488/convnext-tiny-finetuned-beans,0.3957810359532818
37,nielsr/vit-finetuned-eurosat-kornia,0.39014985609651837
38,mrm8488/convnext-tiny-finetuned-eurosat,0.4053430639751451
39,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.3969513363226254
40,Calin/convnext-tiny-finteuned-eurosat,0.39564387932566575
41,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.39254043312147435
42,nielsr/convnext-tiny-finetuned-eurostat,0.39408229026009756
43,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.39495936356488137
44,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4045627943982036
45,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.38855788670155095
46,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.3790110131757139
47,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.3883979586895701
48,nielsr/convnext-tiny-finetuned-eurosat,0.4151955855478559
49,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.39691759385656633
50,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.3943178281271518
51,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4063513150887156
52,nielsr/van-base-finetuned-eurosat-imgaug,0.4001045130329182
53,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.399871061819713
54,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4154021183148999
55,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.3808780693052838
56,eren23/pneumonia_test_attempt,0.38244724083440884
57,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.38868210264948333
58,nickmuchi/vit-base-xray-pneumonia,0.3563012224351578
59,nickmuchi/vit-finetuned-cats-dogs,0.376103487868616
60,ismgar01/vit-base-cats-vs-dogs,0.37633060766017723
61,akahana/vit-base-cats-vs-dogs,0.35463624565508284
62,nateraw/vit-base-cats-vs-dogs,0.3783187201311178
63,nateraw/test_model_a,0.2983910122993813
64,matteopilotto/vit-base-patch16-224-in21k-snacks,0.38725960353997396
65,Matthijs/snacks-classifier,0.40062112049357773
66,nateraw/vit-base-food101,0.3875748674581907
67,eslamxm/vit-base-food101,0.37688067007962184
68,SriramSridhar78/sriram-car-classifier,0.40543047900463447
69,imjeffhi/pokemon_classifier,0.38028678567362206
70,AkshatSurolia/ViT-FaceMask-Finetuned,0.3416700104754426
71,AkshatSurolia/BEiT-FaceMask-Finetuned,0.346970072694719
72,AkshatSurolia/DeiT-FaceMask-Finetuned,0.3850043724826182
73,Ahmed9275/Vit-Cifar100,0.41629476297606915
