,model,score
0,firebolt/llama_or_what2,0.8971704415123163
1,google/vit-base-patch16-224,0.9139311963975761
2,nateraw/denver-nyc-paris,0.913592859592462
3,black/simple_kitchen,0.9127707762110829
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8915977904055049
5,Suzana/new-york-tokyo-london,0.8968915655372888
6,filipafcastro/beer_vs_wine,0.8842941110261577
7,nateraw/baked-goods,0.913592859592462
8,ajanco/greens,0.8806788497440255
9,nateraw/vit-base-beans-demo,0.8973824452135111
10,HHousen/household-rooms,0.8979872987563944
11,Amrrs/indian-foods,0.8968915655372888
12,nateraw/planes-trains-automobiles,0.9118147170830402
13,julien-c/hotdog-not-hotdog,0.8974854173009416
14,jmarshall/rare-puppers,0.8968915655372888
15,nielsr/vit-finetuned-eurosat-kornia,0.8968445458684289
16,eren23/pneumonia_test_attempt,0.8982837454123489
17,micole66/dwarf-goats,0.8816547136410608
18,nateraw/ex-for-evan,0.8968915655372888
19,karthiksv/vit-base-patch16-224-cifar10,0.8832712274602628
20,ferdinand/rare-puppers,0.8972228554964086
21,ipvikas/rare-puppers,0.8968915655372888
22,Frodnar/bee-likes,0.8979872987563944
23,nickmuchi/vit-base-beans,0.8973824452135111
24,nateraw/baseball-stadium-foods,0.9123333902784928
25,Giuliano/places,0.8968915655372888
26,firas-spanioli/beer-whisky-wine-detection,0.8968915655372888
27,jjhoffstein/lotr,0.8942521681521918
28,Nonem100/Test-Model,0.8968915655372888
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8968915655372888
30,LorenzoDeMattei/lawn-weeds,0.8963127620620803
31,nateraw/doggos-lol,0.8968915655372888
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8984978476564165
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8796715362464197
34,karthiksv/vit-base-beans,0.8975534688783533
35,Symbermine/rare-puppers,0.8968915655372888
36,nateraw/vit-base-patch16-224-cifar10,0.8968445458684289
37,gatecitypreservation/architectural_styles,0.8806788497440255
38,Amrrs/south-indian-foods,0.8979872987563944
39,hafidber/fruits,0.8968915655372888
40,nateraw/rare-puppers-123,0.8968915655372888
41,Aftabhussain/Tomato_Leaf_Classifier,0.897867429434324
42,nickmuchi/vit-base-xray-pneumonia,0.9134802778403701
43,Neto71/sea_mammals,0.8965095534039063
44,lewtun/oz-fauna,0.8979872987563944
45,hgarg/fruits,0.8968915655372888
46,jasmeen/dogs,0.8968915655372888
47,b25mayank3/shirt_identifier,0.9127707762110829
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.9139861345997295
49,facebook/convnext-base-224-22k,0.8942184550314437
50,nickmuchi/vit-finetuned-cats-dogs,0.912731242245049
51,godiec/diam,0.9123333902784928
52,Rajaram1996/FacialEmoRecog,0.8973824452135111
53,nateraw/vit-base-beans-demo-v3,0.8973824452135111
54,firebolt/llama_or_what,0.8891764363541099
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8917688140703471
56,johnnydevriese/vit_beans,0.8975534688783533
57,nateraw/vit-age-classifier,0.8833457911584601
58,nateraw/vit-base-beans-demo-v2,0.9118892807812375
59,mmekias/vit-base-beans,0.8975534688783533
60,juanfiguera/ice_cream,0.8981463054093516
61,drab/Infrastructures,0.8968915655372888
62,nateraw/vit-base-beans,0.8838091268053447
63,Sena/dog,0.8833182471291225
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.897867429434324
65,hafidber/rare-puppers,0.8968915655372888
66,edixo/road_good_damaged_condition,0.897867429434324
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8968915655372888
68,Sena/flowers,0.8971704415123163
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8969191095666262
70,johnnydevriese/vit-airplanes,0.9123333902784928
71,nateraw/pasta-shapes,0.8968915655372888
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.884465134691
73,hgarg/indian-snacks,0.8942521681521918
74,nateraw/vit-base-food101,0.8964282298904039
75,Hijazzi/rare-puppers,0.8833182471291225
76,nateraw/trainer-rare-puppers,0.897064165312834
77,ibombonato/vit-age-classifier,0.894925545760765
78,nateraw/rare-puppers-new-auth,0.8968915655372888
79,SriramSridhar78/sriram-car-classifier,0.9125831489151834
80,ismgar01/vit-base-cats-vs-dogs,0.9064187120233863
81,nateraw/rare-puppers,0.8968915655372888
82,iyzg/computer-stuff,0.912504413943335
83,nateraw/huggingpics-package-demo-2,0.8968915655372888
84,imjeffhi/pokemon_classifier,0.8958136519264176
85,nateraw/pasta-pizza-ravioli,0.8968915655372888
86,akahana/vit-base-cats-vs-dogs,0.912731242245049
87,nateraw/donut-or-bagel,0.9094864604808677
88,nateraw/rare-puppers-09-04-2021,0.8814957069881036
89,nateraw/vit-base-cats-vs-dogs,0.8977057334818699
90,Zayn/VIT_Basic,0.9118147170830402
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8966735222035866
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.89742387513518
93,microsoft/swin-large-patch4-window7-224-in22k,0.9181294199645282
94,Ahmed9275/Vit-Cifar100,0.8831002037954205
95,driboune/skin_type,0.8989631626534298
96,microsoft/swin-base-patch4-window7-224-in22k,0.9015038257814283
97,facebook/deit-base-patch16-224,0.8984978476564165
98,facebook/deit-base-distilled-patch16-224,0.9020714940818481
99,eslamxm/vit-base-food101,0.8929920281398803
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8986722753781313
101,facebook/convnext-base-224,0.8926000905086653
102,facebook/convnext-small-224,0.8957134127158224
103,microsoft/swin-base-patch4-window7-224,0.8868363162879987
104,microsoft/beit-base-patch16-224,0.7999439918429213
105,mrm8488/convnext-tiny-finetuned-eurosat,0.8852194335383757
106,mrm8488/convnext-tiny-finetuned-beans,0.8788217481196008
107,facebook/convnext-tiny-224,0.8990156271342478
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8787654007383529
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8187036709318615
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.8969108713053373
111,Calin/convnext-tiny-finteuned-eurosat,0.894004405666508
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8999483203350246
113,Visual-Attention-Network/van-small,0.8740866698723417
114,WinKawaks/vit-small-patch16-224,0.8855522570602816
115,facebook/deit-small-distilled-patch16-224,0.8908800977262817
116,Visual-Attention-Network/van-base,0.893905025170894
117,jadohu/BEiT-finetuned,0.8133394796389952
118,nielsr/convnext-tiny-finetuned-eurostat,0.8787654007383529
119,facebook/deit-small-patch16-224,0.8893389793939389
