,model,score
0,google/vit-base-patch16-224,0.8546868535991977
1,IDEA-CCNL/Taiyi-vit-87M-D,0.854686429839281
2,facebook/deit-base-patch16-224,0.8546864333387567
3,facebook/deit-base-distilled-patch16-224,0.8538242837489941
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.854727591959467
5,facebook/convnext-base-224,0.8524317505176121
6,facebook/convnext-small-224,0.872704151822694
7,microsoft/swin-base-patch4-window7-224,0.8533450566403289
8,microsoft/beit-base-patch16-224,0.8547279304120781
9,facebook/convnext-tiny-224,0.8225030877805789
10,Visual-Attention-Network/van-small,0.7475497299705385
11,WinKawaks/vit-small-patch16-224,0.7934870682109789
12,facebook/deit-small-distilled-patch16-224,0.795388468220523
13,Visual-Attention-Network/van-base,0.8143097410785475
14,facebook/deit-small-patch16-224,0.7934870508395095
15,microsoft/swin-small-patch4-window7-224,0.8721405100789102
16,Ahmed9275/ALL-3,0.8213173501175876
17,facebook/convnext-large-224,0.9137827997693984
18,WinKawaks/vit-tiny-patch16-224,0.6916137300918744
19,Visual-Attention-Network/van-tiny,0.6794126803192981
20,facebook/deit-tiny-distilled-patch16-224,0.693053972046123
21,Ahmed9275/ALL-test,0.8213174826458443
22,facebook/deit-tiny-patch16-224,0.691613735505792
23,microsoft/swin-tiny-patch4-window7-224,0.8213174806720194
24,Visual-Attention-Network/van-large,0.8661223453910479
25,google/vit-base-patch32-384,0.8527572640254971
26,facebook/convnext-base-224-22k-1k,0.852432091467877
27,google/vit-large-patch32-384,0.8054821170641393
28,microsoft/swin-large-patch4-window7-224,0.9134865252337594
29,lysandre/tiny-vit-random,0.6473701834299993
30,facebook/convnext-large-224-22k-1k,0.9137829189617721
31,facebook/convnext-base-384,0.8524324006929768
32,microsoft/resnet-50,0.8098947619902348
33,microsoft/beit-base-patch16-224-pt22k,0.8556975023125175
34,microsoft/beit-large-patch16-224,0.8039471122116808
35,google/vit-large-patch16-224,0.8038827383320065
36,nielsr/convnext-xlarge-224-22k-1k,0.8883896453770803
37,facebook/deit-base-patch16-384,0.8543602867057595
38,google/vit-base-patch16-384,0.8543602682935618
39,facebook/deit-base-distilled-patch16-384,0.8534995659380022
40,facebook/convnext-xlarge-224-22k-1k,0.8883895702284563
41,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8555412380924003
42,karthiksv/vit-base-patch16-224-cifar10,0.8555412409842802
43,nateraw/vit-base-patch16-224-cifar10,0.8555412331256136
44,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8555412388250467
45,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8555411594055997
46,jadohu/BEiT-finetuned,0.8555824000628219
47,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8555411543498912
48,nateraw/vit-base-beans-demo,0.8555472800721948
49,nickmuchi/vit-base-beans,0.8555472392998517
50,karthiksv/vit-base-beans,0.8555472048701467
51,nateraw/vit-base-beans-demo-v3,0.8555471908448954
52,johnnydevriese/vit_beans,0.8555472015315598
53,nateraw/vit-base-beans-demo-v2,0.8555475616418511
54,mmekias/vit-base-beans,0.8555472462652939
55,nateraw/vit-base-beans,0.8555473090114835
56,mrm8488/convnext-tiny-finetuned-beans,0.8194525736131922
57,nielsr/vit-finetuned-eurosat-kornia,0.8555411451115641
58,mrm8488/convnext-tiny-finetuned-eurosat,0.8194742759380217
59,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8194742961027952
60,Calin/convnext-tiny-finteuned-eurosat,0.8194742631934837
61,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8194744752190398
62,nielsr/convnext-tiny-finetuned-eurostat,0.8194742971452883
63,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8182526410650408
64,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.818252518700849
65,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.818252513820107
66,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8182525137429117
67,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8182524896947322
68,nielsr/convnext-tiny-finetuned-eurosat,0.8194744729996029
69,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8182524854914458
70,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8182525141058368
71,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8182526370779565
72,nielsr/van-base-finetuned-eurosat-imgaug,0.8121376270174023
73,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8182524921671324
74,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8182526284501161
75,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8182524855119581
76,eren23/pneumonia_test_attempt,0.8555480602415789
77,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.85554799282304
78,nickmuchi/vit-base-xray-pneumonia,0.8555484777826197
79,facebook/convnext-base-224-22k,0.8350322740258815
80,microsoft/swin-large-patch4-window7-224-in22k,0.8932488168967968
81,microsoft/swin-base-patch4-window7-224-in22k,0.8353633044387908
82,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8391610981204358
83,facebook/convnext-large-224-22k,0.8914338371200015
84,facebook/convnext-xlarge-224-22k,0.9701632725656293
85,microsoft/swin-base-patch4-window12-384-in22k,0.8353072806119369
86,microsoft/beit-large-patch16-224-pt22k-ft22k,0.8318201573464189
87,nielsr/convnext-xlarge-224-22k,0.9701633573520829
88,nickmuchi/vit-finetuned-cats-dogs,0.8555484972013945
89,ismgar01/vit-base-cats-vs-dogs,0.8555483982266229
90,akahana/vit-base-cats-vs-dogs,0.8555484766612483
91,nateraw/vit-base-cats-vs-dogs,0.8555481483686432
92,nateraw/test_model_a,0.647099594484863
93,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8555325823196354
94,Matthijs/snacks-classifier,0.8182839017968291
95,nateraw/vit-base-food101,0.8554624955730293
96,eslamxm/vit-base-food101,0.855462438510287
97,SriramSridhar78/sriram-car-classifier,0.8553808090290747
98,imjeffhi/pokemon_classifier,0.8547744707844539
99,AkshatSurolia/ViT-FaceMask-Finetuned,0.8555480827531654
100,AkshatSurolia/BEiT-FaceMask-Finetuned,0.8556971460754467
101,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8555464258976172
102,Ahmed9275/Vit-Cifar100,0.8554634538775342
