,model,score
0,firebolt/llama_or_what2,0.8662745533615577
1,google/vit-base-patch16-224,0.8656139740217963
2,nateraw/denver-nyc-paris,0.8662753699496581
3,black/simple_kitchen,0.8662753732014871
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8662705137876889
5,Suzana/new-york-tokyo-london,0.8662752433471037
6,filipafcastro/beer_vs_wine,0.8662759319645255
7,nateraw/baked-goods,0.8662753902215647
8,ajanco/greens,0.8662739163493748
9,nateraw/vit-base-beans-demo,0.8662752437892409
10,HHousen/household-rooms,0.8662738667652954
11,Amrrs/indian-foods,0.8662738607916971
12,nateraw/planes-trains-automobiles,0.8662753453250637
13,julien-c/hotdog-not-hotdog,0.8662759145757424
14,jmarshall/rare-puppers,0.8662752379958469
15,nielsr/vit-finetuned-eurosat-kornia,0.866270479433217
16,eren23/pneumonia_test_attempt,0.8662758889374325
17,micole66/dwarf-goats,0.8662759374030852
18,nateraw/ex-for-evan,0.866274557070909
19,karthiksv/vit-base-patch16-224-cifar10,0.8662705148546685
20,ferdinand/rare-puppers,0.8662752118720998
21,ipvikas/rare-puppers,0.8662752382775022
22,Frodnar/bee-likes,0.8662752126865165
23,nickmuchi/vit-base-beans,0.8662752287332364
24,nateraw/baseball-stadium-foods,0.8662740342113164
25,Giuliano/places,0.8662752299039226
26,firas-spanioli/beer-whisky-wine-detection,0.8662752310654436
27,jjhoffstein/lotr,0.8662738931422727
28,Nonem100/Test-Model,0.8662738932759981
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8662745563218636
30,LorenzoDeMattei/lawn-weeds,0.8662752462977804
31,nateraw/doggos-lol,0.8662752171381088
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8656138205577589
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.866275863949869
34,karthiksv/vit-base-beans,0.8662752160008421
35,Symbermine/rare-puppers,0.8662738621498207
36,nateraw/vit-base-patch16-224-cifar10,0.8662705119560696
37,gatecitypreservation/architectural_styles,0.8662739147484799
38,Amrrs/south-indian-foods,0.866273859155048
39,hafidber/fruits,0.8662738607180978
40,nateraw/rare-puppers-123,0.8662752460121915
41,Aftabhussain/Tomato_Leaf_Classifier,0.8662759208163995
42,nickmuchi/vit-base-xray-pneumonia,0.8662760422808302
43,Neto71/sea_mammals,0.8662752380099432
44,lewtun/oz-fauna,0.8662738591842689
45,hgarg/fruits,0.866273865584868
