,model,score
0,firebolt/llama_or_what2,0.8740880322063378
1,google/vit-base-patch16-224,0.8726534386284848
2,nateraw/denver-nyc-paris,0.8740899512710995
3,black/simple_kitchen,0.8740899623118964
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.874079414782297
5,Suzana/new-york-tokyo-london,0.8740895242035841
6,filipafcastro/beer_vs_wine,0.8740910115928424
7,nateraw/baked-goods,0.874090020166158
8,ajanco/greens,0.8740867177564084
9,nateraw/vit-base-beans-demo,0.8740895256859293
10,HHousen/household-rooms,0.8740865515293934
11,Amrrs/indian-foods,0.8740865315582622
12,nateraw/planes-trains-automobiles,0.8740898677786079
13,julien-c/hotdog-not-hotdog,0.8740909532848266
14,jmarshall/rare-puppers,0.8740895062714488
15,nielsr/vit-finetuned-eurosat-kornia,0.8740792997626685
16,eren23/pneumonia_test_attempt,0.8740908674958144
17,micole66/dwarf-goats,0.8740910298495659
18,nateraw/ex-for-evan,0.8740880446280752
19,karthiksv/vit-base-patch16-224-cifar10,0.8740794183595925
20,ferdinand/rare-puppers,0.874089418859254
21,ipvikas/rare-puppers,0.8740895072152426
22,Frodnar/bee-likes,0.874089421581452
23,nickmuchi/vit-base-beans,0.8740894752511634
24,nateraw/baseball-stadium-foods,0.8740871161957093
25,Giuliano/places,0.8740894791715089
26,firas-spanioli/beer-whisky-wine-detection,0.8740894830602349
27,jjhoffstein/lotr,0.87408663985543
28,Nonem100/Test-Model,0.8740866403038646
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8740880421202396
30,LorenzoDeMattei/lawn-weeds,0.8740895340968619
31,nateraw/doggos-lol,0.8740894364621853
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8726529135085065
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8740907840885159
34,karthiksv/vit-base-beans,0.8740894326603414
35,Symbermine/rare-puppers,0.8740865360988256
36,nateraw/vit-base-patch16-224-cifar10,0.8740794086386205
37,gatecitypreservation/architectural_styles,0.8740867123759034
38,Amrrs/south-indian-foods,0.8740865260888679
39,hafidber/fruits,0.8740865313118452
40,nateraw/rare-puppers-123,0.8740895331388391
41,Aftabhussain/Tomato_Leaf_Classifier,0.8740909741988008
42,nickmuchi/vit-base-xray-pneumonia,0.8740913838715255
43,Neto71/sea_mammals,0.8740895063176412
44,lewtun/oz-fauna,0.8740865261872095
45,hgarg/fruits,0.8740865475834421
46,jasmeen/dogs,0.8740895334966796
47,b25mayank3/shirt_identifier,0.8740884908120378
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.87409139428025
49,facebook/convnext-base-224-22k,0.8406510448759862
50,nickmuchi/vit-finetuned-cats-dogs,0.874091407879122
51,godiec/diam,0.8740885631290018
52,Rajaram1996/FacialEmoRecog,0.8740822104491204
53,nateraw/vit-base-beans-demo-v3,0.8740894153099505
54,firebolt/llama_or_what,0.8740880900699686
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8740794156886592
56,johnnydevriese/vit_beans,0.8740894285302072
57,nateraw/vit-age-classifier,0.8740808646314998
58,nateraw/vit-base-beans-demo-v2,0.8740898738973715
59,mmekias/vit-base-beans,0.8740894838677447
60,juanfiguera/ice_cream,0.874090886210257
61,drab/Infrastructures,0.8740894972024944
62,nateraw/vit-base-beans,0.8740895614811504
63,Sena/dog,0.8740895484062753
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8740908742853384
65,hafidber/rare-puppers,0.874089493850816
66,edixo/road_good_damaged_condition,0.87409097967023
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8740895214062767
68,Sena/flowers,0.8740865594772508
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8740649411451565
70,johnnydevriese/vit-airplanes,0.8740899310829885
71,nateraw/pasta-shapes,0.874089497230436
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8740909955106421
73,hgarg/indian-snacks,0.8740866342895383
74,nateraw/vit-base-food101,0.8739477641816709
75,Hijazzi/rare-puppers,0.8740895398465564
76,nateraw/trainer-rare-puppers,0.8740895339116219
77,ibombonato/vit-age-classifier,0.8740794102740204
78,nateraw/rare-puppers-new-auth,0.8740894831480809
79,SriramSridhar78/sriram-car-classifier,0.873811035149428
80,ismgar01/vit-base-cats-vs-dogs,0.8740912855089025
81,nateraw/rare-puppers,0.8740895325341341
82,iyzg/computer-stuff,0.8740870529118383
83,nateraw/huggingpics-package-demo-2,0.8740894442645895
84,imjeffhi/pokemon_classifier,0.872799495645308
85,nateraw/pasta-pizza-ravioli,0.8740895232923185
86,akahana/vit-base-cats-vs-dogs,0.8740913824852272
87,nateraw/donut-or-bagel,0.8740912905868882
88,nateraw/rare-puppers-09-04-2021,0.8740895486479034
89,nateraw/vit-base-cats-vs-dogs,0.8740909765098751
90,Zayn/VIT_Basic,0.8740869798858797
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8740793174458018
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8740908953440171
93,microsoft/swin-large-patch4-window7-224-in22k,0.889583280558965
94,Ahmed9275/Vit-Cifar100,0.8739493256091709
95,driboune/skin_type,0.8740909227290525
96,microsoft/swin-base-patch4-window7-224-in22k,0.8412268367742517
97,facebook/deit-base-patch16-224,0.8726529178463786
98,facebook/deit-base-distilled-patch16-224,0.8712206836960639
99,eslamxm/vit-base-food101,0.8739476935731901
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8727214352206862
101,facebook/convnext-base-224,0.8689202044152176
102,facebook/convnext-small-224,0.9170093496321177
103,microsoft/swin-base-patch4-window7-224,0.8704272022165922
104,microsoft/beit-base-patch16-224,0.8727218545867983
105,mrm8488/convnext-tiny-finetuned-eurosat,0.8588504380364934
106,mrm8488/convnext-tiny-finetuned-beans,0.8588240272867778
107,facebook/convnext-tiny-224,0.8625271170760476
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8588504586875936
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8474826644118277
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.8588204123328125
111,Calin/convnext-tiny-finteuned-eurosat,0.8588504249836811
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8588506420339578
113,Visual-Attention-Network/van-small,0.7688072390315966
114,WinKawaks/vit-small-patch16-224,0.826775756784847
115,facebook/deit-small-distilled-patch16-224,0.8291475423027356
116,Visual-Attention-Network/van-base,0.8525455024863392
117,jadohu/BEiT-finetuned,0.8741483041377843
118,nielsr/convnext-tiny-finetuned-eurostat,0.8588504597552656
119,facebook/deit-small-patch16-224,0.8267757393717663
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.85736290640737
121,microsoft/swin-small-patch4-window7-224,0.9166562603437728
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8573627812856476
123,Ahmed9275/ALL-3,0.8610897344833022
124,facebook/convnext-large-224,0.9240599325754526
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8573627762930325
126,WinKawaks/vit-tiny-patch16-224,0.6974883227553055
127,Visual-Attention-Network/van-tiny,0.6819224224971335
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8573627762142771
129,facebook/deit-tiny-distilled-patch16-224,0.6993262799264217
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8573627516147718
131,nielsr/convnext-tiny-finetuned-eurosat,0.858850639763058
132,ibombonato/swin-age-classifier,0.8573629097451658
133,Ahmed9275/ALL-test,0.8610898703840237
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8573627473149458
