,model,score
0,Rajaram1996/FacialEmoRecog,0.9734142
1,Matthijs/snacks-classifier,0.9574989
2,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9472389
3,ibombonato/swin-age-classifier,0.94464886
4,ibombonato/vit-age-classifier,0.94583964
5,nateraw/vit-age-classifier,0.94456416
6,karthiksv/vit-base-beans,0.9490057
7,nateraw/vit-base-beans-demo-v3,0.9537339
8,nateraw/vit-base-beans-demo-v2,0.9614267
9,mmekias/vit-base-beans,0.98036486
10,johnnydevriese/vit_beans,0.9523754
11,mrm8488/convnext-tiny-finetuned-beans,0.98780423
12,nickmuchi/vit-base-beans,0.9469364
13,nateraw/vit-base-beans-demo,0.9494672
14,nateraw/vit-base-beans,0.9626205
15,ismgar01/vit-base-cats-vs-dogs,0.9607114
16,nateraw/test_model_a,0.00018470283
17,nickmuchi/vit-finetuned-cats-dogs,0.98263013
18,akahana/vit-base-cats-vs-dogs,0.9485659
19,nateraw/vit-base-cats-vs-dogs,0.95821285
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9729652
21,eren23/pneumonia_test_attempt,0.96783453
22,nickmuchi/vit-base-xray-pneumonia,0.96284205
23,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.95542395
24,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9565547
25,jadohu/BEiT-finetuned,0.93369126
26,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9552549
27,karthiksv/vit-base-patch16-224-cifar10,0.9522737
28,nateraw/vit-base-patch16-224-cifar10,0.9587467
29,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.97541666
30,Ahmed9275/Vit-Cifar100,0.928741
31,nielsr/van-base-finetuned-eurosat-imgaug,0.9647472
32,nielsr/vit-finetuned-eurosat-kornia,0.94283426
33,Calin/convnext-tiny-finteuned-eurosat,0.98863083
34,nielsr/convnext-tiny-finetuned-eurostat,0.9801612
35,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.93760705
36,nielsr/convnext-tiny-finetuned-eurosat,0.95602494
37,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.92983836
38,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.9392822
39,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9877137
40,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.94263256
41,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9404078
42,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9342282
43,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9520429
44,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9303296
45,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.94101036
46,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.94786406
47,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.968117
48,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9686981
49,mrm8488/convnext-tiny-finetuned-eurosat,0.9803485
50,eslamxm/vit-base-food101,0.93796664
51,nateraw/vit-base-food101,0.959984
52,julien-c/hotdog-not-hotdog,0.9475745
53,edixo/road_good_damaged_condition,0.95556617
54,jmarshall/rare-puppers,0.94619477
55,nateraw/rare-puppers-09-04-2021,0.9574335
56,Frodnar/bee-likes,0.9432053
57,drab/Infrastructures,0.9536952
58,nateraw/planes-trains-automobiles,0.9681359
59,ferdinand/rare-puppers,0.9423843
60,nateraw/pasta-pizza-ravioli,0.9463991
61,nateraw/donut-or-bagel,0.9551316
62,nateraw/rare-puppers-123,0.9504075
63,iyzg/computer-stuff,0.9599262
64,lewtun/oz-fauna,0.954144
65,nateraw/baked-goods,0.9689522
66,nateraw/pasta-shapes,0.9589999
67,b25mayank3/shirt_identifier,0.95242655
68,nateraw/doggos-lol,0.95224667
69,hgarg/fruits,0.9630486
70,Neto71/sea_mammals,0.95023346
71,juanfiguera/ice_cream,0.9418116
72,HHousen/household-rooms,0.947441
73,nateraw/rare-puppers,0.9581065
74,nateraw/rare-puppers-new-auth,0.94383824
75,Amrrs/south-indian-foods,0.9587604
76,meame2010/rare-puppers,0.94799554
77,black/simple_kitchen,0.94484127
78,AhmedSayeem/VIT_Basic,0.95946294
79,nateraw/huggingpics-package-demo-2,0.95346934
80,driboune/skin_type,0.9388935
81,Suzana/new-york-tokyo-london,0.9448605
82,jeffboudier/vision-transformers-spain-or-italy-fan,0.93481535
83,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.95684266
84,hafidber/rare-puppers,0.95391995
85,Symbermine/rare-puppers,0.9563989
86,jasmeen/dogs,0.9713227
87,nateraw/ex-for-evan,0.95980316
88,nateraw/baseball-stadium-foods,0.97177964
89,mmgyorke/vit-world-landmarks,0.9641985
90,firas-spanioli/beer-whisky-wine-detection,0.96475786
91,hafidber/fruits,0.96079624
92,Amrrs/indian-foods,0.96479493
93,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.959467
94,firebolt/llama_or_what2,0.91698444
95,ipvikas/rare-puppers,0.94698155
96,godiec/diam,0.96510273
97,nateraw/denver-nyc-paris,0.9631824
98,johnnydevriese/vit-airplanes,0.9729816
99,Zayn/VIT_Basic,0.9657872
100,Aftabhussain/Tomato_Leaf_Classifier,0.9685439
101,Giuliano/places,0.9669534
102,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.95633566
103,Sena/flowers,0.94458383
104,flyswot/test,0.9028662
105,LorenzoDeMattei/lawn-weeds,0.9576122
106,Hijazzi/rare-puppers,0.94727963
107,Nonem100/Test-Model,0.9548356
108,Sena/dog,0.9555144
109,ajanco/greens,0.9574779
110,firebolt/llama_or_what,0.93817234
111,filipafcastro/beer_vs_wine,0.968663
112,hgarg/indian-snacks,0.9427185
113,jjhoffstein/lotr,0.94305205
114,gatecitypreservation/architectural_styles,0.94753397
115,micole66/dwarf-goats,0.93914014
116,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.95093465
117,nateraw/rare-puppers-demo,0.946335
118,nateraw/trainer-rare-puppers,0.92695796
119,Visual-Attention-Network/van-tiny,0.9098366
120,Visual-Attention-Network/van-base,0.9632159
121,Ahmed9275/ALL-3,0.9558845
122,facebook/deit-base-distilled-patch16-224,0.91743517
123,facebook/deit-small-distilled-patch16-224,0.96343577
124,facebook/convnext-tiny-224,0.96724445
125,facebook/deit-small-patch16-224,0.9537844
126,mrm8488/data2vec-base-finetuned-imagenet1k,0.8579759
127,WinKawaks/vit-small-patch16-224,0.95384276
128,Ahmed9275/ALL-test,0.9523583
129,facebook/deit-tiny-patch16-224,0.872355
130,facebook/deit-base-patch16-224,0.94942087
131,WinKawaks/vit-tiny-patch16-224,0.8783998
132,facebook/deit-tiny-distilled-patch16-224,0.89733046
133,microsoft/swin-small-patch4-window7-224,0.9324387
134,google/vit-base-patch16-224,0.95701766
135,IDEA-CCNL/Taiyi-vit-87M-D,0.95193666
136,facebook/convnext-small-224,0.97982967
137,lysandre/tiny-vit-random,-0.012866404
138,microsoft/swin-tiny-patch4-window7-224,0.96342033
139,facebook/convnext-base-224,0.9344003
140,microsoft/swin-large-patch4-window7-224,0.9964316
141,microsoft/beit-base-patch16-224-pt22k,0.8898165
142,facebook/convnext-base-224-22k-1k,0.9690226
143,microsoft/beit-base-patch16-224,0.7327955
144,google/vit-large-patch16-224,0.90767324
145,microsoft/beit-large-patch16-224,0.74331814
146,nielsr/convnext-xlarge-224-22k-1k,0.9780023
147,Visual-Attention-Network/van-small,0.96354234
148,microsoft/resnet-50,0.9229772
149,Visual-Attention-Network/van-large,0.9464399
150,microsoft/swin-base-patch4-window7-224,0.9456077
151,facebook/convnext-large-224,0.96260417
152,facebook/convnext-large-224-22k-1k,0.983346
153,facebook/convnext-base-384,0.9820668
154,google/vit-base-patch32-384,0.9193676
155,facebook/deit-base-distilled-patch16-384,0.9613994
156,facebook/deit-base-patch16-384,0.9755998
157,facebook/convnext-xlarge-224-22k-1k,0.98268676
158,google/vit-large-patch32-384,0.94200104
159,google/vit-base-patch16-384,0.98562115
160,microsoft/swin-base-patch4-window7-224-in22k,0.9674854
161,microsoft/beit-base-patch16-224-pt22k-ft22k,0.821615
162,microsoft/swin-large-patch4-window7-224-in22k,1.0062826
163,facebook/convnext-large-224-22k,0.97675484
164,facebook/convnext-xlarge-224-22k,0.97704726
165,nielsr/convnext-xlarge-224-22k,0.9670992
166,microsoft/beit-large-patch16-224-pt22k-ft22k,0.8103459
167,facebook/convnext-base-224-22k,0.96354234
168,microsoft/swin-base-patch4-window12-384-in22k,1.0035851
169,imjeffhi/pokemon_classifier,0.9435385
170,AkshatSurolia/ViT-FaceMask-Finetuned,0.92753553
171,AkshatSurolia/BEiT-FaceMask-Finetuned,0.87198186
172,AkshatSurolia/DeiT-FaceMask-Finetuned,0.9134058
173,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.96819925
174,SriramSridhar78/sriram-car-classifier,0.962275
