,model,score
0,firebolt/llama_or_what2,2.126333
1,google/vit-base-patch16-224,2.1429439
2,nateraw/denver-nyc-paris,2.164207
3,black/simple_kitchen,2.1831834
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,3.5129771
5,Suzana/new-york-tokyo-london,3.472995
6,filipafcastro/beer_vs_wine,3.3945203
7,nateraw/baked-goods,2.2161076
8,ajanco/greens,2.0489972
9,nateraw/vit-base-beans-demo,-0.36024234
10,HHousen/household-rooms,2.0679018
11,Amrrs/indian-foods,3.4850588
12,nateraw/planes-trains-automobiles,3.3577268
13,julien-c/hotdog-not-hotdog,2.0775871
14,jmarshall/rare-puppers,3.500646
15,nielsr/vit-finetuned-eurosat-kornia,1.4349017
16,eren23/pneumonia_test_attempt,2.1572142
17,micole66/dwarf-goats,2.1220179
18,nateraw/ex-for-evan,3.4953594
19,karthiksv/vit-base-patch16-224-cifar10,2.4823458
20,ferdinand/rare-puppers,3.3876393
21,ipvikas/rare-puppers,3.4441123
22,Frodnar/bee-likes,2.053727
23,nickmuchi/vit-base-beans,2.2156303
24,nateraw/baseball-stadium-foods,3.395456
25,Giuliano/places,3.4011583
26,firas-spanioli/beer-whisky-wine-detection,3.4785097
27,jjhoffstein/lotr,2.1697614
28,Nonem100/Test-Model,3.3875492
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,3.5068054
30,LorenzoDeMattei/lawn-weeds,3.3353353
31,nateraw/doggos-lol,3.3983068
32,IDEA-CCNL/Taiyi-vit-87M-D,2.270862
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,3.1948776
34,karthiksv/vit-base-beans,2.4264965
35,Symbermine/rare-puppers,3.493043
36,nateraw/vit-base-patch16-224-cifar10,2.5440633
37,gatecitypreservation/architectural_styles,2.0366204
38,Amrrs/south-indian-foods,2.2194095
39,hafidber/fruits,3.487886
40,nateraw/rare-puppers-123,3.4464464
41,Aftabhussain/Tomato_Leaf_Classifier,3.5191183
42,nickmuchi/vit-base-xray-pneumonia,0.08714802
43,Neto71/sea_mammals,2.110843
44,lewtun/oz-fauna,2.064467
45,hgarg/fruits,3.5149784
46,jasmeen/dogs,3.378225
47,b25mayank3/shirt_identifier,2.0957649
48,jeffboudier/vision-transformers-spain-or-italy-fan,2.189912
49,nickmuchi/vit-finetuned-cats-dogs,3.6171544
50,godiec/diam,3.4185188
51,Rajaram1996/FacialEmoRecog,3.3471818
52,nateraw/vit-base-beans-demo-v3,2.1871512
53,firebolt/llama_or_what,2.1379428
54,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,2.5224652
55,johnnydevriese/vit_beans,2.3911726
56,nateraw/vit-age-classifier,2.0235498
57,nateraw/vit-base-beans-demo-v2,1.9703839
58,mmekias/vit-base-beans,2.382466
59,juanfiguera/ice_cream,2.1122732
60,drab/Infrastructures,3.4827473
61,nateraw/vit-base-beans,3.455291
62,Sena/dog,3.4080856
63,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,-0.056960296
64,hafidber/rare-puppers,3.446953
65,edixo/road_good_damaged_condition,3.4029994
66,AykeeSalazar/vc-bantai-vit-withoutAMBI,3.2007744
67,Sena/flowers,2.161124
68,matteopilotto/vit-base-patch16-224-in21k-snacks,3.0174768
69,johnnydevriese/vit-airplanes,-0.13712601
70,nateraw/pasta-shapes,3.5034869
71,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,2.3899503
72,hgarg/indian-snacks,2.2145097
73,nateraw/vit-base-food101,2.386853
74,Hijazzi/rare-puppers,3.4464464
75,nateraw/trainer-rare-puppers,2.3764396
76,ibombonato/vit-age-classifier,1.7404848
77,nateraw/rare-puppers-new-auth,3.4375553
78,SriramSridhar78/sriram-car-classifier,2.263701
79,ismgar01/vit-base-cats-vs-dogs,3.424136
80,nateraw/rare-puppers,3.3901086
81,iyzg/computer-stuff,3.3877554
82,nateraw/huggingpics-package-demo-2,3.537154
83,imjeffhi/pokemon_classifier,2.8784156
84,nateraw/pasta-pizza-ravioli,3.533271
85,akahana/vit-base-cats-vs-dogs,-0.3587664
86,nateraw/donut-or-bagel,3.5642517
87,nateraw/rare-puppers-09-04-2021,2.0830545
88,nateraw/vit-base-cats-vs-dogs,3.4510736
89,Zayn/VIT_Basic,3.3841813
90,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,3.573683
91,AkshatSurolia/ViT-FaceMask-Finetuned,-0.68883413
92,Ahmed9275/Vit-Cifar100,1.7914819
93,driboune/skin_type,2.166308
94,facebook/deit-base-patch16-224,2.3884118
95,facebook/deit-base-distilled-patch16-224,1.9670991
96,eslamxm/vit-base-food101,1.9137926
97,mrm8488/data2vec-base-finetuned-imagenet1k,0.50417745
98,facebook/convnext-small-224,0.71268827
99,microsoft/beit-base-patch16-224,-0.6874521
100,mrm8488/convnext-tiny-finetuned-eurosat,2.807737
101,mrm8488/convnext-tiny-finetuned-beans,3.3615193
102,facebook/convnext-tiny-224,1.8554312
103,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,3.7252927
104,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.36757135
105,Calin/convnext-tiny-finteuned-eurosat,2.5309923
106,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,2.1240468
107,Visual-Attention-Network/van-small,0.81187373
108,WinKawaks/vit-small-patch16-224,0.7911271
109,facebook/deit-small-distilled-patch16-224,0.025235964
110,Visual-Attention-Network/van-base,-0.041846443
111,jadohu/BEiT-finetuned,-0.38438526
112,nielsr/convnext-tiny-finetuned-eurostat,1.8340377
