,model,score
0,google/vit-base-patch16-224,0.65996265
1,IDEA-CCNL/Taiyi-vit-87M-D,0.6366307
2,facebook/deit-base-patch16-224,0.6230473
3,facebook/deit-base-distilled-patch16-224,0.6915249
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.5650134
5,facebook/convnext-base-224,0.76418245
6,facebook/convnext-small-224,0.7749248
7,microsoft/swin-base-patch4-window7-224,0.7589801
8,microsoft/beit-base-patch16-224,0.6160795
9,facebook/convnext-tiny-224,0.7360965
10,Visual-Attention-Network/van-small,0.7355316
11,WinKawaks/vit-small-patch16-224,0.61583906
12,facebook/deit-small-distilled-patch16-224,0.7008811
13,Visual-Attention-Network/van-base,0.7845731
14,facebook/deit-small-patch16-224,0.62101424
15,microsoft/swin-small-patch4-window7-224,0.7298037
16,Ahmed9275/ALL-3,0.7370436
17,facebook/convnext-large-224,0.8048643
18,WinKawaks/vit-tiny-patch16-224,0.5287239
19,Visual-Attention-Network/van-tiny,0.59727234
20,facebook/deit-tiny-distilled-patch16-224,0.5763028
21,Ahmed9275/ALL-test,0.7378934
22,facebook/deit-tiny-patch16-224,0.5229066
23,microsoft/swin-tiny-patch4-window7-224,0.74022776
24,Visual-Attention-Network/van-large,0.76889
25,google/vit-base-patch32-384,0.6458394
26,facebook/convnext-base-224-22k-1k,0.7889198
27,google/vit-large-patch32-384,0.64488053
28,microsoft/swin-large-patch4-window7-224,0.82256365
29,lysandre/tiny-vit-random,0.07270382
30,facebook/convnext-large-224-22k-1k,0.8451362
31,facebook/convnext-base-384,0.87257814
32,microsoft/resnet-50,0.6402228
33,microsoft/beit-base-patch16-224-pt22k,0.66394126
34,microsoft/beit-large-patch16-224,0.55211264
35,google/vit-large-patch16-224,0.6217114
36,nielsr/convnext-xlarge-224-22k-1k,0.7562561
37,facebook/deit-base-patch16-384,0.74156094
38,google/vit-base-patch16-384,0.7283449
39,facebook/deit-base-distilled-patch16-384,0.82931095
40,facebook/convnext-xlarge-224-22k-1k,0.77098024
41,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.66148525
42,karthiksv/vit-base-patch16-224-cifar10,0.6600788
43,nateraw/vit-base-patch16-224-cifar10,0.6600788
44,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.6600788
45,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.6431171
46,jadohu/BEiT-finetuned,0.6181131
47,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.64523786
48,nateraw/vit-base-beans-demo,0.62892616
49,nickmuchi/vit-base-beans,0.64092827
50,karthiksv/vit-base-beans,0.6295619
51,nateraw/vit-base-beans-demo-v3,0.6422488
52,johnnydevriese/vit_beans,0.63275397
53,nateraw/vit-base-beans-demo-v2,0.6287319
54,mmekias/vit-base-beans,0.6505891
55,nateraw/vit-base-beans,0.6491365
56,mrm8488/convnext-tiny-finetuned-beans,0.7733192
57,nielsr/vit-finetuned-eurosat-kornia,0.63137907
58,mrm8488/convnext-tiny-finetuned-eurosat,0.7808155
59,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.7889549
60,Calin/convnext-tiny-finteuned-eurosat,0.7747195
61,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.7592448
62,nielsr/convnext-tiny-finetuned-eurostat,0.77434844
63,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.75045407
64,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7531957
65,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7487489
66,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7487489
67,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.72200817
68,nielsr/convnext-tiny-finetuned-eurosat,0.75595284
69,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.73442113
70,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.71832997
71,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7540856
72,nielsr/van-base-finetuned-eurosat-imgaug,0.8147235
73,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.72876817
74,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7436673
75,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7459784
76,eren23/pneumonia_test_attempt,0.63197565
77,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.64491254
78,nickmuchi/vit-base-xray-pneumonia,0.62175024
79,facebook/convnext-base-224-22k,0.7811159
80,microsoft/swin-large-patch4-window7-224-in22k,0.8393662
81,microsoft/swin-base-patch4-window7-224-in22k,0.73104334
82,microsoft/beit-base-patch16-224-pt22k-ft22k,0.6154802
83,facebook/convnext-large-224-22k,0.8309732
84,facebook/convnext-xlarge-224-22k,0.7692152
85,microsoft/swin-base-patch4-window12-384-in22k,0.85243434
86,microsoft/beit-large-patch16-224-pt22k-ft22k,0.69019824
87,nielsr/convnext-xlarge-224-22k,0.74262214
88,nickmuchi/vit-finetuned-cats-dogs,0.6685555
89,ismgar01/vit-base-cats-vs-dogs,0.6049622
90,akahana/vit-base-cats-vs-dogs,0.61586964
91,nateraw/vit-base-cats-vs-dogs,0.66321343
92,nateraw/test_model_a,0.062115368
93,matteopilotto/vit-base-patch16-224-in21k-snacks,0.633269
94,Matthijs/snacks-classifier,0.75515413
95,nateraw/vit-base-food101,0.6299865
96,eslamxm/vit-base-food101,0.55643564
97,SriramSridhar78/sriram-car-classifier,0.6264749
98,imjeffhi/pokemon_classifier,0.5931948
99,AkshatSurolia/ViT-FaceMask-Finetuned,0.62288094
100,AkshatSurolia/BEiT-FaceMask-Finetuned,0.5272528
101,AkshatSurolia/DeiT-FaceMask-Finetuned,0.62377846
102,Ahmed9275/Vit-Cifar100,0.5628595
