,model,score
0,google/vit-base-patch16-224,0.61337894
1,IDEA-CCNL/Taiyi-vit-87M-D,0.6135845
2,facebook/deit-base-patch16-224,0.67941
3,facebook/deit-base-distilled-patch16-224,0.66163176
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.66227263
5,facebook/convnext-small-224,0.5850815
6,microsoft/beit-base-patch16-224,0.66145676
7,facebook/convnext-tiny-224,0.753646
8,Visual-Attention-Network/van-small,0.7160025
9,WinKawaks/vit-small-patch16-224,0.5843996
10,facebook/deit-small-distilled-patch16-224,0.6971881
11,Visual-Attention-Network/van-base,0.75574255
12,facebook/deit-small-patch16-224,0.50823617
13,WinKawaks/vit-tiny-patch16-224,0.5159392
14,Visual-Attention-Network/van-tiny,0.5487206
15,facebook/deit-tiny-distilled-patch16-224,0.66620237
16,facebook/deit-tiny-patch16-224,0.6933999
17,Visual-Attention-Network/van-large,0.65201485
18,google/vit-base-patch32-384,0.686472
19,lysandre/tiny-vit-random,0.16116065
20,microsoft/beit-base-patch16-224-pt22k,0.42875877
21,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7457516
22,karthiksv/vit-base-patch16-224-cifar10,0.7471672
23,nateraw/vit-base-patch16-224-cifar10,0.7417698
24,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.73232865
25,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.7162704
26,jadohu/BEiT-finetuned,0.608262
27,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.71329707
28,nateraw/vit-base-beans-demo,0.70960796
29,nickmuchi/vit-base-beans,0.7184552
30,karthiksv/vit-base-beans,0.729543
31,nateraw/vit-base-beans-demo-v3,0.7127467
32,johnnydevriese/vit_beans,0.729543
33,nateraw/vit-base-beans-demo-v2,0.682528
34,mmekias/vit-base-beans,0.72960943
35,nateraw/vit-base-beans,0.72192997
36,mrm8488/convnext-tiny-finetuned-beans,0.78666174
37,nielsr/vit-finetuned-eurosat-kornia,0.7262545
38,mrm8488/convnext-tiny-finetuned-eurosat,0.7912661
39,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.7994172
40,Calin/convnext-tiny-finteuned-eurosat,0.79528016
41,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.79274106
42,nielsr/convnext-tiny-finetuned-eurostat,0.79447323
43,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7748237
44,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.74621594
45,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.74644125
46,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7473254
47,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7242413
48,nielsr/convnext-tiny-finetuned-eurosat,0.79274106
49,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.73762184
50,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7187136
51,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7800205
52,nielsr/van-base-finetuned-eurosat-imgaug,0.7740502
53,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.72535175
54,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.75290877
55,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7504378
56,eren23/pneumonia_test_attempt,0.7283209
57,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.7438984
58,nickmuchi/vit-base-xray-pneumonia,0.7067565
59,nickmuchi/vit-finetuned-cats-dogs,0.6822597
60,ismgar01/vit-base-cats-vs-dogs,0.64969206
61,akahana/vit-base-cats-vs-dogs,0.6536937
62,nateraw/vit-base-cats-vs-dogs,0.7187051
63,nateraw/test_model_a,0.13571025
64,matteopilotto/vit-base-patch16-224-in21k-snacks,0.7253832
65,Matthijs/snacks-classifier,0.724131
66,nateraw/vit-base-food101,0.7143007
67,eslamxm/vit-base-food101,0.69699436
68,SriramSridhar78/sriram-car-classifier,0.66136664
69,imjeffhi/pokemon_classifier,0.69407594
70,AkshatSurolia/ViT-FaceMask-Finetuned,0.71229607
71,AkshatSurolia/BEiT-FaceMask-Finetuned,0.46069202
72,AkshatSurolia/DeiT-FaceMask-Finetuned,0.7035387
73,Ahmed9275/Vit-Cifar100,0.6781026
