,model,score
0,Rajaram1996/FacialEmoRecog,0.9236101
1,Matthijs/snacks-classifier,0.8896169
2,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9127147
3,ibombonato/swin-age-classifier,0.90496004
4,ibombonato/vit-age-classifier,0.9145224
5,nateraw/vit-age-classifier,0.9018913
6,karthiksv/vit-base-beans,0.9013938
7,nateraw/vit-base-beans-demo-v3,0.90526956
8,nateraw/vit-base-beans-demo-v2,0.92725766
9,mmekias/vit-base-beans,0.9357929
10,johnnydevriese/vit_beans,0.9022396
11,mrm8488/convnext-tiny-finetuned-beans,0.96067435
12,nickmuchi/vit-base-beans,0.9078901
13,nateraw/vit-base-beans-demo,0.90154266
14,nateraw/vit-base-beans,0.91809285
15,ismgar01/vit-base-cats-vs-dogs,0.9091324
16,nateraw/test_model_a,0.009006194
17,nickmuchi/vit-finetuned-cats-dogs,0.9498809
18,akahana/vit-base-cats-vs-dogs,0.91434
19,nateraw/vit-base-cats-vs-dogs,0.8974835
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9227977
21,eren23/pneumonia_test_attempt,0.91825134
22,nickmuchi/vit-base-xray-pneumonia,0.9218412
23,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9211113
24,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9092012
25,jadohu/BEiT-finetuned,0.71030194
26,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9109862
27,karthiksv/vit-base-patch16-224-cifar10,0.9228927
28,nateraw/vit-base-patch16-224-cifar10,0.9207596
29,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9263592
30,Ahmed9275/Vit-Cifar100,0.846316
31,nielsr/van-base-finetuned-eurosat-imgaug,0.91325796
32,nielsr/vit-finetuned-eurosat-kornia,0.91604125
33,Calin/convnext-tiny-finteuned-eurosat,0.95476866
34,nielsr/convnext-tiny-finetuned-eurostat,0.9335839
35,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.93402624
36,nielsr/convnext-tiny-finetuned-eurosat,0.93603694
37,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.88723147
38,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.88420093
39,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9601876
40,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8953901
41,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.88322467
42,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.881412
43,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.90861493
44,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.891669
45,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8833331
46,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.89200413
47,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9029683
48,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9343361
49,mrm8488/convnext-tiny-finetuned-eurosat,0.9496931
50,eslamxm/vit-base-food101,0.88117063
51,nateraw/vit-base-food101,0.92266405
52,julien-c/hotdog-not-hotdog,0.9249335
53,edixo/road_good_damaged_condition,0.90964067
54,jmarshall/rare-puppers,0.9134676
55,nateraw/rare-puppers-09-04-2021,0.913521
56,Frodnar/bee-likes,0.9089779
57,drab/Infrastructures,0.91121125
58,nateraw/planes-trains-automobiles,0.94488454
59,ferdinand/rare-puppers,0.9129437
60,nateraw/pasta-pizza-ravioli,0.91108453
61,nateraw/donut-or-bagel,0.9203181
62,nateraw/rare-puppers-123,0.910268
63,iyzg/computer-stuff,0.92944217
64,lewtun/oz-fauna,0.9063281
65,nateraw/baked-goods,0.92073905
66,nateraw/pasta-shapes,0.91844517
67,b25mayank3/shirt_identifier,0.9271348
68,nateraw/doggos-lol,0.8623694
69,hgarg/fruits,0.9217347
70,Neto71/sea_mammals,0.9082169
71,juanfiguera/ice_cream,0.9176723
72,HHousen/household-rooms,0.9143138
73,nateraw/rare-puppers,0.9185581
74,nateraw/rare-puppers-new-auth,0.9159873
75,Amrrs/south-indian-foods,0.91156477
76,meame2010/rare-puppers,0.90671325
77,black/simple_kitchen,0.93053526
78,AhmedSayeem/VIT_Basic,0.9221962
79,nateraw/huggingpics-package-demo-2,0.9187245
80,driboune/skin_type,0.90057063
81,Suzana/new-york-tokyo-london,0.9135393
82,jeffboudier/vision-transformers-spain-or-italy-fan,0.9147844
83,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9114434
84,hafidber/rare-puppers,0.9154563
85,Symbermine/rare-puppers,0.9137486
86,jasmeen/dogs,0.9081364
87,nateraw/ex-for-evan,0.92019385
88,nateraw/baseball-stadium-foods,0.9308137
89,mmgyorke/vit-world-landmarks,0.89625525
90,firas-spanioli/beer-whisky-wine-detection,0.9299682
91,hafidber/fruits,0.916216
92,Amrrs/indian-foods,0.91851735
93,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9089732
94,firebolt/llama_or_what2,0.9009038
95,ipvikas/rare-puppers,0.921537
96,godiec/diam,0.92013943
97,nateraw/denver-nyc-paris,0.9375744
98,johnnydevriese/vit-airplanes,0.9241621
99,Zayn/VIT_Basic,0.931491
100,Aftabhussain/Tomato_Leaf_Classifier,0.93391556
101,Giuliano/places,0.9201041
102,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.90852857
103,Sena/flowers,0.9198795
104,flyswot/test,0.81267524
105,LorenzoDeMattei/lawn-weeds,0.9227955
106,Hijazzi/rare-puppers,0.92198867
107,Nonem100/Test-Model,0.92240125
108,Sena/dog,0.90708107
109,ajanco/greens,0.91623396
110,firebolt/llama_or_what,0.9193812
111,filipafcastro/beer_vs_wine,0.9298264
112,hgarg/indian-snacks,0.9157505
113,jjhoffstein/lotr,0.921953
114,gatecitypreservation/architectural_styles,0.9280955
115,micole66/dwarf-goats,0.92416817
116,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9138307
117,nateraw/rare-puppers-demo,0.90965253
118,nateraw/trainer-rare-puppers,0.88727385
119,Visual-Attention-Network/van-tiny,0.8414713
120,Visual-Attention-Network/van-base,0.90956986
121,Ahmed9275/ALL-3,0.8988076
122,facebook/deit-base-distilled-patch16-224,0.93482906
123,facebook/deit-small-distilled-patch16-224,0.9009449
124,facebook/convnext-tiny-224,0.95982647
125,facebook/deit-small-patch16-224,0.88613373
126,mrm8488/data2vec-base-finetuned-imagenet1k,0.81287384
127,WinKawaks/vit-small-patch16-224,0.88993067
128,Ahmed9275/ALL-test,0.876734
129,facebook/deit-tiny-patch16-224,0.8128337
130,facebook/deit-base-patch16-224,0.94038767
131,WinKawaks/vit-tiny-patch16-224,0.8089791
132,facebook/deit-tiny-distilled-patch16-224,0.8266618
133,microsoft/swin-small-patch4-window7-224,0.8242393
134,google/vit-base-patch16-224,0.94332075
135,IDEA-CCNL/Taiyi-vit-87M-D,0.93419534
136,facebook/convnext-small-224,0.9403701
137,lysandre/tiny-vit-random,0.05597969
138,microsoft/swin-tiny-patch4-window7-224,0.8899528
139,facebook/convnext-base-224,0.94423836
140,microsoft/swin-large-patch4-window7-224,0.95911425
141,microsoft/beit-base-patch16-224-pt22k,0.72868645
142,facebook/convnext-base-224-22k-1k,0.9548377
143,microsoft/beit-base-patch16-224,0.46126804
144,google/vit-large-patch16-224,0.8896037
145,microsoft/beit-large-patch16-224,0.66387707
146,nielsr/convnext-xlarge-224-22k-1k,0.9594104
147,Visual-Attention-Network/van-small,0.910267
148,microsoft/resnet-50,0.8144208
149,Visual-Attention-Network/van-large,0.92936707
150,microsoft/swin-base-patch4-window7-224,0.94797003
151,facebook/convnext-large-224,0.9466524
152,facebook/convnext-large-224-22k-1k,0.96637666
153,facebook/convnext-base-384,0.98710054
154,google/vit-base-patch32-384,0.90829104
155,facebook/deit-base-distilled-patch16-384,0.9666797
156,facebook/deit-base-patch16-384,0.96364826
157,facebook/convnext-xlarge-224-22k-1k,0.9705382
158,google/vit-large-patch32-384,0.91210175
159,google/vit-base-patch16-384,0.9543133
160,microsoft/swin-base-patch4-window7-224-in22k,0.9448603
161,microsoft/beit-base-patch16-224-pt22k-ft22k,0.721905
162,microsoft/swin-large-patch4-window7-224-in22k,0.9770867
163,facebook/convnext-large-224-22k,0.97723126
164,facebook/convnext-xlarge-224-22k,1.0007432
165,nielsr/convnext-xlarge-224-22k,0.98175424
166,microsoft/beit-large-patch16-224-pt22k-ft22k,0.7837704
167,facebook/convnext-base-224-22k,0.9565224
168,microsoft/swin-base-patch4-window12-384-in22k,0.9939152
169,imjeffhi/pokemon_classifier,0.8906885
170,AkshatSurolia/ViT-FaceMask-Finetuned,0.8733616
171,AkshatSurolia/BEiT-FaceMask-Finetuned,0.6503979
172,AkshatSurolia/DeiT-FaceMask-Finetuned,0.85353494
173,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.9582267
174,SriramSridhar78/sriram-car-classifier,0.9283228
