,model,score
0,Rajaram1996/FacialEmoRecog,0.9369922
1,Matthijs/snacks-classifier,0.88942206
2,matteopilotto/vit-base-patch16-224-in21k-snacks,0.89796966
3,ibombonato/swin-age-classifier,0.88617516
4,ibombonato/vit-age-classifier,0.91089547
5,nateraw/vit-age-classifier,0.9041842
6,karthiksv/vit-base-beans,0.9123199
7,nateraw/vit-base-beans-demo-v3,0.9116051
8,nateraw/vit-base-beans-demo-v2,0.9131996
9,mmekias/vit-base-beans,0.92400736
10,johnnydevriese/vit_beans,0.9162779
11,mrm8488/convnext-tiny-finetuned-beans,0.9212241
12,nickmuchi/vit-base-beans,0.91191554
13,nateraw/vit-base-beans-demo,0.91027355
14,nateraw/vit-base-beans,0.9139389
15,ismgar01/vit-base-cats-vs-dogs,0.9060125
16,nateraw/test_model_a,0.006283785
17,nickmuchi/vit-finetuned-cats-dogs,0.9282694
18,akahana/vit-base-cats-vs-dogs,0.8978804
19,nateraw/vit-base-cats-vs-dogs,0.90663445
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.922882
21,eren23/pneumonia_test_attempt,0.92403525
22,nickmuchi/vit-base-xray-pneumonia,0.8975842
23,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9233437
24,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.92102504
25,jadohu/BEiT-finetuned,0.8412681
26,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.91973555
27,karthiksv/vit-base-patch16-224-cifar10,0.91898644
28,nateraw/vit-base-patch16-224-cifar10,0.91629565
29,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.92624485
30,Ahmed9275/Vit-Cifar100,0.85881853
31,nielsr/van-base-finetuned-eurosat-imgaug,0.8798999
32,nielsr/vit-finetuned-eurosat-kornia,0.91381764
33,Calin/convnext-tiny-finteuned-eurosat,0.92833865
34,nielsr/convnext-tiny-finetuned-eurostat,0.9013365
35,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.9064083
36,nielsr/convnext-tiny-finetuned-eurosat,0.885964
37,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.864951
38,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8527964
39,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.920398
40,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8737508
41,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8717035
42,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8745546
43,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8788525
44,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8552926
45,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8644806
46,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8788206
47,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.89076215
48,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.88108444
49,mrm8488/convnext-tiny-finetuned-eurosat,0.9087476
50,eslamxm/vit-base-food101,0.8781898
51,nateraw/vit-base-food101,0.9278006
52,julien-c/hotdog-not-hotdog,0.9235019
53,edixo/road_good_damaged_condition,0.91725206
54,jmarshall/rare-puppers,0.916055
55,nateraw/rare-puppers-09-04-2021,0.9241915
