,model,score
0,google/vit-base-patch16-224,0.88896346
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8886945
2,facebook/deit-base-patch16-224,0.877306
3,facebook/deit-base-distilled-patch16-224,0.8857698
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.7895362
5,facebook/convnext-base-224,0.9105772
6,facebook/convnext-small-224,0.9282633
7,microsoft/swin-base-patch4-window7-224,0.8962397
8,microsoft/beit-base-patch16-224,0.5695461
9,facebook/convnext-tiny-224,0.9142022
10,Visual-Attention-Network/van-small,0.9106663
11,WinKawaks/vit-small-patch16-224,0.85373944
12,facebook/deit-small-distilled-patch16-224,0.8904049
13,Visual-Attention-Network/van-base,0.91788554
14,facebook/deit-small-patch16-224,0.8546506
15,microsoft/swin-small-patch4-window7-224,0.8800607
16,Ahmed9275/ALL-3,0.8947296
17,facebook/convnext-large-224,0.93000025
18,WinKawaks/vit-tiny-patch16-224,0.71967393
19,Visual-Attention-Network/van-tiny,0.8952487
20,facebook/deit-tiny-distilled-patch16-224,0.821285
21,Ahmed9275/ALL-test,0.8765989
22,facebook/deit-tiny-patch16-224,0.8347951
23,microsoft/swin-tiny-patch4-window7-224,0.9107631
24,Visual-Attention-Network/van-large,0.9210874
25,google/vit-base-patch32-384,0.8392851
26,facebook/convnext-base-224-22k-1k,0.931681
27,google/vit-large-patch32-384,0.8716599
28,microsoft/swin-large-patch4-window7-224,0.93746305
29,lysandre/tiny-vit-random,0.049838196
30,facebook/convnext-large-224-22k-1k,0.9405237
31,facebook/convnext-base-384,0.9534773
32,microsoft/resnet-50,0.8224589
33,microsoft/beit-base-patch16-224-pt22k,0.66479135
34,microsoft/beit-large-patch16-224,0.6173049
35,google/vit-large-patch16-224,0.8414892
36,nielsr/convnext-xlarge-224-22k-1k,0.92586833
37,facebook/deit-base-patch16-384,0.93663424
38,google/vit-base-patch16-384,0.92281896
39,facebook/deit-base-distilled-patch16-384,0.9133724
40,facebook/convnext-xlarge-224-22k-1k,0.9506197
41,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.91084445
42,karthiksv/vit-base-patch16-224-cifar10,0.88846433
43,nateraw/vit-base-patch16-224-cifar10,0.8881621
44,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.87942773
45,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8944322
46,jadohu/BEiT-finetuned,0.71056616
47,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.88438743
48,nateraw/vit-base-beans-demo,0.8665374
49,nickmuchi/vit-base-beans,0.8730196
50,karthiksv/vit-base-beans,0.87555724
51,nateraw/vit-base-beans-demo-v3,0.8789652
52,johnnydevriese/vit_beans,0.87626594
53,nateraw/vit-base-beans-demo-v2,0.88139856
54,mmekias/vit-base-beans,0.8937858
55,nateraw/vit-base-beans,0.88765985
56,mrm8488/convnext-tiny-finetuned-beans,0.919961
57,nielsr/vit-finetuned-eurosat-kornia,0.88218254
58,mrm8488/convnext-tiny-finetuned-eurosat,0.9147401
59,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.92596066
60,Calin/convnext-tiny-finteuned-eurosat,0.92853194
61,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.90649635
62,nielsr/convnext-tiny-finetuned-eurostat,0.9193054
63,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.93039817
64,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.89705986
65,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.90010273
66,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8994582
67,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.87656003
68,nielsr/convnext-tiny-finetuned-eurosat,0.9188499
69,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.89506704
70,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.88316905
71,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.90798485
72,nielsr/van-base-finetuned-eurosat-imgaug,0.9211623
73,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.86252165
74,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.89862704
75,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.88755804
76,eren23/pneumonia_test_attempt,0.8882953
77,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9012886
78,nickmuchi/vit-base-xray-pneumonia,0.88097036
79,facebook/convnext-base-224-22k,0.9225404
80,microsoft/swin-large-patch4-window7-224-in22k,0.9402976
81,microsoft/swin-base-patch4-window7-224-in22k,0.89351237
82,microsoft/beit-base-patch16-224-pt22k-ft22k,0.6906062
83,facebook/convnext-large-224-22k,0.95348173
84,facebook/convnext-xlarge-224-22k,0.9459401
85,microsoft/swin-base-patch4-window12-384-in22k,0.954487
86,microsoft/beit-large-patch16-224-pt22k-ft22k,0.70751387
87,nielsr/convnext-xlarge-224-22k,0.94838613
88,nickmuchi/vit-finetuned-cats-dogs,0.8928919
