,Unnamed: 0,score,model
0,133,1.265043280330343,microsoft/swin-large-patch4-window7-224
1,134,1.2629791561754953,microsoft/swin-large-patch4-window7-224-in22k
2,65,1.262529764573968,facebook/convnext-xlarge-224-22k-1k
3,177,1.2625297645593878,nielsr/convnext-xlarge-224-22k-1k
4,128,1.2608523178863045,microsoft/swin-base-patch4-window12-384-in22k
5,54,1.2606851513474853,facebook/convnext-base-224-22k-1k
6,64,1.260136304858075,facebook/convnext-xlarge-224-22k
7,176,1.2601363047989569,nielsr/convnext-xlarge-224-22k
8,53,1.2574989103305136,facebook/convnext-base-224-22k
9,59,1.2559396508788323,facebook/convnext-large-224-22k-1k
10,129,1.2555771188843396,microsoft/swin-base-patch4-window7-224
11,130,1.2554749996813537,microsoft/swin-base-patch4-window7-224-in22k
12,58,1.2532692377132195,facebook/convnext-large-224-22k
13,55,1.2502678721414129,facebook/convnext-base-384
14,57,1.2480604462142209,facebook/convnext-large-224
15,52,1.245910462613281,facebook/convnext-base-224
16,135,1.245256645089119,microsoft/swin-small-patch4-window7-224
17,63,1.2442149415223638,facebook/convnext-tiny-224
18,139,1.243706603897876,mrm8488/convnext-tiny-finetuned-beans
19,62,1.243502873723999,facebook/convnext-small-224
20,173,1.241421354696529,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations
21,140,1.240996908973892,mrm8488/convnext-tiny-finetuned-eurosat
22,136,1.240580865231263,microsoft/swin-tiny-patch4-window7-224
23,14,1.2392849999070166,Calin/convnext-tiny-finteuned-eurosat
24,23,1.2390823357897118,Matthijs/snacks-classifier
25,2,1.238783723882722,Ahmed9275/ALL-3
26,21,1.2383548069306944,KL/swin-tiny-patch4-window7-224-finetuned-eurosat
27,7,1.238217612227463,AkshatSurolia/ConvNeXt-FaceMask-Finetuned
28,178,1.237934888725846,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10
29,16,1.2376125114793854,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat
30,102,1.237571429847253,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat
31,117,1.2375319580935695,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat
32,42,1.2374409794177237,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat
33,12,1.237403629630745,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat
34,69,1.2373664426441209,facebook/deit-base-patch16-384
35,179,1.2371574448457463,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat
36,87,1.2371481831869686,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat
37,92,1.2368888575362151,ibombonato/swin-age-classifier
