,model,score
0,google/vit-base-patch16-224,0.8813295223458628
1,IDEA-CCNL/Taiyi-vit-87M-D,0.884274102763814
2,facebook/deit-base-patch16-224,0.8847664436592073
3,facebook/deit-base-distilled-patch16-224,0.875330954956567
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8794623352785093
5,facebook/convnext-base-224,0.8789759493787924
6,facebook/convnext-small-224,0.8695097821442972
7,microsoft/swin-base-patch4-window7-224,0.8807897726084726
8,microsoft/beit-base-patch16-224,0.8679588768752101
9,facebook/convnext-tiny-224,0.8554676580601964
10,Visual-Attention-Network/van-small,0.8714422245370639
11,WinKawaks/vit-small-patch16-224,0.8632530847834412
12,facebook/deit-small-distilled-patch16-224,0.8574609562024329
13,Visual-Attention-Network/van-base,0.8671378397115654
14,facebook/deit-small-patch16-224,0.8704933154251573
15,microsoft/swin-small-patch4-window7-224,0.8705744793886442
16,Ahmed9275/ALL-3,0.8583850568901946
17,facebook/convnext-large-224,0.9077476773291002
18,WinKawaks/vit-tiny-patch16-224,0.8590953788633622
19,Visual-Attention-Network/van-tiny,0.8668863017983081
20,facebook/deit-tiny-distilled-patch16-224,0.8631231667612601
21,Ahmed9275/ALL-test,0.8594994684564251
22,facebook/deit-tiny-patch16-224,0.8743126561260866
23,microsoft/swin-tiny-patch4-window7-224,0.8653243183312656
24,Visual-Attention-Network/van-large,0.8795707772775895
25,google/vit-base-patch32-384,0.9333971928949587
26,facebook/convnext-base-224-22k-1k,0.8727928892036336
27,google/vit-large-patch32-384,0.9947307714719484
28,microsoft/swin-large-patch4-window7-224,0.9043871396050507
29,lysandre/tiny-vit-random,0.8665422976927355
30,facebook/convnext-large-224-22k-1k,0.8992681973541587
31,facebook/convnext-base-384,0.927291754885351
32,microsoft/resnet-50,0.8577179914644124
33,microsoft/beit-base-patch16-224-pt22k,0.8721339559230646
34,microsoft/beit-large-patch16-224,0.9314601099064849
35,google/vit-large-patch16-224,0.9398264555763112
36,facebook/convnext-large-384,0.9642208658021562
37,facebook/convnext-large-384-22k-1k,0.9634167782642156
38,microsoft/beit-large-patch16-384,0.998862132450079
39,nielsr/convnext-xlarge-224-22k-1k,0.936491987637713
40,facebook/deit-base-patch16-384,0.9294013016705449
41,google/vit-base-patch16-384,0.9379989454790885
42,facebook/deit-base-distilled-patch16-384,0.9256440329258215
43,microsoft/swin-large-patch4-window12-384,0.965265440970297
44,facebook/convnext-xlarge-224-22k-1k,0.9456528729340093
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9048520257749292
46,karthiksv/vit-base-patch16-224-cifar10,0.9007514193148031
47,nateraw/vit-base-patch16-224-cifar10,0.8999974102665523
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9016569128947244
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9054765414759235
50,jadohu/BEiT-finetuned,0.8899838890169637
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9045598227314504
52,nateraw/vit-base-beans-demo,0.9101356810105536
53,nickmuchi/vit-base-beans,0.9104450600280127
54,karthiksv/vit-base-beans,0.9212362517522221
55,nateraw/vit-base-beans-demo-v3,0.9081270116056167
56,johnnydevriese/vit_beans,0.9196555742549632
57,nateraw/vit-base-beans-demo-v2,0.9074968231103043
58,mmekias/vit-base-beans,0.9212837493927024
59,nateraw/vit-base-beans,0.9113826159239369
60,mrm8488/convnext-tiny-finetuned-beans,0.8845139483718715
61,nielsr/vit-finetuned-eurosat-kornia,0.8928866984093256
62,mrm8488/convnext-tiny-finetuned-eurosat,0.868833455002762
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8669327670211366
64,Calin/convnext-tiny-finteuned-eurosat,0.8658763430043152
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8728320178755936
66,nielsr/convnext-tiny-finetuned-eurostat,0.8712025263170332
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8735840781132638
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8680067109014579
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8679400681496032
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8764232151694519
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8689321396532343
72,nielsr/convnext-tiny-finetuned-eurosat,0.86405207012413
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8762697360364882
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8762096335316101
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8769118850210721
76,nielsr/van-base-finetuned-eurosat-imgaug,0.8759877098968898
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8692634641775807
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.876401999765205
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8701005015164522
80,eren23/pneumonia_test_attempt,0.9124720216009359
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9133504918360691
82,nickmuchi/vit-base-xray-pneumonia,0.9110922322650391
83,facebook/convnext-base-224-22k,0.8882723978541003
84,microsoft/swin-large-patch4-window7-224-in22k,0.9344074090201774
85,microsoft/swin-base-patch4-window7-224-in22k,0.9008463142713239
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8879506937201112
87,facebook/convnext-large-224-22k,0.9189414392839956
88,facebook/convnext-xlarge-224-22k,0.9619490938516021
89,microsoft/swin-base-patch4-window12-384-in22k,0.9511015157406145
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.948617245424455
91,nielsr/convnext-xlarge-224-22k,0.9672510481396424
92,nickmuchi/vit-finetuned-cats-dogs,0.9099208465303439
93,ismgar01/vit-base-cats-vs-dogs,0.9158168591525752
94,akahana/vit-base-cats-vs-dogs,0.9111437097516193
95,nateraw/vit-base-cats-vs-dogs,0.908838387432695
96,nateraw/test_model_a,0.891700680559574
97,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9283940874320692
98,Matthijs/snacks-classifier,0.8998128944448127
99,nateraw/vit-base-food101,0.875658096089092
100,eslamxm/vit-base-food101,0.8794898683979098
101,SriramSridhar78/sriram-car-classifier,0.9945560491676108
102,imjeffhi/pokemon_classifier,0.8775748767365494
103,AkshatSurolia/ViT-FaceMask-Finetuned,0.8669560059088038
104,AkshatSurolia/BEiT-FaceMask-Finetuned,0.8465230244580997
105,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8613535298934838
106,Ahmed9275/Vit-Cifar100,0.8973877042362333
