,mappedID,model,score
0,73,Aftabhussain/Tomato_Leaf_Classifier,-0.20867673
1,74,Ahmed9275/ALL-3,-0.25791466
2,75,Ahmed9275/ALL-test,-0.2548757
3,76,Ahmed9275/Vit-Cifar100,-0.24720293
4,77,AhmedSayeem/VIT_Basic,-0.17166606
5,78,AkshatSurolia/BEiT-FaceMask-Finetuned,-0.032510154
6,79,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,-0.17375168
7,80,AkshatSurolia/DeiT-FaceMask-Finetuned,-0.163928
8,81,AkshatSurolia/ViT-FaceMask-Finetuned,-0.24472351
9,82,Amrrs/indian-foods,-0.23637068
10,83,Amrrs/south-indian-foods,-0.22197366
11,84,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.19599804
12,85,AykeeSalazar/vc-bantai-vit-withoutAMBI,-0.14738542
13,86,Calin/convnext-tiny-finteuned-eurosat,-0.24831791
14,87,Frodnar/bee-likes,-0.15338908
15,88,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.19599804
16,89,Giuliano/places,-0.17826204
17,90,HHousen/household-rooms,-0.21521181
18,91,Hijazzi/rare-puppers,-0.24608569
19,92,IDEA-CCNL/Taiyi-vit-87M-D,-0.16833869
20,93,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.182203
21,94,LorenzoDeMattei/lawn-weeds,-0.24322839
22,95,Matthijs/snacks-classifier,-0.24212398
23,96,Neto71/sea_mammals,-0.20849486
24,97,Nonem100/Test-Model,-0.20357175
25,98,Rajaram1996/FacialEmoRecog,-0.18490992
26,99,Sena/dog,-0.11548813
27,100,Sena/flowers,-0.20906584
28,101,SriramSridhar78/sriram-car-classifier,-0.15987772
29,102,Suzana/new-york-tokyo-london,-0.163928
30,103,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,-0.23454076
31,104,Symbermine/rare-puppers,-0.19790344
32,105,Visual-Attention-Network/van-base,-0.20713504
33,106,Visual-Attention-Network/van-large,-0.139891
34,107,Visual-Attention-Network/van-small,-0.17743355
