,model,score
0,ibombonato/swin-age-classifier,0.9283835884207363
1,akahana/vit-base-cats-vs-dogs,0.9364424518662791
2,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.97665883997787
3,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9763829087117486
4,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.991360364334211
5,nielsr/convnext-tiny-finetuned-eurostat,0.976573403138234
6,micole66/dwarf-goats,0.9681676080613593
7,b25mayank3/shirt_identifier,0.9719255224245247
8,Amrrs/south-indian-foods,0.9707439606885573
9,hafidber/fruits,0.9727493511438765
10,godiec/diam,0.9716085200152467
11,flyswot/test,0.8376395482968806
12,facebook/convnext-base-224,1.000000659181019
13,mrm8488/data2vec-base-finetuned-imagenet1k,0.8908938144723759
14,lysandre/tiny-vit-random,0.04413196886826487
15,google/vit-base-patch16-384,1.022658616369306
16,facebook/convnext-large-384-22k-1k,1.0372749780280404
17,SriramSridhar78/sriram-car-classifier,0.9437917699298608
