,model,score
0,firebolt/llama_or_what2,-0.9684953351758041
1,google/vit-base-patch16-224,-1.0389954524307936
2,nateraw/denver-nyc-paris,-0.9994355162723363
3,black/simple_kitchen,-0.9852204911296669
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-0.8699978366535219
5,Suzana/new-york-tokyo-london,-1.0564744807234567
6,filipafcastro/beer_vs_wine,-0.9910225254075655
7,nateraw/baked-goods,-0.994328714499551
8,ajanco/greens,-0.982080637617883
9,nateraw/vit-base-beans-demo,-0.9745703419060225
10,HHousen/household-rooms,-0.9866079241611954
11,Amrrs/indian-foods,-0.9834825664136884
12,nateraw/planes-trains-automobiles,-0.9677173425213073
13,julien-c/hotdog-not-hotdog,-0.9850244737009806
14,jmarshall/rare-puppers,-0.9801685724764564
15,nielsr/vit-finetuned-eurosat-kornia,-0.9984759071486398
16,eren23/pneumonia_test_attempt,-1.0159429849515655
17,micole66/dwarf-goats,-0.9856353206199682
18,nateraw/ex-for-evan,-0.9651019634209586
19,karthiksv/vit-base-patch16-224-cifar10,-0.973680887916577
20,ferdinand/rare-puppers,-0.9789314574505905
21,ipvikas/rare-puppers,-0.9863129658279182
22,Frodnar/bee-likes,-0.9956094224083469
23,nickmuchi/vit-base-beans,-0.9913332829789518
24,nateraw/baseball-stadium-foods,-1.000216411234371
25,Giuliano/places,-1.0168437139251978
26,firas-spanioli/beer-whisky-wine-detection,-1.00665943728926
27,jjhoffstein/lotr,-1.0349354376740225
28,Nonem100/Test-Model,-0.9848454281545402
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-0.9817510808406
30,LorenzoDeMattei/lawn-weeds,-0.9757508568054276
31,nateraw/doggos-lol,-0.968126922907836
32,IDEA-CCNL/Taiyi-vit-87M-D,-1.0526185659258611
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,-1.0127916105589927
34,karthiksv/vit-base-beans,-0.9829968947197345
35,Symbermine/rare-puppers,-0.9803916820906213
36,nateraw/vit-base-patch16-224-cifar10,-1.011157204417702
37,gatecitypreservation/architectural_styles,-0.9791184741100403
38,Amrrs/south-indian-foods,-1.0142379631957024
39,hafidber/fruits,-1.0003495474244943
40,nateraw/rare-puppers-123,-0.9801455667489201
41,Aftabhussain/Tomato_Leaf_Classifier,-0.9844101812601544
42,nickmuchi/vit-base-xray-pneumonia,-1.125503480572501
43,Neto71/sea_mammals,-0.9766800881075746
44,lewtun/oz-fauna,-0.9873812994736948
45,hgarg/fruits,-0.9835659101818344
46,jasmeen/dogs,-0.9855839972757738
47,b25mayank3/shirt_identifier,-0.9897367951005143
48,jeffboudier/vision-transformers-spain-or-italy-fan,-1.021076668573183
49,facebook/convnext-base-224-22k,-0.9972764421277802
50,nickmuchi/vit-finetuned-cats-dogs,-1.022657460052193
51,godiec/diam,-1.0090001231769938
52,Rajaram1996/FacialEmoRecog,-0.9915769870976792
53,nateraw/vit-base-beans-demo-v3,-0.9796287731119544
54,firebolt/llama_or_what,-0.9930597090327256
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-0.9762489251348594
56,johnnydevriese/vit_beans,-0.9790627346814857
57,nateraw/vit-age-classifier,-0.9925092880665862
58,nateraw/vit-base-beans-demo-v2,-0.9893478173599033
59,mmekias/vit-base-beans,-0.9751295463086329
60,juanfiguera/ice_cream,-0.9770431409736957
61,drab/Infrastructures,-0.9967021411205592
62,nateraw/vit-base-beans,-0.9902916935206507
63,Sena/dog,-0.9678026698099962
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,-1.0364877424528847
65,hafidber/rare-puppers,-0.9806654878482512
66,edixo/road_good_damaged_condition,-0.9959056971292335
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,-1.0072300326059036
68,Sena/flowers,-0.9788365343009164
69,matteopilotto/vit-base-patch16-224-in21k-snacks,-0.9927158671737819
70,johnnydevriese/vit-airplanes,-0.9876816486453812
71,nateraw/pasta-shapes,-0.9629959939796897
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,-0.9912778908422777
73,hgarg/indian-snacks,-0.966139325210529
74,nateraw/vit-base-food101,-0.9836625548368041
75,Hijazzi/rare-puppers,-0.9803566996852942
76,nateraw/trainer-rare-puppers,-1.0215310562716184
77,ibombonato/vit-age-classifier,-0.9801820972518165
78,nateraw/rare-puppers-new-auth,-0.9814064407946357
79,SriramSridhar78/sriram-car-classifier,-0.9849248305547529
80,ismgar01/vit-base-cats-vs-dogs,-1.0134756346982337
81,nateraw/rare-puppers,-0.9671882910383203
82,iyzg/computer-stuff,-0.9919519634638023
83,nateraw/huggingpics-package-demo-2,-0.9942099527270936
84,imjeffhi/pokemon_classifier,-1.0110317735301488
85,nateraw/pasta-pizza-ravioli,-0.9623364318041139
86,akahana/vit-base-cats-vs-dogs,-1.0302933954580544
87,nateraw/donut-or-bagel,-0.987705986542013
88,nateraw/rare-puppers-09-04-2021,-0.9795750422484546
89,nateraw/vit-base-cats-vs-dogs,-1.010108015322845
90,Zayn/VIT_Basic,-0.966435664363974
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-0.9975923758686394
92,AkshatSurolia/ViT-FaceMask-Finetuned,-1.0543100868135538
93,microsoft/swin-large-patch4-window7-224-in22k,-0.8375908786284263
94,Ahmed9275/Vit-Cifar100,-0.8342121177689685
95,driboune/skin_type,-1.0214038153903708
96,microsoft/swin-base-patch4-window7-224-in22k,-0.9775767605235754
97,facebook/deit-base-patch16-224,-1.0396970625742665
98,facebook/deit-base-distilled-patch16-224,-1.0118184637234449
99,eslamxm/vit-base-food101,-1.0617796354131492
100,mrm8488/data2vec-base-finetuned-imagenet1k,-1.050715542808845
101,facebook/convnext-base-224,-0.9916891072740301
102,facebook/convnext-small-224,-0.977379757073902
103,microsoft/swin-base-patch4-window7-224,-0.9427199926609977
104,microsoft/beit-base-patch16-224,-1.256553215039411
105,mrm8488/convnext-tiny-finetuned-eurosat,-1.0092795759412818
106,mrm8488/convnext-tiny-finetuned-beans,-0.9675402031349383
107,facebook/convnext-tiny-224,-1.0151167415403146
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,-1.0448866659537108
109,microsoft/beit-base-patch16-224-pt22k-ft22k,-1.1081002461545375
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,-1.0564193599464695
111,Calin/convnext-tiny-finteuned-eurosat,-1.0177015365076039
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,-0.9980170107923836
113,Visual-Attention-Network/van-small,-1.0189723968533047
114,WinKawaks/vit-small-patch16-224,-0.9953666100776299
115,facebook/deit-small-distilled-patch16-224,-1.0418420611762096
116,Visual-Attention-Network/van-base,-1.0295992150877131
117,jadohu/BEiT-finetuned,-1.0247975848806523
118,nielsr/convnext-tiny-finetuned-eurostat,-1.0062963247428538
119,facebook/deit-small-patch16-224,-0.961712839440992
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,-1.0031303389494646
121,microsoft/swin-small-patch4-window7-224,-0.9530074719369919
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,-1.0328619686206253
123,Ahmed9275/ALL-3,-0.9374960784028024
124,facebook/convnext-large-224,-1.0004437855698605
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,-1.010449284237973
126,WinKawaks/vit-tiny-patch16-224,-1.0663649152238979
127,Visual-Attention-Network/van-tiny,-1.0414843670524636
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,-1.001925418775169
129,facebook/deit-tiny-distilled-patch16-224,-1.0161401321467078
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,-1.0057174782019946
131,nielsr/convnext-tiny-finetuned-eurosat,-0.9962881788385953
132,ibombonato/swin-age-classifier,-0.9566290348890547
133,Ahmed9275/ALL-test,-0.9583406735411886
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,-0.994234643800318
135,facebook/deit-tiny-patch16-224,-1.0240450590133305
136,microsoft/swin-tiny-patch4-window7-224,-0.9519387136072235
137,flyswot/test,-1.0325878751524074
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,-1.001461741546602
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,-1.0162175801908884
140,nielsr/van-base-finetuned-eurosat-imgaug,-1.0046239272551005
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,-1.0009000382839952
142,Visual-Attention-Network/van-large,-1.0323705476522882
143,Matthijs/snacks-classifier,-0.9931739919258786
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,-1.0279385023118106
145,nateraw/test_model_a,-1.8293210054379228
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,-1.014192178372637
147,google/vit-base-patch32-384,-1.0701478623910063
148,nateraw/rare-puppers-demo,-1.0142276535745371
149,AkshatSurolia/BEiT-FaceMask-Finetuned,-1.2988562196161042
150,AkshatSurolia/DeiT-FaceMask-Finetuned,-1.0458810938309249
151,meame2010/rare-puppers,-0.9784667005423897
152,facebook/convnext-base-224-22k-1k,-0.9728617726306212
153,google/vit-large-patch32-384,-0.9934205172222388
154,microsoft/swin-large-patch4-window7-224,-0.8779399154482213
155,mmgyorke/vit-world-landmarks,-0.9916551124117889
156,lysandre/tiny-vit-random,-1.6072601329513652
157,AhmedSayeem/VIT_Basic,-1.0165703638215842
158,facebook/convnext-large-224-22k-1k,-0.8950507037161106
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,-1.029059021263747
160,facebook/convnext-base-384,-1.0030857070224877
161,microsoft/resnet-50,-0.9372037400095414
162,microsoft/beit-base-patch16-224-pt22k,-1.2840689220672206
163,microsoft/beit-large-patch16-224,-1.185852826856435
164,facebook/convnext-large-224-22k,-0.929469291158113
165,google/vit-large-patch16-224,-1.0065540981605223
166,facebook/convnext-large-384,-0.8688142886645096
167,facebook/convnext-xlarge-224-22k,-0.9495565270174893
