,model,score
0,firebolt/llama_or_what2,0.17407572
1,google/vit-base-patch16-224,0.14603436
2,nateraw/denver-nyc-paris,0.15366137
3,black/simple_kitchen,0.1689142
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.19646132
5,Suzana/new-york-tokyo-london,0.17605555
6,filipafcastro/beer_vs_wine,0.18208611
7,nateraw/baked-goods,0.1775285
8,ajanco/greens,0.19498694
9,nateraw/vit-base-beans-demo,0.20623529
10,HHousen/household-rooms,0.14300883
11,Amrrs/indian-foods,0.1375767
12,nateraw/planes-trains-automobiles,0.18444455
13,julien-c/hotdog-not-hotdog,0.15957534
14,jmarshall/rare-puppers,0.11220515
15,nielsr/vit-finetuned-eurosat-kornia,0.17647779
16,eren23/pneumonia_test_attempt,0.16676843
17,micole66/dwarf-goats,0.165182
18,nateraw/ex-for-evan,0.20652568
19,karthiksv/vit-base-patch16-224-cifar10,0.20852101
20,ferdinand/rare-puppers,0.16084373
21,ipvikas/rare-puppers,0.107613444
22,Frodnar/bee-likes,0.17770779
23,nickmuchi/vit-base-beans,0.16988242
24,nateraw/baseball-stadium-foods,0.20208204
25,Giuliano/places,0.14213812
26,firas-spanioli/beer-whisky-wine-detection,0.13105547
27,jjhoffstein/lotr,0.18203413
28,Nonem100/Test-Model,0.18681419
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.1460849
30,LorenzoDeMattei/lawn-weeds,0.16880548
31,nateraw/doggos-lol,0.17501271
32,IDEA-CCNL/Taiyi-vit-87M-D,0.13130009
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.18838775
34,karthiksv/vit-base-beans,0.19121182
35,Symbermine/rare-puppers,0.17377889
36,nateraw/vit-base-patch16-224-cifar10,0.21553576
37,gatecitypreservation/architectural_styles,0.15694869
38,Amrrs/south-indian-foods,0.1603998
39,hafidber/fruits,0.15103066
40,nateraw/rare-puppers-123,0.119546294
41,Aftabhussain/Tomato_Leaf_Classifier,0.16363013
