,mappedID,model,score
0,73,Aftabhussain/Tomato_Leaf_Classifier,0.07484874
1,74,Ahmed9275/ALL-3,-0.18619737
2,75,Ahmed9275/ALL-test,-0.21291672
3,76,Ahmed9275/Vit-Cifar100,0.0011510067
4,77,AhmedSayeem/VIT_Basic,-0.013876757
5,78,AkshatSurolia/BEiT-FaceMask-Finetuned,0.013502668
6,79,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,-0.032661464
7,80,AkshatSurolia/DeiT-FaceMask-Finetuned,0.013502668
8,81,AkshatSurolia/ViT-FaceMask-Finetuned,0.13640092
9,82,Amrrs/indian-foods,-0.4546656
10,83,Amrrs/south-indian-foods,-0.10939558
11,84,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.032362532
12,85,AykeeSalazar/vc-bantai-vit-withoutAMBI,-0.31642303
13,86,Calin/convnext-tiny-finteuned-eurosat,0.13640092
14,87,Frodnar/bee-likes,0.023692662
15,88,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.005726432
16,89,Giuliano/places,0.05446875
17,90,HHousen/household-rooms,0.13640092
18,91,Hijazzi/rare-puppers,0.08364191
19,92,IDEA-CCNL/Taiyi-vit-87M-D,-0.18241474
20,93,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.13640092
21,94,LorenzoDeMattei/lawn-weeds,-0.08101248
22,95,Matthijs/snacks-classifier,0.13640092
23,96,Neto71/sea_mammals,-0.42432764
24,97,Nonem100/Test-Model,-0.0040542157
25,98,Rajaram1996/FacialEmoRecog,0.13640092
26,99,Sena/dog,0.038082317
27,100,Sena/flowers,0.05446875
28,101,SriramSridhar78/sriram-car-classifier,-0.0040542157
29,102,Suzana/new-york-tokyo-london,0.13640092
30,103,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,-0.06023629
31,104,Symbermine/rare-puppers,0.032362532
32,105,Visual-Attention-Network/van-base,-0.15989952
33,106,Visual-Attention-Network/van-large,0.13640092
34,107,Visual-Attention-Network/van-small,-0.0040542157
35,108,Visual-Attention-Network/van-tiny,-0.027463414
36,109,WinKawaks/vit-small-patch16-224,-0.013876757
37,110,WinKawaks/vit-tiny-patch16-224,0.13640092
38,111,Zayn/VIT_Basic,-0.032661464
39,112,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.13640092
40,113,ajanco/greens,0.09536613
41,114,akahana/vit-base-cats-vs-dogs,0.0011510067
42,115,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.060771234
43,116,b25mayank3/shirt_identifier,0.06253831
44,117,black/simple_kitchen,0.023692662
45,118,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.13640092
46,119,drab/Infrastructures,-0.0070077255
47,120,driboune/skin_type,0.051646173
48,121,edixo/road_good_damaged_condition,-0.15058696
49,122,eren23/pneumonia_test_attempt,0.013446456
50,123,eslamxm/vit-base-food101,0.13640092
51,124,facebook/convnext-base-224,0.082625985
52,125,facebook/convnext-base-224-22k,-0.31713656
53,126,facebook/convnext-base-224-22k-1k,-0.17127217
54,127,facebook/convnext-base-384,0.0686868
55,128,facebook/convnext-base-384-22k-1k,-0.28818658
56,129,facebook/convnext-large-224,-0.056813236
57,130,facebook/convnext-large-224-22k,-0.11339087
58,131,facebook/convnext-large-224-22k-1k,-0.25711113
59,132,facebook/convnext-large-384,-0.1374193
60,133,facebook/convnext-large-384-22k-1k,-0.13349089
61,134,facebook/convnext-small-224,-0.20887329
62,135,facebook/convnext-tiny-224,-0.24984251
63,136,facebook/convnext-xlarge-224-22k,0.06666847
64,137,facebook/convnext-xlarge-224-22k-1k,-0.31083667
65,138,facebook/deit-base-distilled-patch16-224,-0.26587152
66,139,facebook/deit-base-distilled-patch16-384,-0.08901561
67,140,facebook/deit-base-patch16-224,-0.2973546
68,141,facebook/deit-base-patch16-384,-0.2939521
69,142,facebook/deit-small-distilled-patch16-224,-0.13277718
70,143,facebook/deit-small-patch16-224,-0.032661464
71,144,facebook/deit-tiny-distilled-patch16-224,-0.2831181
72,145,facebook/deit-tiny-patch16-224,-0.032661464
73,146,ferdinand/rare-puppers,0.013502668
74,147,filipafcastro/beer_vs_wine,0.09536613
75,148,firas-spanioli/beer-whisky-wine-detection,-0.23001005
76,149,firebolt/llama_or_what,0.07484874
77,150,firebolt/llama_or_what2,0.013296556
78,151,flyswot/test,-0.027463414
79,152,gatecitypreservation/architectural_styles,-0.20172383
80,153,godiec/diam,-0.30236214
81,154,google/vit-base-patch16-224,-0.1374376
82,155,google/vit-base-patch16-384,-0.3155423
83,156,google/vit-base-patch32-384,-0.2259077
84,157,google/vit-large-patch16-224,-0.50266975
85,158,google/vit-large-patch32-384,-0.34349775
86,159,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.05446875
87,160,hafidber/fruits,0.013446456
88,161,hafidber/rare-puppers,0.06253831
89,162,hgarg/fruits,-0.31660303
