,model,score
0,google/vit-base-patch16-224,23637.757178767763
1,IDEA-CCNL/Taiyi-vit-87M-D,23637.769502555548
2,facebook/deit-base-patch16-224,23637.766789815043
3,facebook/deit-base-distilled-patch16-224,23637.74327420234
4,mrm8488/data2vec-base-finetuned-imagenet1k,23637.747956715004
5,facebook/convnext-base-224,23637.888147188296
6,facebook/convnext-small-224,23637.875574165784
7,microsoft/swin-base-patch4-window7-224,23637.847006998436
8,microsoft/beit-base-patch16-224,23637.586255052072
9,facebook/convnext-tiny-224,23637.777633310183
10,Visual-Attention-Network/van-small,23637.781332282993
11,WinKawaks/vit-small-patch16-224,23637.718734439408
12,facebook/deit-small-distilled-patch16-224,23637.7248898992
13,Visual-Attention-Network/van-base,23637.784834254944
14,facebook/deit-small-patch16-224,23637.85750627256
15,microsoft/swin-small-patch4-window7-224,23637.888048736208
16,Ahmed9275/ALL-3,23637.914370354734
17,facebook/convnext-large-224,23637.86525453348
18,WinKawaks/vit-tiny-patch16-224,23637.792985920856
19,Visual-Attention-Network/van-tiny,23637.753560073445
20,facebook/deit-tiny-distilled-patch16-224,23637.686503931418
21,Ahmed9275/ALL-test,23637.922135310135
22,facebook/deit-tiny-patch16-224,23637.724806453396
23,microsoft/swin-tiny-patch4-window7-224,23637.88867960149
24,Visual-Attention-Network/van-large,23637.778166373497
25,google/vit-base-patch32-384,23637.699057097667
26,facebook/convnext-base-224-22k-1k,23637.82766066265
27,google/vit-large-patch32-384,23637.791708086097
28,microsoft/swin-large-patch4-window7-224,23637.9318000644
29,lysandre/tiny-vit-random,23637.280052222723
30,facebook/convnext-large-224-22k-1k,23637.891245610084
31,facebook/convnext-base-384,23637.7980495696
32,microsoft/resnet-50,23637.78986078734
33,microsoft/beit-base-patch16-224-pt22k,23637.516261785702
34,microsoft/beit-large-patch16-224,23637.623398186293
35,google/vit-large-patch16-224,23637.87901836087
36,facebook/convnext-large-384,23637.970751088582
37,facebook/convnext-large-384-22k-1k,23638.026084983725
38,nielsr/convnext-xlarge-224-22k-1k,23637.882208816478
39,facebook/deit-base-patch16-384,23637.80677335337
40,google/vit-base-patch16-384,23637.8139033207
41,facebook/deit-base-distilled-patch16-384,23637.816630008576
42,facebook/convnext-xlarge-224-22k-1k,23637.887241805034
43,microsoft/beit-large-patch16-384,23637.97070596193
44,microsoft/swin-large-patch4-window12-384,23638.015917207817
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,23637.768208397338
46,karthiksv/vit-base-patch16-224-cifar10,23637.80732326124
47,nateraw/vit-base-patch16-224-cifar10,23637.769663023315
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,23637.778155720927
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,23637.77900283797
50,jadohu/BEiT-finetuned,23637.662044253626
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,23637.720461512643
52,nateraw/vit-base-beans-demo,23637.810579774214
53,nickmuchi/vit-base-beans,23637.805168160074
54,karthiksv/vit-base-beans,23637.845000772224
55,nateraw/vit-base-beans-demo-v3,23637.822547026746
56,johnnydevriese/vit_beans,23637.8138634459
57,nateraw/vit-base-beans-demo-v2,23637.840830249723
58,mmekias/vit-base-beans,23637.819119392207
59,nateraw/vit-base-beans,23637.832733231375
60,mrm8488/convnext-tiny-finetuned-beans,23637.85024029524
61,nielsr/vit-finetuned-eurosat-kornia,23637.777162939634
62,mrm8488/convnext-tiny-finetuned-eurosat,23637.788358745955
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,23637.808806420453
64,Calin/convnext-tiny-finteuned-eurosat,23637.816879927097
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,23637.764990197586
66,nielsr/convnext-tiny-finetuned-eurostat,23637.79008605154
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,23637.84829543604
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,23637.804395278774
