,model,score
0,Rajaram1996/FacialEmoRecog,-333479.1959244375
1,nateraw/vit-age-classifier,-333479.19471281726
2,ibombonato/swin-age-classifier,-333479.21222163347
3,nickmuchi/vit-base-beans,-333479.20483086054
4,nateraw/vit-base-beans-demo,-333479.2044988543
5,karthiksv/vit-base-beans,-333479.17590535135
6,nateraw/vit-base-beans-demo-v3,-333479.2049792328
7,johnnydevriese/vit_beans,-333479.1766610305
8,mmekias/vit-base-beans,-333479.175882644
9,nateraw/vit-base-beans-demo-v2,-333479.2043806738
10,mrm8488/convnext-tiny-finetuned-beans,-333479.20730150153
11,nickmuchi/vit-finetuned-cats-dogs,-333479.2056981424
12,akahana/vit-base-cats-vs-dogs,-333479.17321641586
13,nateraw/vit-base-cats-vs-dogs,-333479.2064555928
14,nateraw/test_model_a,-333479.56622365466
15,eren23/pneumonia_test_attempt,-333479.1999558841
16,nickmuchi/vit-finetuned-chest-xray-pneumonia,-333479.2009096594
17,nickmuchi/vit-base-xray-pneumonia,-333479.17062701256
18,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-333479.19674181525
19,karthiksv/vit-base-patch16-224-cifar10,-333479.20175059256
20,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-333479.20131770056
21,nateraw/vit-base-patch16-224-cifar10,-333479.20211106393
22,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-333479.19698315224
23,jadohu/BEiT-finetuned,-333479.18528202147
24,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,-333479.19633474725
25,nielsr/vit-finetuned-eurosat-kornia,-333479.2033152601
26,nielsr/van-base-finetuned-eurosat-imgaug,-333479.217051982
27,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,-333479.2030483673
28,nielsr/convnext-tiny-finetuned-eurosat,-333479.20669408183
29,Calin/convnext-tiny-finteuned-eurosat,-333479.20582194626
30,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,-333479.2144317044
31,nielsr/convnext-tiny-finetuned-eurostat,-333479.2066565822
32,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,-333479.20587756636
33,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,-333479.21476350946
34,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,-333479.2173547983
35,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,-333479.213051203
36,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,-333479.21384893043
37,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,-333479.2133294029
38,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,-333479.2136153106
39,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,-333479.2135623706
40,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,-333479.21365091763
