,model,score
0,firebolt/llama_or_what2,1870.3129
1,google/vit-base-patch16-224,1870.224
2,nateraw/denver-nyc-paris,1870.3231
3,black/simple_kitchen,1870.222
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,1870.2362
5,Suzana/new-york-tokyo-london,1870.2592
6,filipafcastro/beer_vs_wine,1870.2865
7,nateraw/baked-goods,1870.2313
8,ajanco/greens,1870.2294
9,nateraw/vit-base-beans-demo,1870.2523
10,HHousen/household-rooms,1870.305
11,Amrrs/indian-foods,1870.2533
12,nateraw/planes-trains-automobiles,1870.2294
13,julien-c/hotdog-not-hotdog,1870.2484
14,jmarshall/rare-puppers,1870.2802
15,nielsr/vit-finetuned-eurosat-kornia,1870.2333
16,eren23/pneumonia_test_attempt,1870.2098
17,micole66/dwarf-goats,1870.2772
18,nateraw/ex-for-evan,1870.2787
19,karthiksv/vit-base-patch16-224-cifar10,1870.2645
20,ferdinand/rare-puppers,1870.2133
21,ipvikas/rare-puppers,1870.2474
22,Frodnar/bee-likes,1870.2509
23,nickmuchi/vit-base-beans,1870.1923
24,nateraw/baseball-stadium-foods,1870.222
25,Giuliano/places,1870.2172
26,firas-spanioli/beer-whisky-wine-detection,1870.2284
27,jjhoffstein/lotr,1870.2391
28,Nonem100/Test-Model,1870.2357
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,1870.2518
30,LorenzoDeMattei/lawn-weeds,1870.2753
31,nateraw/doggos-lol,1870.2313
32,IDEA-CCNL/Taiyi-vit-87M-D,1870.2762
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,1870.2816
34,karthiksv/vit-base-beans,1870.2792
35,Symbermine/rare-puppers,1870.2792
36,nateraw/vit-base-patch16-224-cifar10,1870.247
37,gatecitypreservation/architectural_styles,1870.2709
38,Amrrs/south-indian-foods,1870.3099
39,hafidber/fruits,1870.2518
40,nateraw/rare-puppers-123,1870.247
41,Aftabhussain/Tomato_Leaf_Classifier,1870.2347
42,nickmuchi/vit-base-xray-pneumonia,1870.2284
43,Neto71/sea_mammals,1870.2582
44,lewtun/oz-fauna,1870.2762
45,hgarg/fruits,1870.2699
46,jasmeen/dogs,1870.2958
47,b25mayank3/shirt_identifier,1870.2465
48,jeffboudier/vision-transformers-spain-or-italy-fan,1870.2811
49,facebook/convnext-base-224-22k,1870.1981
50,nickmuchi/vit-finetuned-cats-dogs,1870.1595
51,godiec/diam,1870.2821
52,Rajaram1996/FacialEmoRecog,1870.2372
53,nateraw/vit-base-beans-demo-v3,1870.222
54,firebolt/llama_or_what,1870.2665
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,1870.2611
56,johnnydevriese/vit_beans,1870.2396
57,nateraw/vit-age-classifier,1870.2499
58,nateraw/vit-base-beans-demo-v2,1870.289
59,mmekias/vit-base-beans,1870.2142
60,juanfiguera/ice_cream,1870.265
61,drab/Infrastructures,1870.2621
62,nateraw/vit-base-beans,1870.2435
63,Sena/dog,1870.2225
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,1870.2552
65,hafidber/rare-puppers,1870.2465
66,edixo/road_good_damaged_condition,1870.1884
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,1870.2645
68,Sena/flowers,1870.3397
69,matteopilotto/vit-base-patch16-224-in21k-snacks,1870.2665
70,johnnydevriese/vit-airplanes,1870.289
71,nateraw/pasta-shapes,1870.1967
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,1870.245
73,hgarg/indian-snacks,1870.2792
74,nateraw/vit-base-food101,1870.264
75,Hijazzi/rare-puppers,1870.2269
76,nateraw/trainer-rare-puppers,1870.2684
77,ibombonato/vit-age-classifier,1870.2777
78,nateraw/rare-puppers-new-auth,1870.305
79,SriramSridhar78/sriram-car-classifier,1870.2635
80,ismgar01/vit-base-cats-vs-dogs,1870.2924
81,nateraw/rare-puppers,1870.2396
82,iyzg/computer-stuff,1870.2308
83,nateraw/huggingpics-package-demo-2,1870.2997
84,imjeffhi/pokemon_classifier,1870.2313
85,nateraw/pasta-pizza-ravioli,1870.2987
86,akahana/vit-base-cats-vs-dogs,1870.2386
87,nateraw/donut-or-bagel,1870.2499
88,nateraw/rare-puppers-09-04-2021,1870.2513
89,nateraw/vit-base-cats-vs-dogs,1870.2513
90,Zayn/VIT_Basic,1870.1898
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,1870.2523
92,AkshatSurolia/ViT-FaceMask-Finetuned,1870.1903
93,microsoft/swin-large-patch4-window7-224-in22k,1870.2626
94,Ahmed9275/Vit-Cifar100,1870.2587
95,driboune/skin_type,1870.2347
96,microsoft/swin-base-patch4-window7-224-in22k,1870.2611
97,facebook/deit-base-patch16-224,1870.223
98,facebook/deit-base-distilled-patch16-224,1870.285
99,eslamxm/vit-base-food101,1870.2269
100,mrm8488/data2vec-base-finetuned-imagenet1k,1870.1927
101,facebook/convnext-base-224,1870.2968
102,facebook/convnext-small-224,1870.2396
103,microsoft/swin-base-patch4-window7-224,1870.2596
104,microsoft/beit-base-patch16-224,1870.1849
105,mrm8488/convnext-tiny-finetuned-eurosat,1870.2948
106,mrm8488/convnext-tiny-finetuned-beans,1870.2015
107,facebook/convnext-tiny-224,1870.246
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,1870.2548
109,microsoft/beit-base-patch16-224-pt22k-ft22k,1870.2157
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,1870.2816
111,Calin/convnext-tiny-finteuned-eurosat,1870.3046
