,model,score
0,firebolt/llama_or_what2,0.9434026790441141
1,google/vit-base-patch16-224,1.066543150792409
2,nateraw/denver-nyc-paris,1.0262192478074963
3,black/simple_kitchen,0.9196582387329095
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8819877815489249
5,Suzana/new-york-tokyo-london,0.9271109701720655
6,filipafcastro/beer_vs_wine,0.9998669678808629
7,nateraw/baked-goods,0.8917341429066008
8,ajanco/greens,1.0198510771820621
9,nateraw/vit-base-beans-demo,0.9103827958665615
10,HHousen/household-rooms,0.8576968852437055
11,Amrrs/indian-foods,0.860815692395457
12,nateraw/planes-trains-automobiles,0.9362182618409173
13,julien-c/hotdog-not-hotdog,0.9523808793580564
14,jmarshall/rare-puppers,0.979598603285514
15,nielsr/vit-finetuned-eurosat-kornia,1.0102039717877958
16,eren23/pneumonia_test_attempt,1.033705361586477
17,micole66/dwarf-goats,0.9640141417378039
18,nateraw/ex-for-evan,0.9980440010649008
19,karthiksv/vit-base-patch16-224-cifar10,1.0056113738534733
20,ferdinand/rare-puppers,0.9875682901755257
21,ipvikas/rare-puppers,1.0174236335366937
22,Frodnar/bee-likes,0.954626538879487
23,nickmuchi/vit-base-beans,0.9805523401470853
24,nateraw/baseball-stadium-foods,0.9936073589798576
25,Giuliano/places,1.061386312976613
26,firas-spanioli/beer-whisky-wine-detection,0.921079566456021
27,jjhoffstein/lotr,0.9620085806192544
28,Nonem100/Test-Model,0.9058838586972434
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9813623773534386
30,LorenzoDeMattei/lawn-weeds,0.9757154802299778
31,nateraw/doggos-lol,1.0372603539864547
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9457370552027006
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,1.0040686394177871
34,karthiksv/vit-base-beans,1.023735268457184
35,Symbermine/rare-puppers,0.9734985993469676
36,nateraw/vit-base-patch16-224-cifar10,1.0412017557608833
37,gatecitypreservation/architectural_styles,1.0490356851009124
38,Amrrs/south-indian-foods,1.0032769315420655
39,hafidber/fruits,1.0033823825759227
40,nateraw/rare-puppers-123,0.9681760091370724
41,Aftabhussain/Tomato_Leaf_Classifier,0.9639384609939349
42,nickmuchi/vit-base-xray-pneumonia,0.9494588503457421
43,Neto71/sea_mammals,1.1290888472274763
44,lewtun/oz-fauna,0.9585967827625511
45,hgarg/fruits,1.0025812474533904
46,jasmeen/dogs,0.9305347965870281
47,b25mayank3/shirt_identifier,1.0132566353228705
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.9503953846604719
49,facebook/convnext-base-224-22k,0.9906902161240052
50,nickmuchi/vit-finetuned-cats-dogs,1.038918886486214
51,godiec/diam,0.9849636021871652
52,Rajaram1996/FacialEmoRecog,0.9944362712579543
53,nateraw/vit-base-beans-demo-v3,0.959955000242114
54,firebolt/llama_or_what,1.0115553518890055
