,model,score
0,firebolt/llama_or_what2,0.9285489986754509
1,google/vit-base-patch16-224,0.8059778571116952
2,nateraw/denver-nyc-paris,0.9396872557941445
3,black/simple_kitchen,0.812184084837344
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.852797991093957
5,Suzana/new-york-tokyo-london,0.8623828119601913
6,filipafcastro/beer_vs_wine,0.9009942119518619
7,nateraw/baked-goods,0.8295687251623183
8,ajanco/greens,0.8077329934232699
9,nateraw/vit-base-beans-demo,0.8682642721534897
10,HHousen/household-rooms,0.9395361911685954
11,Amrrs/indian-foods,0.8712567083388776
12,nateraw/planes-trains-automobiles,0.8315533733515279
13,julien-c/hotdog-not-hotdog,0.8682630480091493
14,jmarshall/rare-puppers,0.9108186097384413
15,nielsr/vit-finetuned-eurosat-kornia,0.8503961481656177
16,eren23/pneumonia_test_attempt,0.8044293121628892
17,micole66/dwarf-goats,0.877641682751112
18,nateraw/ex-for-evan,0.8973450702672093
19,karthiksv/vit-base-patch16-224-cifar10,0.8626394307397096
20,ferdinand/rare-puppers,0.8843711914323227
21,ipvikas/rare-puppers,0.8598705470696518
22,Frodnar/bee-likes,0.8535895424721911
23,nickmuchi/vit-base-beans,0.7858230248680597
24,nateraw/baseball-stadium-foods,0.8084248653130043
25,Giuliano/places,0.8078583025148355
26,firas-spanioli/beer-whisky-wine-detection,0.8268695758718484
27,jjhoffstein/lotr,0.8045759162522985
28,Nonem100/Test-Model,0.8476303504605904
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8699124169526954
30,LorenzoDeMattei/lawn-weeds,0.8718835942150123
31,nateraw/doggos-lol,0.8308148004368933
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9093717393997125
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9020039477251265
34,karthiksv/vit-base-beans,0.9099852667862669
35,Symbermine/rare-puppers,0.915413669271874
36,nateraw/vit-base-patch16-224-cifar10,0.8370208424836728
37,gatecitypreservation/architectural_styles,0.8650458545502089
38,Amrrs/south-indian-foods,0.9475720043993725
39,hafidber/fruits,0.8835002079337373
40,nateraw/rare-puppers-123,0.8380779331775562
41,Aftabhussain/Tomato_Leaf_Classifier,0.834182827248982
42,nickmuchi/vit-base-xray-pneumonia,0.820962326659952
43,Neto71/sea_mammals,0.8707132017650289
44,lewtun/oz-fauna,0.8785027864851136
45,hgarg/fruits,0.8961790556382536
46,jasmeen/dogs,0.9419410294759691
47,b25mayank3/shirt_identifier,0.8449023792601124
