,model,score
0,firebolt/llama_or_what2,-0.15042831335823648
1,google/vit-base-patch16-224,-0.17479176586486678
2,nateraw/denver-nyc-paris,-0.18842880722679478
3,black/simple_kitchen,-0.12931053895948263
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-0.106989962886187
5,Suzana/new-york-tokyo-london,-0.1668806304038124
6,filipafcastro/beer_vs_wine,-0.21153022868493077
7,nateraw/baked-goods,-0.11087800269963366
8,ajanco/greens,-0.13227317063414423
9,nateraw/vit-base-beans-demo,-0.23072314763356516
10,HHousen/household-rooms,-0.1783870214166674
11,Amrrs/indian-foods,-0.15405977655159742
12,nateraw/planes-trains-automobiles,-0.22061260198791666
13,julien-c/hotdog-not-hotdog,-0.16207371422044647
14,jmarshall/rare-puppers,-0.22194896441234668
15,nielsr/vit-finetuned-eurosat-kornia,-0.18846437667135074
16,eren23/pneumonia_test_attempt,-0.15425636323179281
17,micole66/dwarf-goats,-0.17171785838441322
18,nateraw/ex-for-evan,-0.13647888452052737
19,karthiksv/vit-base-patch16-224-cifar10,-0.1866168794120815
20,ferdinand/rare-puppers,-0.17996011864676542
21,ipvikas/rare-puppers,-0.1232838959665874
22,Frodnar/bee-likes,-0.09949508399269558
23,nickmuchi/vit-base-beans,-0.18068963895861567
24,nateraw/baseball-stadium-foods,-0.17129714649083305
25,Giuliano/places,-0.0897666223738558
26,firas-spanioli/beer-whisky-wine-detection,-0.12216283373752801
27,jjhoffstein/lotr,-0.1726384972409456
28,Nonem100/Test-Model,-0.1568156261927851
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-0.1389320000572214
30,LorenzoDeMattei/lawn-weeds,-0.10617474870437338
31,nateraw/doggos-lol,-0.24562369672821505
32,IDEA-CCNL/Taiyi-vit-87M-D,-0.18065519482968573
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,-0.14871321109493074
34,karthiksv/vit-base-beans,-0.1640051307906698
35,Symbermine/rare-puppers,-0.1788571838481361
36,nateraw/vit-base-patch16-224-cifar10,-0.10465793777983445
37,gatecitypreservation/architectural_styles,-0.1366965012903818
38,Amrrs/south-indian-foods,-0.16689412441738982
39,hafidber/fruits,-0.17818204208169308
40,nateraw/rare-puppers-123,-0.11284333769116595
41,Aftabhussain/Tomato_Leaf_Classifier,-0.21433136173076295
42,nickmuchi/vit-base-xray-pneumonia,-0.22570397632283323
43,Neto71/sea_mammals,-0.18545157716917782
44,lewtun/oz-fauna,-0.1934720770188454
45,hgarg/fruits,-0.13826463464105654
46,jasmeen/dogs,-0.1867216719442597
47,b25mayank3/shirt_identifier,-0.14188531126275228
48,jeffboudier/vision-transformers-spain-or-italy-fan,-0.12454803749459042
49,facebook/convnext-base-224-22k,0.08339566149514172
50,nickmuchi/vit-finetuned-cats-dogs,-0.221459701706747
51,godiec/diam,-0.16391574444099755
52,Rajaram1996/FacialEmoRecog,-0.17517144912197757
53,nateraw/vit-base-beans-demo-v3,-0.16397834802936906
54,firebolt/llama_or_what,-0.13428326696196802
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-0.11304099155820913
56,johnnydevriese/vit_beans,-0.2103050502179944
57,nateraw/vit-age-classifier,-0.15367539313895495
58,nateraw/vit-base-beans-demo-v2,-0.18811020363782083
59,mmekias/vit-base-beans,-0.12797339354657256
60,juanfiguera/ice_cream,-0.12702184667163285
61,drab/Infrastructures,-0.15300456470674573
62,nateraw/vit-base-beans,-0.11108852834191274
63,Sena/dog,-0.1723560886876383
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,-0.278482256892284
65,hafidber/rare-puppers,-0.14934640771104046
66,edixo/road_good_damaged_condition,-0.10045726005447708
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,-0.1863434947129341
68,Sena/flowers,-0.16107858017626175
69,matteopilotto/vit-base-patch16-224-in21k-snacks,-0.12478011534210176
70,johnnydevriese/vit-airplanes,-0.23725420449355505
