,model,score
0,firebolt/llama_or_what2,-46.386246
1,google/vit-base-patch16-224,-46.380882
2,nateraw/denver-nyc-paris,-46.403
3,black/simple_kitchen,-46.40232
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-46.423485
5,Suzana/new-york-tokyo-london,-46.390846
6,filipafcastro/beer_vs_wine,-46.41033
7,nateraw/baked-goods,-46.36673
8,ajanco/greens,-46.43651
9,nateraw/vit-base-beans-demo,-46.401443
10,HHousen/household-rooms,-46.431755
11,Amrrs/indian-foods,-46.377403
12,nateraw/planes-trains-automobiles,-46.42134
13,julien-c/hotdog-not-hotdog,-46.38259
14,jmarshall/rare-puppers,-46.424385
15,nielsr/vit-finetuned-eurosat-kornia,-46.43769
16,eren23/pneumonia_test_attempt,-46.437347
17,micole66/dwarf-goats,-46.42945
18,nateraw/ex-for-evan,-46.41002
19,karthiksv/vit-base-patch16-224-cifar10,-46.43152
20,ferdinand/rare-puppers,-46.423515
21,ipvikas/rare-puppers,-46.411568
22,Frodnar/bee-likes,-46.42057
23,nickmuchi/vit-base-beans,-46.449684
24,nateraw/baseball-stadium-foods,-46.417862
25,Giuliano/places,-46.39023
26,firas-spanioli/beer-whisky-wine-detection,-46.40547
27,jjhoffstein/lotr,-46.402824
28,Nonem100/Test-Model,-46.420845
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-46.469788
30,LorenzoDeMattei/lawn-weeds,-46.412895
31,nateraw/doggos-lol,-46.436485
32,IDEA-CCNL/Taiyi-vit-87M-D,-46.40484
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,-46.430573
34,karthiksv/vit-base-beans,-46.446823
35,Symbermine/rare-puppers,-46.44584
36,nateraw/vit-base-patch16-224-cifar10,-46.399788
37,gatecitypreservation/architectural_styles,-46.398582
38,Amrrs/south-indian-foods,-46.446808
39,hafidber/fruits,-46.443672
40,nateraw/rare-puppers-123,-46.41561
41,Aftabhussain/Tomato_Leaf_Classifier,-46.402115
42,nickmuchi/vit-base-xray-pneumonia,-46.427513
43,Neto71/sea_mammals,-46.416588
44,lewtun/oz-fauna,-46.402443
45,hgarg/fruits,-46.398926
46,jasmeen/dogs,-46.43038
47,b25mayank3/shirt_identifier,-46.393547
48,jeffboudier/vision-transformers-spain-or-italy-fan,-46.418907
