,mappedID,model,score
0,73,Aftabhussain/Tomato_Leaf_Classifier,-2.2148752
1,74,Ahmed9275/ALL-3,0.35329866
2,75,Ahmed9275/ALL-test,-3.2469714
3,76,Ahmed9275/Vit-Cifar100,-12.214949
4,77,AhmedSayeem/VIT_Basic,-2.9100113
5,78,AkshatSurolia/BEiT-FaceMask-Finetuned,2.8830514
6,79,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,-4.1513624
7,80,AkshatSurolia/DeiT-FaceMask-Finetuned,-6.348941
8,81,AkshatSurolia/ViT-FaceMask-Finetuned,-3.8215728
9,82,Amrrs/indian-foods,-7.6871743
10,83,Amrrs/south-indian-foods,14.217745
11,84,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,2.8560724
12,85,AykeeSalazar/vc-bantai-vit-withoutAMBI,-9.950021
13,86,Frodnar/bee-likes,5.817663
14,87,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7826561
15,88,Giuliano/places,-1.3781898
16,89,HHousen/household-rooms,-1.5992093
17,90,Hijazzi/rare-puppers,-17.583673
18,91,IDEA-CCNL/Taiyi-vit-87M-D,4.9361525
19,92,LorenzoDeMattei/lawn-weeds,0.37971303
20,93,Matthijs/snacks-classifier,0.4553064
21,94,Neto71/sea_mammals,14.947978
22,95,Nonem100/Test-Model,9.827313
23,96,Rajaram1996/FacialEmoRecog,-6.087818
24,97,Sena/dog,-12.817867
25,98,Sena/flowers,-9.054437
26,99,SriramSridhar78/sriram-car-classifier,-0.5885515
27,100,Suzana/new-york-tokyo-london,-9.374275
28,101,Symbermine/rare-puppers,1.5860238
29,102,Visual-Attention-Network/van-base,-3.0532784
30,103,Visual-Attention-Network/van-large,-2.5080996
31,104,Visual-Attention-Network/van-small,-0.46134865
32,105,Visual-Attention-Network/van-tiny,6.012482
33,106,Zayn/VIT_Basic,-5.3862634
34,107,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,5.588312
35,108,ajanco/greens,-1.8903408
36,109,akahana/vit-base-cats-vs-dogs,14.999603
37,110,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,1.4663042
38,111,b25mayank3/shirt_identifier,3.1232448
39,112,black/simple_kitchen,1.6389551
40,113,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-6.4946775
41,114,drab/Infrastructures,10.340178
42,115,driboune/skin_type,-4.226102
43,116,edixo/road_good_damaged_condition,-0.4815898
44,117,eren23/pneumonia_test_attempt,-3.755427
45,118,eslamxm/vit-base-food101,2.0239286
46,119,facebook/convnext-base-224,-0.01772976
47,120,facebook/convnext-base-224-22k,-17.954245
48,121,facebook/convnext-base-224-22k-1k,2.2145596
49,122,facebook/convnext-base-384,-2.864967
50,123,facebook/convnext-base-384-22k-1k,-0.09876728
51,124,facebook/convnext-large-224,-7.2679777
52,125,facebook/convnext-large-224-22k,4.12214
53,126,facebook/convnext-large-224-22k-1k,0.12419772
54,127,facebook/convnext-large-384,-4.4251833
55,128,facebook/convnext-large-384-22k-1k,-1.8364218
56,129,facebook/convnext-small-224,4.51899
57,130,facebook/convnext-tiny-224,-9.361774
58,131,facebook/convnext-xlarge-224-22k,3.5019603
59,132,facebook/deit-base-distilled-patch16-224,-0.11658907
60,133,facebook/deit-base-distilled-patch16-384,1.4678447
61,134,facebook/deit-base-patch16-224,2.3976514
62,135,facebook/deit-base-patch16-384,3.05021
63,136,facebook/deit-small-distilled-patch16-224,-1.7754997
64,137,facebook/deit-small-patch16-224,-2.988739
65,138,facebook/deit-tiny-distilled-patch16-224,-1.7296665
66,139,facebook/deit-tiny-patch16-224,2.05022
67,140,ferdinand/rare-puppers,-1.6345265
68,141,filipafcastro/beer_vs_wine,-1.3208673
69,142,firas-spanioli/beer-whisky-wine-detection,-1.9586229
70,143,firebolt/llama_or_what,-8.41102
71,144,firebolt/llama_or_what2,-7.62873
72,145,gatecitypreservation/architectural_styles,-1.537466
73,146,godiec/diam,-0.20466745
74,147,google/vit-base-patch16-224,-4.418494
75,148,google/vit-base-patch16-384,2.3519878
76,149,google/vit-base-patch32-384,3.0876718
