,model,score
0,firebolt/llama_or_what2,0.9137017393066487
1,google/vit-base-patch16-224,0.9189609970711566
2,nateraw/denver-nyc-paris,0.9243605213139202
3,black/simple_kitchen,0.9199330300998965
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9400735218051282
5,Suzana/new-york-tokyo-london,0.92422491983874
6,filipafcastro/beer_vs_wine,0.9278677557073786
7,nateraw/baked-goods,0.9237934544616758
8,ajanco/greens,0.9225089690415698
9,nateraw/vit-base-beans-demo,0.9470956980194768
10,HHousen/household-rooms,0.9244098026404631
11,Amrrs/indian-foods,0.9273567655567468
12,nateraw/planes-trains-automobiles,0.925485635413416
13,julien-c/hotdog-not-hotdog,0.9245117345842642
14,jmarshall/rare-puppers,0.9270284217680509
15,nielsr/vit-finetuned-eurosat-kornia,0.9315480581224962
16,eren23/pneumonia_test_attempt,0.9395414478699814
17,micole66/dwarf-goats,0.9197685599642069
18,nateraw/ex-for-evan,0.924931911986342
19,karthiksv/vit-base-patch16-224-cifar10,0.9348194538139809
20,ferdinand/rare-puppers,0.8998859761671006
21,ipvikas/rare-puppers,0.9246257828285169
22,Frodnar/bee-likes,0.9235284657060161
23,nickmuchi/vit-base-beans,0.9468708578607856
24,nateraw/baseball-stadium-foods,0.9257818731324944
25,Giuliano/places,0.925656195280995
26,firas-spanioli/beer-whisky-wine-detection,0.9243601114483916
27,jjhoffstein/lotr,0.9147786901640926
28,Nonem100/Test-Model,0.9250659254245804
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9273424293051992
30,LorenzoDeMattei/lawn-weeds,0.9259691558686873
31,nateraw/doggos-lol,0.925989482558679
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9207080860251012
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9388871531867808
34,karthiksv/vit-base-beans,0.9455193865870557
35,Symbermine/rare-puppers,0.9255781595674172
36,nateraw/vit-base-patch16-224-cifar10,0.9336885527645167
37,gatecitypreservation/architectural_styles,0.9223126672412899
38,Amrrs/south-indian-foods,0.9225535951891283
39,hafidber/fruits,0.9246633342126123
40,nateraw/rare-puppers-123,0.9299326853993769
41,Aftabhussain/Tomato_Leaf_Classifier,0.9278154783801998
42,nickmuchi/vit-base-xray-pneumonia,0.9392292776533313
43,Neto71/sea_mammals,0.9212965840892315
44,lewtun/oz-fauna,0.9216595059199676
45,hgarg/fruits,0.9266095065701674
46,jasmeen/dogs,0.927761098478955
47,b25mayank3/shirt_identifier,0.9178417005874537
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.9176443695656752
49,facebook/convnext-base-224-22k,0.8612006479669961
50,nickmuchi/vit-finetuned-cats-dogs,0.9447047639319279
51,godiec/diam,0.9248499822226329
52,Rajaram1996/FacialEmoRecog,0.9521262096735026
53,nateraw/vit-base-beans-demo-v3,0.9447718561904492
54,firebolt/llama_or_what,0.9101963004131723
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9361775590520496
56,johnnydevriese/vit_beans,0.9431486062361261
57,nateraw/vit-age-classifier,0.9490738378945978
58,nateraw/vit-base-beans-demo-v2,0.945118284701083
59,mmekias/vit-base-beans,0.9455906259596292
60,juanfiguera/ice_cream,0.9158987676798344
61,drab/Infrastructures,0.9256337716455355
62,nateraw/vit-base-beans,0.9462104642539579
63,Sena/dog,0.9261718367631764
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.925636737842876
65,hafidber/rare-puppers,0.9238141860216191
66,edixo/road_good_damaged_condition,0.9263253416795614
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9276446832702555
68,Sena/flowers,0.9199881185806696
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9532277012824294
70,johnnydevriese/vit-airplanes,0.9284922808581957
71,nateraw/pasta-shapes,0.9272395636751807
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9268800513235707
73,hgarg/indian-snacks,0.9212262261682787
74,nateraw/vit-base-food101,0.9251275038456633
75,Hijazzi/rare-puppers,0.9279945034628106
76,nateraw/trainer-rare-puppers,0.9248168095833764
77,ibombonato/vit-age-classifier,0.9475256719280821
78,nateraw/rare-puppers-new-auth,0.9257267835755649
79,SriramSridhar78/sriram-car-classifier,0.9074911173244502
80,ismgar01/vit-base-cats-vs-dogs,0.9432551162123753
81,nateraw/rare-puppers,0.9238746410471939
82,iyzg/computer-stuff,0.9248553120357704
83,nateraw/huggingpics-package-demo-2,0.9261731004124212
84,imjeffhi/pokemon_classifier,0.9144521487859879
85,nateraw/pasta-pizza-ravioli,0.9234700960801893
86,akahana/vit-base-cats-vs-dogs,0.9457639059453913
87,nateraw/donut-or-bagel,0.9235318663223315
88,nateraw/rare-puppers-09-04-2021,0.9258337851062973
89,nateraw/vit-base-cats-vs-dogs,0.9427368055729402
90,Zayn/VIT_Basic,0.9228199115890886
