,model,score
0,ibombonato/swin-age-classifier,0.836292056069698
1,akahana/vit-base-cats-vs-dogs,0.8366995295702155
2,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8408958526176972
3,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.859712545069134
4,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8992264820063726
5,nielsr/convnext-tiny-finetuned-eurostat,0.8937431077740353
6,micole66/dwarf-goats,0.835455451973422
7,b25mayank3/shirt_identifier,0.8367641566553489
8,Amrrs/south-indian-foods,0.8365227913566897
9,hafidber/fruits,0.8348427185113316
10,godiec/diam,0.8368751289668228
11,flyswot/test,0.8232607160415362
12,facebook/convnext-base-224,0.9286834133591078
13,mrm8488/data2vec-base-finetuned-imagenet1k,0.798603765691996
14,lysandre/tiny-vit-random,0.0
15,google/vit-base-patch16-384,0.9595857450403718
16,facebook/convnext-large-384-22k-1k,0.8722165270453904
17,SriramSridhar78/sriram-car-classifier,0.8378607298640717
