,model,score
0,firebolt/llama_or_what2,0.9045806318374489
1,google/vit-base-patch16-224,0.8993354046419944
2,nateraw/denver-nyc-paris,0.9045806318374489
3,black/simple_kitchen,0.9045806318374489
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8988511764913631
5,Suzana/new-york-tokyo-london,0.8995677604553723
6,filipafcastro/beer_vs_wine,0.9045806318374489
7,nateraw/baked-goods,0.9045806318374489
8,ajanco/greens,0.9039900729254389
9,nateraw/vit-base-beans-demo,0.9032977464974818
10,HHousen/household-rooms,0.9045806318374489
11,Amrrs/indian-foods,0.9045806318374489
12,nateraw/planes-trains-automobiles,0.9045806318374489
13,julien-c/hotdog-not-hotdog,0.9045806318374489
14,jmarshall/rare-puppers,0.9000185199651151
15,nielsr/vit-finetuned-eurosat-kornia,0.8973896172821408
16,eren23/pneumonia_test_attempt,0.9039900729254389
17,micole66/dwarf-goats,0.9041889611361281
18,nateraw/ex-for-evan,0.902936195645572
19,karthiksv/vit-base-patch16-224-cifar10,0.9024928310239294
20,ferdinand/rare-puppers,0.8993581224578214
21,ipvikas/rare-puppers,0.9000185199651151
22,Frodnar/bee-likes,0.9027764362262581
23,nickmuchi/vit-base-beans,0.9045806318374489
24,nateraw/baseball-stadium-foods,0.902936195645572
25,Giuliano/places,0.9001952443228824
26,firas-spanioli/beer-whisky-wine-detection,0.9041889611361281
27,jjhoffstein/lotr,0.90370646772311
28,Nonem100/Test-Model,0.9045806318374489
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.902936195645572
30,LorenzoDeMattei/lawn-weeds,0.9045806318374489
31,nateraw/doggos-lol,0.9045806318374489
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8970385201585658
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9045806318374489
34,karthiksv/vit-base-beans,0.9045806318374489
35,Symbermine/rare-puppers,0.9045806318374489
36,nateraw/vit-base-patch16-224-cifar10,0.8979885319473592
37,gatecitypreservation/architectural_styles,0.9045806318374489
38,Amrrs/south-indian-foods,0.9045806318374489
39,hafidber/fruits,0.9041889611361281
40,nateraw/rare-puppers-123,0.8962536050166282
41,Aftabhussain/Tomato_Leaf_Classifier,0.9045806318374489
42,nickmuchi/vit-base-xray-pneumonia,0.9045806318374489
43,Neto71/sea_mammals,0.9045806318374489
44,lewtun/oz-fauna,0.9045806318374489
45,hgarg/fruits,0.9045806318374489
46,jasmeen/dogs,0.9045806318374489
47,b25mayank3/shirt_identifier,0.902936195645572
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8995677604553723
49,facebook/convnext-base-224-22k,0.902899642069636
50,nickmuchi/vit-finetuned-cats-dogs,0.9045806318374489
51,godiec/diam,0.9045806318374489
52,Rajaram1996/FacialEmoRecog,0.9045806318374489
53,nateraw/vit-base-beans-demo-v3,0.9045806318374489
54,firebolt/llama_or_what,0.9045806318374489
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9024928310239294
56,johnnydevriese/vit_beans,0.9045806318374489
57,nateraw/vit-age-classifier,0.9006502131571139
58,nateraw/vit-base-beans-demo-v2,0.9045806318374489
59,mmekias/vit-base-beans,0.9045806318374489
60,juanfiguera/ice_cream,0.9045806318374489
61,drab/Infrastructures,0.9024928310239294
62,nateraw/vit-base-beans,0.9045806318374489
63,Sena/dog,0.9045806318374489
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9045806318374489
65,hafidber/rare-puppers,0.8993354046419944
66,edixo/road_good_damaged_condition,0.902936195645572
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9045806318374489
68,Sena/flowers,0.9045806318374489
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9045806318374489
70,johnnydevriese/vit-airplanes,0.9045806318374489
71,nateraw/pasta-shapes,0.9045806318374489
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9045806318374489
73,hgarg/indian-snacks,0.9045806318374489
74,nateraw/vit-base-food101,0.9000185199651151
75,Hijazzi/rare-puppers,0.8958492637426199
76,nateraw/trainer-rare-puppers,0.8685905477185472
77,ibombonato/vit-age-classifier,0.9045806318374489
78,nateraw/rare-puppers-new-auth,0.9008594131013584
79,SriramSridhar78/sriram-car-classifier,0.9041889611361281
80,ismgar01/vit-base-cats-vs-dogs,0.9045806318374489
81,nateraw/rare-puppers,0.8993354046419944
82,iyzg/computer-stuff,0.9039900729254389
83,nateraw/huggingpics-package-demo-2,0.9045806318374489
84,imjeffhi/pokemon_classifier,0.8965760785165386
85,nateraw/pasta-pizza-ravioli,0.9039900729254389
86,akahana/vit-base-cats-vs-dogs,0.8991964558412592
87,nateraw/donut-or-bagel,0.9039900729254389
88,nateraw/rare-puppers-09-04-2021,0.8945917858002654
89,nateraw/vit-base-cats-vs-dogs,0.9045806318374489
90,Zayn/VIT_Basic,0.9045806318374489
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.902936195645572
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.9045806318374489
93,microsoft/swin-large-patch4-window7-224-in22k,0.902899642069636
94,Ahmed9275/Vit-Cifar100,0.8912211913355007
95,driboune/skin_type,0.9045806318374489
96,microsoft/swin-base-patch4-window7-224-in22k,0.902899642069636
97,facebook/deit-base-patch16-224,0.9045806318374489
98,facebook/deit-base-distilled-patch16-224,0.9032913127709566
99,eslamxm/vit-base-food101,0.9011979486348776
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8666894595089328
101,facebook/convnext-base-224,0.8905853127190528
102,facebook/convnext-small-224,0.8914157595334119
103,microsoft/swin-base-patch4-window7-224,0.899662593679926
104,microsoft/beit-base-patch16-224,0.7513961188949533
105,mrm8488/convnext-tiny-finetuned-eurosat,0.8902826463826875
106,mrm8488/convnext-tiny-finetuned-beans,0.9014749705240439
107,facebook/convnext-tiny-224,0.9003457090030466
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8902826463826875
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8399208585232697
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.8973162360276129
111,Calin/convnext-tiny-finteuned-eurosat,0.8902826463826875
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8933542394029408
113,Visual-Attention-Network/van-small,0.894258879077079
114,WinKawaks/vit-small-patch16-224,0.8989223807173468
115,facebook/deit-small-distilled-patch16-224,0.8946639638392759
116,Visual-Attention-Network/van-base,0.8946505497783996
117,jadohu/BEiT-finetuned,0.8772404392126981
118,nielsr/convnext-tiny-finetuned-eurostat,0.8923847593535004
119,facebook/deit-small-patch16-224,0.89828333643338
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8964263780416236
121,microsoft/swin-small-patch4-window7-224,0.8996538650947058
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8905662515850163
123,Ahmed9275/ALL-3,0.8994127419753088
124,facebook/convnext-large-224,0.8986633135422875
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8941131365522175
126,WinKawaks/vit-tiny-patch16-224,0.8343367813617466
127,Visual-Attention-Network/van-tiny,0.8753121189695108
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8902826463826875
129,facebook/deit-tiny-distilled-patch16-224,0.8734570777953864
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8963176202019999
131,nielsr/convnext-tiny-finetuned-eurosat,0.8923847593535004
132,ibombonato/swin-age-classifier,0.896699212880867
133,Ahmed9275/ALL-test,0.8964263780416236
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8905662515850163
135,facebook/deit-tiny-patch16-224,0.8719661542952786
136,microsoft/swin-tiny-patch4-window7-224,0.8983593233244147
137,flyswot/test,0.8979955705322082
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8923847593535004
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8905662515850163
140,nielsr/van-base-finetuned-eurosat-imgaug,0.8926683645558292
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8905662515850163
142,Visual-Attention-Network/van-large,0.9014749705240439
143,Matthijs/snacks-classifier,0.9023661851626903
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8916196702359105
145,nateraw/test_model_a,0.015396918779741229
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8905662515850163
147,google/vit-base-patch32-384,0.9045806318374489
148,nateraw/rare-puppers-demo,0.9045806318374489
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.719387455291196
150,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8943911654590557
151,meame2010/rare-puppers,0.9045806318374489
152,facebook/convnext-base-224-22k-1k,0.901525292026447
153,google/vit-large-patch32-384,0.898948828924538
154,microsoft/swin-large-patch4-window7-224,0.902899642069636
155,mmgyorke/vit-world-landmarks,0.9024655721871433
156,lysandre/tiny-vit-random,0.037668484171798654
157,AhmedSayeem/VIT_Basic,0.902936195645572
158,facebook/convnext-large-224-22k-1k,0.902899642069636
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9025594033406071
160,facebook/convnext-base-384,0.9010832998227233
161,microsoft/resnet-50,0.8959684553899706
