,model,score
0,firebolt/llama_or_what2,0.9391795707042043
1,google/vit-base-patch16-224,0.9368235745449438
2,nateraw/denver-nyc-paris,0.9325392043257706
3,black/simple_kitchen,0.9382613835839507
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9393490938564258
5,Suzana/new-york-tokyo-london,0.9385747717071673
6,filipafcastro/beer_vs_wine,0.9335192718013277
7,nateraw/baked-goods,0.9399272603602903
8,ajanco/greens,0.9372115884601885
9,nateraw/vit-base-beans-demo,0.9137277523181574
10,HHousen/household-rooms,0.9123913377636633
11,Amrrs/indian-foods,0.9137277523181574
12,nateraw/planes-trains-automobiles,0.9137277523181574
13,julien-c/hotdog-not-hotdog,0.9390839755205809
14,jmarshall/rare-puppers,0.9137277523181574
15,nielsr/vit-finetuned-eurosat-kornia,0.9123913377636633
16,eren23/pneumonia_test_attempt,0.912304009502731
17,micole66/dwarf-goats,0.910967594948237
18,nateraw/ex-for-evan,0.9137277523181574
19,karthiksv/vit-base-patch16-224-cifar10,0.9390839755205809
20,ferdinand/rare-puppers,0.9137277523181574
21,ipvikas/rare-puppers,0.9137277523181574
22,Frodnar/bee-likes,0.9123913377636633
23,nickmuchi/vit-base-beans,0.9390839755205809
24,nateraw/baseball-stadium-foods,0.9407711833217866
25,Giuliano/places,0.9407711833217866
26,firas-spanioli/beer-whisky-wine-detection,0.9407711833217866
27,jjhoffstein/lotr,0.9407711833217866
28,Nonem100/Test-Model,0.9407711833217866
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9407711833217866
30,LorenzoDeMattei/lawn-weeds,0.9407711833217866
31,nateraw/doggos-lol,0.9407711833217866
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9390121236256719
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9407711833217866
34,karthiksv/vit-base-beans,0.9407711833217866
35,Symbermine/rare-puppers,0.9407711833217866
36,nateraw/vit-base-patch16-224-cifar10,0.9414956665464322
37,gatecitypreservation/architectural_styles,0.9407711833217866
38,Amrrs/south-indian-foods,0.9407711833217866
39,hafidber/fruits,0.9411016112715829
40,nateraw/rare-puppers-123,0.9411016112715829
41,Aftabhussain/Tomato_Leaf_Classifier,0.9300524545386994
42,nickmuchi/vit-base-xray-pneumonia,0.9411016112715829
43,Neto71/sea_mammals,0.9411016112715829
44,lewtun/oz-fauna,0.9411016112715829
45,hgarg/fruits,0.9411016112715829
46,jasmeen/dogs,0.9411016112715829
47,b25mayank3/shirt_identifier,0.9411016112715829
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.9411016112715829
49,facebook/convnext-base-224-22k,0.9409183316991399
50,nickmuchi/vit-finetuned-cats-dogs,0.9411016112715829
51,godiec/diam,0.9411016112715829
52,Rajaram1996/FacialEmoRecog,0.9411016112715829
53,nateraw/vit-base-beans-demo-v3,0.9411016112715829
54,firebolt/llama_or_what,0.9411016112715829
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9403553630053159
56,johnnydevriese/vit_beans,0.9123913377636633
57,nateraw/vit-age-classifier,0.9123913377636633
58,nateraw/vit-base-beans-demo-v2,0.9137277523181574
59,mmekias/vit-base-beans,0.9390839755205809
60,juanfiguera/ice_cream,0.910967594948237
61,drab/Infrastructures,0.9137277523181574
62,nateraw/vit-base-beans,0.9137277523181574
63,Sena/dog,0.9137277523181574
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.912304009502731
65,hafidber/rare-puppers,0.9390839755205809
66,edixo/road_good_damaged_condition,0.912304009502731
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9137277523181574
68,Sena/flowers,0.9123913377636633
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9137277523181574
70,johnnydevriese/vit-airplanes,0.9406857909551123
71,nateraw/pasta-shapes,0.9408254507555607
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9408254507555607
73,hgarg/indian-snacks,0.9408254507555607
74,nateraw/vit-base-food101,0.9408254507555607
75,Hijazzi/rare-puppers,0.9408254507555607
76,nateraw/trainer-rare-puppers,0.9408254507555607
77,ibombonato/vit-age-classifier,0.9408254507555607
