,model,score
0,google/vit-base-patch16-224,0.823349515983272
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8283490636612121
2,facebook/deit-base-patch16-224,0.8278175247569673
3,facebook/deit-base-distilled-patch16-224,0.8156296716225094
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8013612970564499
5,facebook/convnext-base-224,0.8501300776908945
6,facebook/convnext-small-224,0.8475915347937473
7,microsoft/swin-base-patch4-window7-224,0.8394939346131713
8,microsoft/beit-base-patch16-224,0.5716185759100314
9,facebook/convnext-tiny-224,0.8342956282912094
10,Visual-Attention-Network/van-small,0.8104019722135972
11,WinKawaks/vit-small-patch16-224,0.7887100322157764
12,facebook/deit-small-distilled-patch16-224,0.7811649744534254
13,Visual-Attention-Network/van-base,0.8172649246037972
14,facebook/deit-small-patch16-224,0.8362789578446334
15,microsoft/swin-small-patch4-window7-224,0.8376507695362746
16,Ahmed9275/ALL-3,0.8437230133261062
17,facebook/convnext-large-224,0.8504292301404395
18,WinKawaks/vit-tiny-patch16-224,0.646991129443621
19,Visual-Attention-Network/van-tiny,0.795683760319147
20,facebook/deit-tiny-distilled-patch16-224,0.7629423194054334
21,Ahmed9275/ALL-test,0.8426207102496212
22,facebook/deit-tiny-patch16-224,0.7848385878978058
23,microsoft/swin-tiny-patch4-window7-224,0.8376507695362746
24,Visual-Attention-Network/van-large,0.8117737839052385
25,google/vit-base-patch32-384,0.8078438977070178
26,facebook/convnext-base-224-22k-1k,0.8399834294723577
27,google/vit-large-patch32-384,0.8456776337585442
28,microsoft/swin-large-patch4-window7-224,0.8590994893754837
29,lysandre/tiny-vit-random,0.0708221696763435
30,facebook/convnext-large-224-22k-1k,0.8645783504197226
31,facebook/convnext-base-384,0.8504292301404395
32,microsoft/resnet-50,0.8312879948154176
33,microsoft/beit-base-patch16-224-pt22k,0.548809348085676
34,microsoft/beit-large-patch16-224,0.5512526333900789
35,google/vit-large-patch16-224,0.8478372308384361
36,facebook/convnext-large-384,0.8641446410048625
37,facebook/convnext-large-384-22k-1k,0.8667388736177088
38,nielsr/convnext-xlarge-224-22k-1k,0.8645783504197226
39,facebook/deit-base-patch16-384,0.8444439642839271
40,google/vit-base-patch16-384,0.8388885888104172
41,facebook/deit-base-distilled-patch16-384,0.8524493325363521
42,facebook/convnext-xlarge-224-22k-1k,0.868112094206864
43,microsoft/beit-large-patch16-384,0.8400732684952679
44,microsoft/swin-large-patch4-window12-384,0.8592793084593774
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7905390586728801
46,karthiksv/vit-base-patch16-224-cifar10,0.8212441489448965
47,nateraw/vit-base-patch16-224-cifar10,0.7903801625941143
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.7996665582714607
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8085987621158397
50,jadohu/BEiT-finetuned,0.6062622736889994
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.7911915837489703
52,nateraw/vit-base-beans-demo,0.8175005497021214
53,nickmuchi/vit-base-beans,0.8094700480402818
54,karthiksv/vit-base-beans,0.8203195165961694
55,nateraw/vit-base-beans-demo-v3,0.8182165948240787
56,johnnydevriese/vit_beans,0.8182165948240787
57,nateraw/vit-base-beans-demo-v2,0.817955945270235
58,mmekias/vit-base-beans,0.8241535103313824
59,nateraw/vit-base-beans,0.8212441489448965
60,mrm8488/convnext-tiny-finetuned-beans,0.8319265863078499
61,nielsr/vit-finetuned-eurosat-kornia,0.7909623117996099
62,mrm8488/convnext-tiny-finetuned-eurosat,0.8039145292220172
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8306188479507132
64,Calin/convnext-tiny-finteuned-eurosat,0.8307292702697886
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.7985764817946597
66,nielsr/convnext-tiny-finetuned-eurostat,0.8187182072150253
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8330293882273613
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.802542717530376
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.802542717530376
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8020513467531871
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.827193306072198
72,nielsr/convnext-tiny-finetuned-eurosat,0.7803774698739226
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.802542717530376
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8137505868536933
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8020513467531871
76,nielsr/van-base-finetuned-eurosat-imgaug,0.8015220740710274
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.802542717530376
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8023996991283812
