,model,score
0,firebolt/llama_or_what2,0.8306250088343582
1,google/vit-base-patch16-224,0.8628351566996464
2,nateraw/denver-nyc-paris,0.859506842187735
3,black/simple_kitchen,0.859506842187735
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8584806882088613
5,Suzana/new-york-tokyo-london,0.8385311891693317
6,filipafcastro/beer_vs_wine,0.8569285372163309
7,nateraw/baked-goods,0.8596327227543806
8,ajanco/greens,0.8306250088343582
9,nateraw/vit-base-beans-demo,0.858887644890141
10,HHousen/household-rooms,0.8619078164323549
11,Amrrs/indian-foods,0.8595149016389929
12,nateraw/planes-trains-automobiles,0.8596112879790218
13,julien-c/hotdog-not-hotdog,0.8303455417449106
14,jmarshall/rare-puppers,0.8546909491166601
15,nielsr/vit-finetuned-eurosat-kornia,0.8569193746532726
16,eren23/pneumonia_test_attempt,0.8347000429304063
17,micole66/dwarf-goats,0.8497059139616792
18,nateraw/ex-for-evan,0.8574645196463833
19,karthiksv/vit-base-patch16-224-cifar10,0.8514776019364085
20,ferdinand/rare-puppers,0.8474638166148416
21,ipvikas/rare-puppers,0.8589294468619432
22,Frodnar/bee-likes,0.8579213159937461
23,nickmuchi/vit-base-beans,0.8488152240395971
24,nateraw/baseball-stadium-foods,0.8595149016389929
25,Giuliano/places,0.8580257617850329
26,firas-spanioli/beer-whisky-wine-detection,0.8382193412023434
27,jjhoffstein/lotr,0.859506842187735
28,Nonem100/Test-Model,0.8580257617850329
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8595149016389929
30,LorenzoDeMattei/lawn-weeds,0.8596112879790218
31,nateraw/doggos-lol,0.8595149016389929
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8363796433639505
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8566585719336736
34,karthiksv/vit-base-beans,0.8174773416500009
35,Symbermine/rare-puppers,0.8385311891693317
36,nateraw/vit-base-patch16-224-cifar10,0.8506945111773806
37,gatecitypreservation/architectural_styles,0.8306250088343582
38,Amrrs/south-indian-foods,0.8585091521963917
39,hafidber/fruits,0.857440307007983
40,nateraw/rare-puppers-123,0.8595149016389929
41,Aftabhussain/Tomato_Leaf_Classifier,0.8374184867316753
42,nickmuchi/vit-base-xray-pneumonia,0.8461052539671431
43,Neto71/sea_mammals,0.8583832716297459
44,lewtun/oz-fauna,0.8589213874106852
45,hgarg/fruits,0.8595149016389929
46,jasmeen/dogs,0.8385311891693317
47,b25mayank3/shirt_identifier,0.8582868852897171
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8568240914250441
49,facebook/convnext-base-224-22k,0.8655049767187218
50,nickmuchi/vit-finetuned-cats-dogs,0.8577904203214389
51,godiec/diam,0.8583913310810038
52,Rajaram1996/FacialEmoRecog,0.8552723224208079
53,nateraw/vit-base-beans-demo-v3,0.8153839018480993
54,firebolt/llama_or_what,0.860784245874366
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8584806882088613
56,johnnydevriese/vit_beans,0.8567408765575025
57,nateraw/vit-age-classifier,0.8513486798334442
58,nateraw/vit-base-beans-demo-v2,0.8571080099417425
59,mmekias/vit-base-beans,0.858887644890141
60,juanfiguera/ice_cream,0.8563547698049314
61,drab/Infrastructures,0.8580499744234332
62,nateraw/vit-base-beans,0.858887644890141
63,Sena/dog,0.8595149016389929
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.853593724547958
65,hafidber/rare-puppers,0.8376812254214043
66,edixo/road_good_damaged_condition,0.8585140634103197
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8581390453889601
68,Sena/flowers,0.8580345995976734
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8584889660386377
