,model,score
0,firebolt/llama_or_what2,0.8253215903967078
1,google/vit-base-patch16-224,0.8210299743247819
2,nateraw/denver-nyc-paris,0.8253215903967078
3,black/simple_kitchen,0.8319464307908886
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8027665815515778
5,Suzana/new-york-tokyo-london,0.8097974446198193
6,filipafcastro/beer_vs_wine,0.8253215903967078
7,nateraw/baked-goods,0.8253215903967078
8,ajanco/greens,0.8253215903967078
9,nateraw/vit-base-beans-demo,0.8254474887495843
10,HHousen/household-rooms,0.8253215903967078
11,Amrrs/indian-foods,0.8253215903967078
12,nateraw/planes-trains-automobiles,0.8253215903967078
13,julien-c/hotdog-not-hotdog,0.8253215903967078
14,jmarshall/rare-puppers,0.8253215903967078
15,nielsr/vit-finetuned-eurosat-kornia,0.8152525083125194
16,eren23/pneumonia_test_attempt,0.8254474887495843
17,micole66/dwarf-goats,0.8253215903967078
18,nateraw/ex-for-evan,0.8253215903967078
19,karthiksv/vit-base-patch16-224-cifar10,0.830634715452328
20,ferdinand/rare-puppers,0.8274330766310953
21,ipvikas/rare-puppers,0.8255013503501603
22,Frodnar/bee-likes,0.8274566048351748
23,nickmuchi/vit-base-beans,0.8231316232349937
24,nateraw/baseball-stadium-foods,0.8253215903967078
25,Giuliano/places,0.8253215903967078
26,firas-spanioli/beer-whisky-wine-detection,0.8253215903967078
27,jjhoffstein/lotr,0.8253215903967078
28,Nonem100/Test-Model,0.8253215903967078
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8251535201056218
30,LorenzoDeMattei/lawn-weeds,0.8253215903967078
31,nateraw/doggos-lol,0.8254699680451634
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8319361103749279
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8254474887495843
34,karthiksv/vit-base-beans,0.8254474887495843
35,Symbermine/rare-puppers,0.8253215903967078
36,nateraw/vit-base-patch16-224-cifar10,0.810160560102076
37,gatecitypreservation/architectural_styles,0.8209101676369941
38,Amrrs/south-indian-foods,0.8254699680451634
39,hafidber/fruits,0.8297408969806749
40,nateraw/rare-puppers-123,0.8253215903967078
41,Aftabhussain/Tomato_Leaf_Classifier,0.8253215903967078
42,nickmuchi/vit-base-xray-pneumonia,0.8254474887495843
43,Neto71/sea_mammals,0.8248270643315795
44,lewtun/oz-fauna,0.8253215903967078
