,model,score
0,Rajaram1996/FacialEmoRecog,0.8940222386751785
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8902557242052193
2,nateraw/vit-age-classifier,0.892728032657305
3,ibombonato/vit-age-classifier,0.8920427656467527
4,nickmuchi/vit-base-beans,0.8965101142379246
5,nateraw/vit-base-beans-demo,0.8910827662855353
6,nateraw/vit-base-beans-demo-v3,0.8956558577187097
7,johnnydevriese/vit_beans,0.8899008664810755
8,mmekias/vit-base-beans,0.8938742044791539
9,nateraw/vit-base-beans-demo-v2,0.8865102980846106
10,nateraw/vit-base-beans,0.8911379428182911
11,mrm8488/convnext-tiny-finetuned-beans,0.8943820749726095
12,akahana/vit-base-cats-vs-dogs,0.8911024801832734
13,nateraw/vit-base-cats-vs-dogs,0.8908580971653381
14,nateraw/test_model_a,0.09952072142912517
15,eren23/pneumonia_test_attempt,0.8934108744776204
16,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.894415927938841
17,nickmuchi/vit-base-xray-pneumonia,0.8871372434736905
18,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8925135480355205
19,karthiksv/vit-base-patch16-224-cifar10,0.893094387441694
20,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8916834912824934
21,jadohu/BEiT-finetuned,0.8211587737933858
22,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.890690704982116
23,nielsr/vit-finetuned-eurosat-kornia,0.8884113569671154
24,nielsr/van-base-finetuned-eurosat-imgaug,0.8946532469274654
25,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.889986299275879
26,Calin/convnext-tiny-finteuned-eurosat,0.9015303025573188
27,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8876299546715666
28,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8937660169364547
29,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8925531750740633
30,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8912078406273076
31,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8889930118074095
32,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8976329646799492
33,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8930098496048039
34,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8975536187472105
35,nateraw/vit-base-food101,0.8916519090993191
36,eslamxm/vit-base-food101,0.8893239664494764
37,nateraw/baked-goods,0.8925091883136897
38,black/simple_kitchen,0.8929886685837026
39,jmarshall/rare-puppers,0.8916279620464742
40,filipafcastro/beer_vs_wine,0.8953266998891765
41,julien-c/hotdog-not-hotdog,0.8877528978947642
42,Giuliano/places,0.892723458181473
43,nateraw/planes-trains-automobiles,0.8927871058545023
44,jjhoffstein/lotr,0.8944254776197385
45,HHousen/household-rooms,0.8894556978434501
46,ajanco/greens,0.8947393214052499
47,nateraw/denver-nyc-paris,0.8923693341794261
48,ferdinand/rare-puppers,0.898134492283499
49,nateraw/baseball-stadium-foods,0.8953261850625047
50,LorenzoDeMattei/lawn-weeds,0.8899315241113079
51,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8921827631277462
52,Symbermine/rare-puppers,0.8939575400021
53,lewtun/oz-fauna,0.8941655336049817
54,b25mayank3/shirt_identifier,0.889674983328866
55,hgarg/fruits,0.8951017409701177
56,jasmeen/dogs,0.8940468615199613
57,jeffboudier/vision-transformers-spain-or-italy-fan,0.894468995377252
58,Amrrs/south-indian-foods,0.8940144004061213
59,godiec/diam,0.8954426371116674
60,firebolt/llama_or_what,0.8916410125450183
61,juanfiguera/ice_cream,0.8915813615989227
62,edixo/road_good_damaged_condition,0.8857163493758539
63,hafidber/rare-puppers,0.892228956621718
64,Sena/dog,0.8926448378759148
65,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.892402216121817
66,Hijazzi/rare-puppers,0.8944154732946825
67,iyzg/computer-stuff,0.8900701212653362
68,nateraw/pasta-pizza-ravioli,0.8928922642368908
69,nateraw/trainer-rare-puppers,0.884406866912563
70,nateraw/rare-puppers-new-auth,0.8965542316176939
71,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.893225449614404
72,hgarg/indian-snacks,0.8891916872721134
73,nateraw/donut-or-bagel,0.8912410935390364
74,driboune/skin_type,0.8930956553412659
75,nateraw/rare-puppers-09-04-2021,0.8851580615051747
76,nateraw/huggingpics-package-demo-2,0.8919796464788099
77,flyswot/test,0.8803773808427279
78,mmgyorke/vit-world-landmarks,0.8838148902691517
79,Suzana/new-york-tokyo-london,0.8935223929628908
80,firebolt/llama_or_what2,0.8834632272324454
81,IDEA-CCNL/Taiyi-vit-87M-D,0.8899241241011008
82,facebook/convnext-large-224-22k-1k,0.8919879224396497
83,facebook/convnext-base-224,0.8998129828976134
84,microsoft/swin-base-patch4-window7-224,0.897132239487282
85,facebook/convnext-tiny-224,0.8894152660202252
86,facebook/deit-base-patch16-224,0.8903197495137486
87,facebook/deit-base-distilled-patch16-224,0.8890036738403262
88,mrm8488/data2vec-base-finetuned-imagenet1k,0.8888363727975629
89,facebook/deit-small-distilled-patch16-224,0.8932553439506876
90,microsoft/beit-base-patch16-224,0.8278792092440768
91,WinKawaks/vit-small-patch16-224,0.8908808788525465
92,facebook/deit-small-patch16-224,0.888339922400869
93,Ahmed9275/ALL-3,0.8932742164803724
