,model,score
0,firebolt/llama_or_what2,0.8766331357732376
1,google/vit-base-patch16-224,0.8782959518194337
2,nateraw/denver-nyc-paris,0.8768380008929769
3,black/simple_kitchen,0.877088667092173
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8761161810654774
5,Suzana/new-york-tokyo-london,0.8761220641690501
6,filipafcastro/beer_vs_wine,0.8781145406598416
7,nateraw/baked-goods,0.8766507873821261
8,ajanco/greens,0.8753904979739754
9,nateraw/vit-base-beans-demo,0.874542683758602
10,HHousen/household-rooms,0.8782052018480216
11,Amrrs/indian-foods,0.8751565719249949
12,nateraw/planes-trains-automobiles,0.8776009653310577
13,julien-c/hotdog-not-hotdog,0.8756088496088368
14,jmarshall/rare-puppers,0.8778564839813378
15,nielsr/vit-finetuned-eurosat-kornia,0.8741868860935734
16,eren23/pneumonia_test_attempt,0.8755609604237834
17,micole66/dwarf-goats,0.877177093696297
18,nateraw/ex-for-evan,0.8789255525653378
19,karthiksv/vit-base-patch16-224-cifar10,0.8779520357053889
20,ferdinand/rare-puppers,0.8762988062112074
21,ipvikas/rare-puppers,0.8773947872503216
22,Frodnar/bee-likes,0.874940303023774
23,nickmuchi/vit-base-beans,0.8775187982527668
24,nateraw/baseball-stadium-foods,0.8767634928945346
25,Giuliano/places,0.8779884072934139
26,firas-spanioli/beer-whisky-wine-detection,0.874526649444703
27,jjhoffstein/lotr,0.8729814374323879
28,Nonem100/Test-Model,0.8744568620862456
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8754533637114364
30,LorenzoDeMattei/lawn-weeds,0.8789290084774696
31,nateraw/doggos-lol,0.8748960484517109
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8787383263546233
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8772855538053678
34,karthiksv/vit-base-beans,0.8753429985413793
35,Symbermine/rare-puppers,0.8764471318168163
36,nateraw/vit-base-patch16-224-cifar10,0.8774880215976067
37,gatecitypreservation/architectural_styles,0.8768696979089559
38,Amrrs/south-indian-foods,0.8762345620069176
39,hafidber/fruits,0.8762780708103638
40,nateraw/rare-puppers-123,0.8762323238850855
41,Aftabhussain/Tomato_Leaf_Classifier,0.875190192359487
42,nickmuchi/vit-base-xray-pneumonia,0.8756240588522813
43,Neto71/sea_mammals,0.8744807814167114
44,lewtun/oz-fauna,0.8772724052965093
45,hgarg/fruits,0.8768792431505164
46,jasmeen/dogs,0.8751707467478737
47,b25mayank3/shirt_identifier,0.8780188926871254
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8746129886435675
49,facebook/convnext-base-224-22k,0.892068326835545
50,nickmuchi/vit-finetuned-cats-dogs,0.8776013750993993
51,godiec/diam,0.8745575969915513
52,Rajaram1996/FacialEmoRecog,0.8773344418296027
53,nateraw/vit-base-beans-demo-v3,0.8761929229091051
54,firebolt/llama_or_what,0.8740919887973523
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8766833185845025
56,johnnydevriese/vit_beans,0.8719542789420451
57,nateraw/vit-age-classifier,0.8767399379710067
58,nateraw/vit-base-beans-demo-v2,0.8771392891604769
59,mmekias/vit-base-beans,0.877117591036825
60,juanfiguera/ice_cream,0.8769690660487456
61,drab/Infrastructures,0.8788406318567168
62,nateraw/vit-base-beans,0.8774816755271745
63,Sena/dog,0.8766982803065442
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8752643355443464
65,hafidber/rare-puppers,0.8770075729343261
66,edixo/road_good_damaged_condition,0.8770867724270163
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8711457635172823
68,Sena/flowers,0.8761122318661286
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8763106146194072
70,johnnydevriese/vit-airplanes,0.8758107948408221
71,nateraw/pasta-shapes,0.8795018755157689
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8776351216820207
73,hgarg/indian-snacks,0.8720522457266787
74,nateraw/vit-base-food101,0.8750430656140087
75,Hijazzi/rare-puppers,0.8736639065488804
76,nateraw/trainer-rare-puppers,0.8753890980632825
77,ibombonato/vit-age-classifier,0.8776328512055029
78,nateraw/rare-puppers-new-auth,0.88007357437197
79,SriramSridhar78/sriram-car-classifier,0.8737238440731433
80,ismgar01/vit-base-cats-vs-dogs,0.8770273121857088
81,nateraw/rare-puppers,0.8764588983788083
82,iyzg/computer-stuff,0.8683755996133562
83,nateraw/huggingpics-package-demo-2,0.8721135908108476
84,imjeffhi/pokemon_classifier,0.8740723395211488
85,nateraw/pasta-pizza-ravioli,0.8761640452493786
86,akahana/vit-base-cats-vs-dogs,0.8708517690358734
87,nateraw/donut-or-bagel,0.8776398224223005
88,nateraw/rare-puppers-09-04-2021,0.8770478319812897
