,model,score
0,nickmuchi/vit-base-beans,0.9036354939592018
1,nateraw/vit-base-beans-demo,0.9042970529085395
2,nateraw/vit-base-cats-vs-dogs,0.9023990035142907
3,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.904701691875057
4,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.903340302476081
5,Calin/convnext-tiny-finteuned-eurosat,0.9199311479707251
6,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.903463463435773
7,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.906731908561303
8,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.908978189280206
9,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9182727435253513
10,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9095417475289491
11,nateraw/vit-base-food101,0.9049205924555779
12,black/simple_kitchen,0.893956304490683
13,micole66/dwarf-goats,0.9034253291922437
14,jmarshall/rare-puppers,0.8950342976352543
15,julien-c/hotdog-not-hotdog,0.8964132671609053
16,Giuliano/places,0.9051590731420193
17,firas-spanioli/beer-whisky-wine-detection,0.9016693874498481
18,nateraw/planes-trains-automobiles,0.8871316909541576
19,HHousen/household-rooms,0.9022075197374293
20,ajanco/greens,0.9003448664965839
21,nateraw/ex-for-evan,0.9021284373340752
22,Nonem100/Test-Model,0.9042523632166017
23,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8932559919360084
24,jeffboudier/vision-transformers-spain-or-italy-fan,0.9062500300871145
25,hafidber/fruits,0.9006672254507077
26,firebolt/llama_or_what,0.8953234233017048
27,Aftabhussain/Tomato_Leaf_Classifier,0.9052123511644008
28,Sena/dog,0.8992202288058209
29,nateraw/rare-puppers,0.8979191396059476
30,nateraw/trainer-rare-puppers,0.8831395512361832
31,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8947969861182802
32,driboune/skin_type,0.9031442279883981
33,flyswot/test,0.8719132218816986
34,nateraw/rare-puppers-demo,0.8995432221152244
35,IDEA-CCNL/Taiyi-vit-87M-D,0.9007005360704393
36,facebook/deit-small-distilled-patch16-224,0.8988508904431127
37,microsoft/swin-small-patch4-window7-224,0.9109312658290759
38,facebook/deit-small-patch16-224,0.8995285742155857
39,facebook/convnext-large-224,0.919058830926454
40,Visual-Attention-Network/van-large,0.9018050168591468
41,microsoft/swin-tiny-patch4-window7-224,0.9019989833772961
42,Visual-Attention-Network/van-tiny,0.8938699870106531
43,lysandre/tiny-vit-random,0.0356074377990276
44,facebook/deit-base-patch16-384,0.9185089202511001
45,microsoft/beit-large-patch16-224,0.7636737988429174
46,google/vit-base-patch16-384,0.9165657390712998
47,google/vit-large-patch32-384,0.8691784284298281
48,microsoft/beit-base-patch16-224-pt22k,0.7646434596088965
49,facebook/convnext-large-384,0.9116271018456361
50,facebook/convnext-large-384-22k-1k,0.9177259713789127
51,microsoft/swin-large-patch4-window7-224-in22k,0.9210457609480543
52,nielsr/convnext-xlarge-224-22k,0.9206749531154138
53,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.9149130591818359
