,model,score
0,google/vit-base-patch16-224,0.5124535405461856
1,IDEA-CCNL/Taiyi-vit-87M-D,0.4874467154175855
2,facebook/deit-base-patch16-224,0.5395998443189994
3,facebook/deit-base-distilled-patch16-224,0.5443362951756203
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.5571115172413635
5,facebook/convnext-base-224,0.5532986492708512
6,facebook/convnext-small-224,0.5483231750117536
7,microsoft/swin-base-patch4-window7-224,0.5634920886013828
8,microsoft/beit-base-patch16-224,0.5049464640350364
9,facebook/convnext-tiny-224,0.5822964825991206
10,Visual-Attention-Network/van-small,0.5691759839983889
11,WinKawaks/vit-small-patch16-224,0.5292941400260341
12,facebook/deit-small-distilled-patch16-224,0.43048658994326094
13,Visual-Attention-Network/van-base,0.5562965729088234
14,facebook/deit-small-patch16-224,0.48765536340634613
15,microsoft/swin-small-patch4-window7-224,0.5777008880877268
16,Ahmed9275/ALL-3,0.5682152300930418
17,facebook/convnext-large-224,0.5682405590627394
18,WinKawaks/vit-tiny-patch16-224,0.5209143845928239
19,Visual-Attention-Network/van-tiny,0.47737707879567515
20,facebook/deit-tiny-distilled-patch16-224,0.5281684979742439
21,Ahmed9275/ALL-test,0.5463157621309473
22,facebook/deit-tiny-patch16-224,0.5199647966288236
23,microsoft/swin-tiny-patch4-window7-224,0.5818583516976793
24,google/vit-base-patch32-384,0.5588451035168629
25,facebook/convnext-base-224-22k-1k,0.5757807900677678
26,google/vit-large-patch32-384,0.5693423110506438
27,microsoft/swin-large-patch4-window7-224,0.5791238326942046
28,lysandre/tiny-vit-random,0.5064959081712391
29,facebook/convnext-large-224-22k-1k,0.5753439484061087
30,facebook/convnext-base-384,0.5722071747954962
31,microsoft/resnet-50,0.5201337751464031
32,microsoft/beit-large-patch16-224,0.5458420379972071
33,google/vit-large-patch16-224,0.5711150797157931
34,facebook/convnext-large-384,0.5909974176537464
35,facebook/convnext-large-384-22k-1k,0.6469440943580201
36,nielsr/convnext-xlarge-224-22k-1k,0.5918993023476046
