,model,score
0,firebolt/llama_or_what2,0.9316384897138434
1,google/vit-base-patch16-224,0.929010376729349
2,nateraw/denver-nyc-paris,0.9309796224312744
3,black/simple_kitchen,0.9296512416541874
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9320400019385658
5,Suzana/new-york-tokyo-london,0.9318019151707035
6,filipafcastro/beer_vs_wine,0.9315148582730395
7,nateraw/baked-goods,0.9302814337710825
8,ajanco/greens,0.9309796224312744
9,nateraw/vit-base-beans-demo,0.9323538277107637
10,HHousen/household-rooms,0.9309796224312744
11,Amrrs/indian-foods,0.9315148582730395
12,nateraw/planes-trains-automobiles,0.9318019151707035
13,julien-c/hotdog-not-hotdog,0.9324869737173489
14,jmarshall/rare-puppers,0.9315148582730395
15,nielsr/vit-finetuned-eurosat-kornia,0.9320400019385658
16,eren23/pneumonia_test_attempt,0.9324876534565244
17,micole66/dwarf-goats,0.9331458409999179
18,nateraw/ex-for-evan,0.9314021600088238
19,karthiksv/vit-base-patch16-224-cifar10,0.9301022035520933
20,ferdinand/rare-puppers,0.9313020439157392
21,ipvikas/rare-puppers,0.9318019151707035
22,Frodnar/bee-likes,0.9309796224312744
23,nickmuchi/vit-base-beans,0.9323538277107637
24,nateraw/baseball-stadium-foods,0.9322323622711016
25,Giuliano/places,0.9319083302387405
26,firas-spanioli/beer-whisky-wine-detection,0.9318019151707035
27,jjhoffstein/lotr,0.9316384897138434
28,Nonem100/Test-Model,0.9322323622711016
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9323387773391386
30,LorenzoDeMattei/lawn-weeds,0.9322323622711016
31,nateraw/doggos-lol,0.9322323622711016
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9309481751158215
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9324876534565244
34,karthiksv/vit-base-beans,0.9301289724266272
35,Symbermine/rare-puppers,0.9322323622711016
36,nateraw/vit-base-patch16-224-cifar10,0.9297024483902134
37,gatecitypreservation/architectural_styles,0.9309796224312744
38,Amrrs/south-indian-foods,0.9298816786092027
39,hafidber/fruits,0.9315085750768607
40,nateraw/rare-puppers-123,0.9317846893071697
41,Aftabhussain/Tomato_Leaf_Classifier,0.9323387773391386
42,nickmuchi/vit-base-xray-pneumonia,0.9310930004346656
43,Neto71/sea_mammals,0.9301494201689965
44,lewtun/oz-fauna,0.9301494201689965
45,hgarg/fruits,0.9322323622711016
46,jasmeen/dogs,0.9323387773391386
47,b25mayank3/shirt_identifier,0.9292514864923076
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.9316384897138434
49,facebook/convnext-base-224-22k,0.9350202066464527
50,nickmuchi/vit-finetuned-cats-dogs,0.9334242707868392
51,godiec/diam,0.9314021600088238
