,model,score
0,google/vit-base-patch16-224,0.8791864187405094
1,IDEA-CCNL/Taiyi-vit-87M-D,0.879186472852923
2,facebook/deit-base-patch16-224,0.8791864807340465
3,facebook/deit-base-distilled-patch16-224,0.8780955441581869
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8792385796201009
5,facebook/convnext-base-224,0.8763382568534365
6,facebook/convnext-small-224,0.9104989063236255
7,microsoft/swin-base-patch4-window7-224,0.8774900110544572
8,microsoft/beit-base-patch16-224,0.8792385806491628
9,facebook/convnext-tiny-224,0.8673983438108785
10,Visual-Attention-Network/van-small,0.7953694562281929
11,WinKawaks/vit-small-patch16-224,0.8399057908235019
12,facebook/deit-small-distilled-patch16-224,0.8417271174584853
13,Visual-Attention-Network/van-base,0.8597101643857524
14,facebook/deit-small-patch16-224,0.8399057449032132
15,microsoft/swin-small-patch4-window7-224,0.9101686209767497
16,Ahmed9275/ALL-3,0.8662903714483056
17,facebook/convnext-large-224,0.921469017285403
18,WinKawaks/vit-tiny-patch16-224,0.7402638419976627
19,Visual-Attention-Network/van-tiny,0.7281637067184504
20,facebook/deit-tiny-distilled-patch16-224,0.7416906117777258
21,Ahmed9275/ALL-test,0.8662904477621348
22,facebook/deit-tiny-patch16-224,0.740263881722282
23,microsoft/swin-tiny-patch4-window7-224,0.8662904356670562
24,Visual-Attention-Network/van-large,0.9059354783439778
25,google/vit-base-patch32-384,0.8767487087223635
26,facebook/convnext-base-224-22k-1k,0.8763382140588759
27,google/vit-large-patch32-384,0.8343618453375587
28,microsoft/swin-large-patch4-window7-224,0.921314870537867
29,lysandre/tiny-vit-random,0.6962888340199
30,facebook/convnext-large-224-22k-1k,0.921468977426021
31,facebook/convnext-base-384,0.8763384558661128
32,microsoft/resnet-50,0.8555398605077673
33,microsoft/beit-base-patch16-224-pt22k,0.8804686241521683
34,microsoft/beit-large-patch16-224,0.832926477365941
35,google/vit-large-patch16-224,0.8328646560658279
36,facebook/convnext-large-384,0.9214692794361388
37,facebook/convnext-large-384-22k-1k,0.9214692803572524
38,microsoft/beit-large-patch16-384,0.8332745990646964
39,nielsr/convnext-xlarge-224-22k-1k,0.8967327989448547
40,facebook/deit-base-patch16-384,0.8787725354270295
41,google/vit-base-patch16-384,0.8787726232164325
42,facebook/deit-base-distilled-patch16-384,0.8776845731703954
43,microsoft/swin-large-patch4-window12-384,0.9213459659773466
44,facebook/convnext-xlarge-224-22k-1k,0.8967328366936032
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.880270612925708
46,karthiksv/vit-base-patch16-224-cifar10,0.8802705607576968
47,nateraw/vit-base-patch16-224-cifar10,0.8802705355301886
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8802705910449663
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.880270620958054
50,jadohu/BEiT-finetuned,0.8803229599938632
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8802705603466593
52,nateraw/vit-base-beans-demo,0.8802782780941286
53,nickmuchi/vit-base-beans,0.8802782770173577
54,karthiksv/vit-base-beans,0.8802782769898304
55,nateraw/vit-base-beans-demo-v3,0.8802782223259389
56,johnnydevriese/vit_beans,0.8802782241126325
57,nateraw/vit-base-beans-demo-v2,0.8802782226694816
58,mmekias/vit-base-beans,0.8802782785782951
