,model,score
0,google/vit-base-patch16-224,-0.1176634095388169
1,IDEA-CCNL/Taiyi-vit-87M-D,-0.11766326217822029
2,facebook/deit-base-patch16-224,-0.11766324070675313
3,facebook/deit-base-distilled-patch16-224,-0.12065483186767886
4,mrm8488/data2vec-base-finetuned-imagenet1k,-0.11751418194297356
5,facebook/convnext-base-224,-0.12493175543947818
6,facebook/convnext-small-224,0.11727143409355659
7,microsoft/swin-base-patch4-window7-224,-0.12220593953018441
8,microsoft/beit-base-patch16-224,-0.1175141791389128
9,facebook/convnext-tiny-224,0.0245826438298438
10,Visual-Attention-Network/van-small,-0.24815515227757576
11,WinKawaks/vit-small-patch16-224,-0.07474603646920994
12,facebook/deit-small-distilled-patch16-224,-0.06790651795335942
13,Visual-Attention-Network/van-base,-0.002187042996668352
14,facebook/deit-small-patch16-224,-0.07474615606512133
15,microsoft/swin-small-patch4-window7-224,0.11891717176445563
16,Ahmed9275/ALL-3,0.020787947714004752
17,facebook/convnext-large-224,1.7059780174979637
18,WinKawaks/vit-tiny-patch16-224,-0.4704590518716863
19,Visual-Attention-Network/van-tiny,-0.5196302166166452
20,facebook/deit-tiny-distilled-patch16-224,-0.46466398404000536
21,Ahmed9275/ALL-test,0.020788148999077473
22,facebook/deit-tiny-patch16-224,-0.4704589521636056
23,microsoft/swin-tiny-patch4-window7-224,0.020788117086401527
24,google/vit-base-patch32-384,-0.12399479958061674
25,facebook/convnext-base-224-22k-1k,-0.1249318717275176
26,google/vit-large-patch32-384,0.12066358973640323
27,microsoft/swin-large-patch4-window7-224,1.7032242577444394
28,lysandre/tiny-vit-random,-0.6491215385431991
29,facebook/convnext-large-224-22k-1k,1.7059779761920328
30,facebook/convnext-base-384,-0.12493121369984603
31,microsoft/resnet-50,-0.017087675282591995
32,microsoft/beit-large-patch16-224,0.10861993519773894
33,google/vit-large-patch16-224,0.10813921148768789
34,facebook/convnext-large-384,1.70597827750955
35,facebook/convnext-large-384-22k-1k,1.7059782783870074
36,nielsr/convnext-xlarge-224-22k-1k,0.888399468389473
37,facebook/deit-base-patch16-384,-0.11882769699260295
38,google/vit-base-patch16-384,-0.1188274574777963
39,facebook/deit-base-distilled-patch16-384,-0.1217162052410635
40,facebook/convnext-xlarge-224-22k-1k,0.8883994508344244
41,microsoft/beit-large-patch16-384,0.11138889599850979
42,microsoft/swin-large-patch4-window12-384,1.7037689162756198
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-0.11444823946642355
44,karthiksv/vit-base-patch16-224-cifar10,-0.11444838163805646
45,nateraw/vit-base-patch16-224-cifar10,-0.11444845035215609
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-0.11444829911013651
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-0.11444821756695586
48,jadohu/BEiT-finetuned,-0.1142870618269973
49,nateraw/vit-base-beans-demo,-0.11442466563638995
50,nickmuchi/vit-base-beans,-0.11442466857099384
51,karthiksv/vit-base-beans,-0.11442466864613418
52,nateraw/vit-base-beans-demo-v3,-0.11442481757452913
53,johnnydevriese/vit_beans,-0.11442481270856039
54,nateraw/vit-base-beans-demo-v2,-0.11442481663873802
55,mmekias/vit-base-beans,-0.1144246643166775
56,nateraw/vit-base-beans,-0.11442467651660979
57,mrm8488/convnext-tiny-finetuned-beans,0.01476280323896987
58,nielsr/vit-finetuned-eurosat-kornia,-0.11444822753067549
59,mrm8488/convnext-tiny-finetuned-eurosat,0.014833445713026062
60,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.014833261893120654
61,Calin/convnext-tiny-finteuned-eurosat,0.014833439212477297
62,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.01483342909669353
63,nielsr/convnext-tiny-finetuned-eurostat,0.014833287417916043
64,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.010850109437765022
65,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.010849966714745841
66,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.010849942394631919
67,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.010850079736288189
68,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.010850087837219781
69,nielsr/convnext-tiny-finetuned-eurosat,0.01483328059800907
70,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.01085008865323226
71,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.010850116798661248
72,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.010850122164053934
73,nielsr/van-base-finetuned-eurosat-imgaug,-0.009480427472036555
74,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.010850086947127004
75,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.01085008901555299
76,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.0108501262575749
77,eren23/pneumonia_test_attempt,-0.11442143163581162
78,nickmuchi/vit-finetuned-chest-xray-pneumonia,-0.11442144068424007
79,nickmuchi/vit-base-xray-pneumonia,-0.1144212869088804
80,facebook/convnext-base-224-22k,-0.05532735827305376
81,microsoft/swin-large-patch4-window7-224-in22k,1.3760469129065191
82,microsoft/swin-base-patch4-window7-224-in22k,-0.06366272502811662
83,microsoft/beit-base-patch16-224-pt22k-ft22k,-0.11315631140151824
84,facebook/convnext-large-224-22k,1.3496663922200565
85,facebook/convnext-xlarge-224-22k,1.6485166872315267
86,microsoft/swin-base-patch4-window12-384-in22k,-0.062324434496342916
87,microsoft/beit-large-patch16-224-pt22k-ft22k,0.36026507984662476
88,nielsr/convnext-xlarge-224-22k,1.6485167006242354
89,nickmuchi/vit-finetuned-cats-dogs,-0.11442128501435031
90,ismgar01/vit-base-cats-vs-dogs,-0.11442140387286834
91,akahana/vit-base-cats-vs-dogs,-0.11442120857254887
92,nateraw/vit-base-cats-vs-dogs,-0.11442139923888847
93,nateraw/test_model_a,-0.6502156184921709
94,matteopilotto/vit-base-patch16-224-in21k-snacks,-0.11448192617387873
95,Matthijs/snacks-classifier,0.010952854704071736
96,nateraw/vit-base-food101,-0.11475446117380714
97,eslamxm/vit-base-food101,-0.11475422046162928
98,SriramSridhar78/sriram-car-classifier,-0.11507145105078073
99,imjeffhi/pokemon_classifier,-0.11734399817107108
100,AkshatSurolia/ViT-FaceMask-Finetuned,-0.11442143598237095
101,AkshatSurolia/BEiT-FaceMask-Finetuned,-0.11383575027214929
102,AkshatSurolia/DeiT-FaceMask-Finetuned,-0.11442798271517915
103,Ahmed9275/Vit-Cifar100,-0.114750852102628
