,model,score
0,firebolt/llama_or_what2,-0.04221455590616516
1,google/vit-base-patch16-224,-0.04632789406235058
2,nateraw/denver-nyc-paris,-0.04221015329882502
3,black/simple_kitchen,-0.04221034041989066
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-0.042240053927630944
5,Suzana/new-york-tokyo-london,-0.042210319009755
6,filipafcastro/beer_vs_wine,-0.042205707601027126
7,nateraw/baked-goods,-0.04221035368475498
8,ajanco/greens,-0.04221874298080738
9,nateraw/vit-base-beans-demo,-0.04221015928869107
10,HHousen/household-rooms,-0.04221875245565729
11,Amrrs/indian-foods,-0.042218578833913306
12,nateraw/planes-trains-automobiles,-0.04221037807231917
13,julien-c/hotdog-not-hotdog,-0.04220570453341441
14,jmarshall/rare-puppers,-0.04220999833216041
15,nielsr/vit-finetuned-eurosat-kornia,-0.042240024517353064
16,eren23/pneumonia_test_attempt,-0.04220621928636756
17,micole66/dwarf-goats,-0.04220570760100814
18,nateraw/ex-for-evan,-0.04221481718450101
19,karthiksv/vit-base-patch16-224-cifar10,-0.042240404256798175
20,ferdinand/rare-puppers,-0.04221053966809116
21,ipvikas/rare-puppers,-0.04221049341271563
22,Frodnar/bee-likes,-0.04221016884145176
23,nickmuchi/vit-base-beans,-0.04221016651989126
24,nateraw/baseball-stadium-foods,-0.04221875518955495
25,Giuliano/places,-0.04221040210068602
26,firas-spanioli/beer-whisky-wine-detection,-0.04221049703547483
27,jjhoffstein/lotr,-0.04221875402189387
28,Nonem100/Test-Model,-0.042218746927341594
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-0.04221443990306614
30,LorenzoDeMattei/lawn-weeds,-0.04221016668249275
31,nateraw/doggos-lol,-0.042210163638126436
32,IDEA-CCNL/Taiyi-vit-87M-D,-0.0463275306097409
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,-0.04220624158465522
34,karthiksv/vit-base-beans,-0.04221016670438324
35,Symbermine/rare-puppers,-0.042218759448842985
36,nateraw/vit-base-patch16-224-cifar10,-0.042240573589090585
37,gatecitypreservation/architectural_styles,-0.04221875604432354
38,Amrrs/south-indian-foods,-0.042219119624144125
39,hafidber/fruits,-0.04221910131516446
40,nateraw/rare-puppers-123,-0.04220966253146405
41,Aftabhussain/Tomato_Leaf_Classifier,-0.04220587386971117
42,nickmuchi/vit-base-xray-pneumonia,-0.04220586265020507
43,Neto71/sea_mammals,-0.04221054930413001
44,lewtun/oz-fauna,-0.04221910829660633
45,hgarg/fruits,-0.04221875041542364
46,jasmeen/dogs,-0.04221017263534518
47,b25mayank3/shirt_identifier,-0.0422148315175179
48,jeffboudier/vision-transformers-spain-or-italy-fan,-0.04220588029044001
49,facebook/convnext-base-224-22k,0.02703541587505401
50,nickmuchi/vit-finetuned-cats-dogs,-0.042205857981896105
51,godiec/diam,-0.042214826147617485
52,Rajaram1996/FacialEmoRecog,-0.04223196706938978
53,nateraw/vit-base-beans-demo-v3,-0.04221053369586755
54,firebolt/llama_or_what,-0.04221482285700681
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-0.04224020089280586
56,johnnydevriese/vit_beans,-0.04221052170435999
57,nateraw/vit-age-classifier,-0.04223572056609168
58,nateraw/vit-base-beans-demo-v2,-0.04221053139019201
59,mmekias/vit-base-beans,-0.04221015603669173
60,juanfiguera/ice_cream,-0.04220597645298749
61,drab/Infrastructures,-0.042210157611641125
62,nateraw/vit-base-beans,-0.04221018609857527
63,Sena/dog,-0.04221018609369995
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,-0.04220585313430622
65,hafidber/rare-puppers,-0.042210529212332565
66,edixo/road_good_damaged_condition,-0.04220595821505088
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,-0.042209949998274515
68,Sena/flowers,-0.04221852249978905
69,matteopilotto/vit-base-patch16-224-in21k-snacks,-0.04228281068350334
