,model,score
0,google/vit-base-patch16-224,0.8981294
1,IDEA-CCNL/Taiyi-vit-87M-D,0.87744874
2,facebook/deit-base-patch16-224,0.8907856
3,facebook/deit-base-distilled-patch16-224,0.8839504
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.81135577
5,facebook/convnext-base-224,0.87872785
6,facebook/convnext-small-224,0.84778637
7,microsoft/swin-base-patch4-window7-224,0.88071597
8,microsoft/beit-base-patch16-224,0.7772864
9,facebook/convnext-tiny-224,0.79079956
10,Visual-Attention-Network/van-small,0.7486938
11,WinKawaks/vit-small-patch16-224,0.7741743
12,facebook/deit-small-distilled-patch16-224,0.79785144
13,Visual-Attention-Network/van-base,0.7686992
14,facebook/deit-small-patch16-224,0.74069935
15,microsoft/swin-small-patch4-window7-224,0.8105391
16,Ahmed9275/ALL-3,0.79189056
17,facebook/convnext-large-224,0.8409606
18,WinKawaks/vit-tiny-patch16-224,0.63176906
19,Visual-Attention-Network/van-tiny,0.66563463
20,facebook/deit-tiny-distilled-patch16-224,0.742364
21,Ahmed9275/ALL-test,0.7947838
22,facebook/deit-tiny-patch16-224,0.6817167
23,microsoft/swin-tiny-patch4-window7-224,0.77195734
24,Visual-Attention-Network/van-large,0.7784187
25,google/vit-base-patch32-384,0.85834396
26,facebook/convnext-base-224-22k-1k,0.87099284
27,google/vit-large-patch32-384,0.8816595
28,microsoft/swin-large-patch4-window7-224,0.89636093
29,lysandre/tiny-vit-random,0.11268813
30,facebook/convnext-large-224-22k-1k,0.8970883
31,facebook/convnext-base-384,0.867048
32,microsoft/resnet-50,0.76042444
33,microsoft/beit-base-patch16-224-pt22k,0.7218305
34,microsoft/beit-large-patch16-224,0.8269023
35,google/vit-large-patch16-224,0.91273654
36,facebook/convnext-large-384,0.8852982
37,facebook/convnext-large-384-22k-1k,0.8993244
38,nielsr/convnext-xlarge-224-22k-1k,0.901025
39,facebook/deit-base-patch16-384,0.8921297
40,google/vit-base-patch16-384,0.9000018
41,facebook/deit-base-distilled-patch16-384,0.86219406
42,facebook/convnext-xlarge-224-22k-1k,0.910782
43,microsoft/beit-large-patch16-384,0.84799796
44,microsoft/swin-large-patch4-window12-384,0.8932372
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8701728
46,karthiksv/vit-base-patch16-224-cifar10,0.9031064
47,nateraw/vit-base-patch16-224-cifar10,0.8960393
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.881831
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.87679523
50,jadohu/BEiT-finetuned,0.77459437
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8909961
52,nateraw/vit-base-beans-demo,0.8918837
53,nickmuchi/vit-base-beans,0.8754022
54,karthiksv/vit-base-beans,0.9021684
55,nateraw/vit-base-beans-demo-v3,0.8619638
56,johnnydevriese/vit_beans,0.8896508
57,nateraw/vit-base-beans-demo-v2,0.8901941
58,mmekias/vit-base-beans,0.89627993
59,nateraw/vit-base-beans,0.8960528
60,mrm8488/convnext-tiny-finetuned-beans,0.80034685
61,nielsr/vit-finetuned-eurosat-kornia,0.87715423
62,mrm8488/convnext-tiny-finetuned-eurosat,0.840445
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.83604455
64,Calin/convnext-tiny-finteuned-eurosat,0.8139896
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.772099
66,nielsr/convnext-tiny-finetuned-eurostat,0.7982769
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.79866296
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7481638
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.79715544
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.81791776
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.78959423
72,nielsr/convnext-tiny-finetuned-eurosat,0.7994975
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7847265
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.79917896
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7839722
76,nielsr/van-base-finetuned-eurosat-imgaug,0.77402735
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.81168014
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.77220935
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8229513
80,eren23/pneumonia_test_attempt,0.9006848
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8379556
82,nickmuchi/vit-base-xray-pneumonia,0.8845638
83,facebook/convnext-base-224-22k,0.91634256
84,microsoft/swin-large-patch4-window7-224-in22k,0.9256965
85,microsoft/swin-base-patch4-window7-224-in22k,0.9103136
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8661784
87,facebook/convnext-large-224-22k,0.91881114
88,facebook/convnext-xlarge-224-22k,0.93495905
89,microsoft/swin-base-patch4-window12-384-in22k,0.92162555
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.85103184
91,nielsr/convnext-xlarge-224-22k,0.9255882
92,nickmuchi/vit-finetuned-cats-dogs,0.8889462
93,ismgar01/vit-base-cats-vs-dogs,0.8864018
94,akahana/vit-base-cats-vs-dogs,0.85340863
95,nateraw/vit-base-cats-vs-dogs,0.88895506
96,nateraw/test_model_a,0.02270829
97,matteopilotto/vit-base-patch16-224-in21k-snacks,0.86729324
98,Matthijs/snacks-classifier,0.7969247
99,nateraw/vit-base-food101,0.87549984
100,eslamxm/vit-base-food101,0.85188335
101,SriramSridhar78/sriram-car-classifier,0.9068694
102,imjeffhi/pokemon_classifier,0.8873482
103,AkshatSurolia/ViT-FaceMask-Finetuned,0.8142625
104,AkshatSurolia/BEiT-FaceMask-Finetuned,0.60847986
105,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8250632
106,Ahmed9275/Vit-Cifar100,0.8539535
