,model,score
0,ibombonato/swin-age-classifier,0.7963737
1,akahana/vit-base-cats-vs-dogs,0.6119891
2,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.6676575
3,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.6695333
4,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9118226
5,nielsr/convnext-tiny-finetuned-eurostat,0.8944187
6,micole66/dwarf-goats,0.6659881
7,b25mayank3/shirt_identifier,0.6610302
8,Amrrs/south-indian-foods,0.6591848
9,hafidber/fruits,0.6658077
10,godiec/diam,0.65371084
11,flyswot/test,0.55938447
12,facebook/convnext-base-224,0.9471309
13,mrm8488/data2vec-base-finetuned-imagenet1k,0.57004905
14,lysandre/tiny-vit-random,0.0017031382
15,google/vit-base-patch16-384,0.9280657
16,facebook/convnext-large-384-22k-1k,0.9636859
17,SriramSridhar78/sriram-car-classifier,0.66786706
