,model,score
0,firebolt/llama_or_what2,0.96343684
1,google/vit-base-patch16-224,0.97484577
2,nateraw/denver-nyc-paris,0.9884294
3,black/simple_kitchen,0.9696748
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.97231585
5,Suzana/new-york-tokyo-london,0.97482437
6,filipafcastro/beer_vs_wine,0.9706505
7,nateraw/baked-goods,0.9864257
8,ajanco/greens,0.9741225
9,nateraw/vit-base-beans-demo,0.9405874
10,HHousen/household-rooms,0.9842891
11,Amrrs/indian-foods,0.9749161
12,nateraw/planes-trains-automobiles,0.9781107
13,julien-c/hotdog-not-hotdog,0.98632073
14,jmarshall/rare-puppers,0.97486967
15,nielsr/vit-finetuned-eurosat-kornia,0.97763944
16,eren23/pneumonia_test_attempt,0.97097164
17,micole66/dwarf-goats,0.9740592
18,nateraw/ex-for-evan,0.9772591
19,karthiksv/vit-base-patch16-224-cifar10,0.99592143
20,ferdinand/rare-puppers,0.9747006
21,ipvikas/rare-puppers,0.9735826
22,Frodnar/bee-likes,0.96807617
23,nickmuchi/vit-base-beans,0.97115624
24,nateraw/baseball-stadium-foods,0.9773818
25,Giuliano/places,0.9782506
26,firas-spanioli/beer-whisky-wine-detection,0.9828147
27,jjhoffstein/lotr,0.99157673
28,Nonem100/Test-Model,0.95663035
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.98030394
30,LorenzoDeMattei/lawn-weeds,0.97220635
31,nateraw/doggos-lol,0.97347915
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9785245
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.97578585
34,karthiksv/vit-base-beans,0.9933239
35,Symbermine/rare-puppers,0.9765938
36,nateraw/vit-base-patch16-224-cifar10,0.97613496
37,gatecitypreservation/architectural_styles,0.97572184
38,Amrrs/south-indian-foods,0.97412837
39,hafidber/fruits,0.96138006
40,nateraw/rare-puppers-123,0.9831286
41,Aftabhussain/Tomato_Leaf_Classifier,0.99177253
42,nickmuchi/vit-base-xray-pneumonia,0.95881706
43,Neto71/sea_mammals,0.9736873
44,lewtun/oz-fauna,0.97308624
45,hgarg/fruits,0.97805846
46,jasmeen/dogs,0.9787979
47,b25mayank3/shirt_identifier,0.9619115
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.97128373
49,facebook/convnext-base-224-22k,0.99597913
50,nickmuchi/vit-finetuned-cats-dogs,0.97918785
51,godiec/diam,0.97510403
52,Rajaram1996/FacialEmoRecog,0.97205126
53,nateraw/vit-base-beans-demo-v3,0.96719754
54,firebolt/llama_or_what,0.9771196
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9814737
56,johnnydevriese/vit_beans,0.96587586
57,nateraw/vit-age-classifier,0.9700245
58,nateraw/vit-base-beans-demo-v2,0.9730686
59,mmekias/vit-base-beans,0.9931289
60,juanfiguera/ice_cream,0.98022676
61,drab/Infrastructures,0.97536576
62,nateraw/vit-base-beans,0.9727114
63,Sena/dog,0.97989124
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.95449126
65,hafidber/rare-puppers,0.9653345
66,edixo/road_good_damaged_condition,0.979551
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.96163946
68,Sena/flowers,0.97524333
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.96630275
70,johnnydevriese/vit-airplanes,0.97626245
71,nateraw/pasta-shapes,0.9816131
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9711913
73,hgarg/indian-snacks,0.9771878
74,nateraw/vit-base-food101,0.9787912
75,Hijazzi/rare-puppers,0.98005223
76,nateraw/trainer-rare-puppers,0.98557436
77,ibombonato/vit-age-classifier,0.9729306
78,nateraw/rare-puppers-new-auth,0.9789384
79,SriramSridhar78/sriram-car-classifier,0.96579814
80,ismgar01/vit-base-cats-vs-dogs,0.9634423
81,nateraw/rare-puppers,0.9763281
82,iyzg/computer-stuff,0.97838014
83,nateraw/huggingpics-package-demo-2,0.973924
84,imjeffhi/pokemon_classifier,0.95425725
85,nateraw/pasta-pizza-ravioli,0.97478014
86,akahana/vit-base-cats-vs-dogs,0.9359744
87,nateraw/donut-or-bagel,0.9731132
88,nateraw/rare-puppers-09-04-2021,0.97757155
89,nateraw/vit-base-cats-vs-dogs,0.97141373
90,Zayn/VIT_Basic,0.97488195
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9804326
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.899082
93,microsoft/swin-large-patch4-window7-224-in22k,0.9743888
94,Ahmed9275/Vit-Cifar100,0.9395622
95,driboune/skin_type,0.9751213
96,microsoft/swin-base-patch4-window7-224-in22k,0.97911274
97,facebook/deit-base-patch16-224,0.9794976
98,facebook/deit-base-distilled-patch16-224,0.9749683
99,eslamxm/vit-base-food101,0.96023846
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8880156
101,facebook/convnext-base-224,0.9731023
102,facebook/convnext-small-224,0.9671531
103,microsoft/swin-base-patch4-window7-224,0.9745281
104,microsoft/beit-base-patch16-224,0.95798177
105,mrm8488/convnext-tiny-finetuned-eurosat,0.9755101
106,mrm8488/convnext-tiny-finetuned-beans,0.97360456
107,facebook/convnext-tiny-224,0.98794043
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.99586487
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.89304405
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.95539516
111,Calin/convnext-tiny-finteuned-eurosat,0.97868603
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.9742186
113,Visual-Attention-Network/van-small,0.9456705
114,WinKawaks/vit-small-patch16-224,0.9440104
115,facebook/deit-small-distilled-patch16-224,0.9623715
116,Visual-Attention-Network/van-base,0.9336293
117,jadohu/BEiT-finetuned,0.9776449
118,nielsr/convnext-tiny-finetuned-eurostat,0.9524228
119,facebook/deit-small-patch16-224,0.937025
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9495431
121,microsoft/swin-small-patch4-window7-224,0.95954126
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.92863417
123,Ahmed9275/ALL-3,0.94733155
124,facebook/convnext-large-224,0.94727033
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9224048
126,WinKawaks/vit-tiny-patch16-224,0.88594353
127,Visual-Attention-Network/van-tiny,0.92059493
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.93125665
129,facebook/deit-tiny-distilled-patch16-224,0.87226003
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.93265134
131,nielsr/convnext-tiny-finetuned-eurosat,0.9463778
132,ibombonato/swin-age-classifier,0.92311
133,Ahmed9275/ALL-test,0.9366046
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.9226863
135,facebook/deit-tiny-patch16-224,0.8711037
136,microsoft/swin-tiny-patch4-window7-224,0.9518376
137,flyswot/test,0.91861314
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9319109
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.92334574
140,nielsr/van-base-finetuned-eurosat-imgaug,0.92476684
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9330048
142,Visual-Attention-Network/van-large,0.9475267
143,Matthijs/snacks-classifier,0.9289808
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.92301697
145,nateraw/test_model_a,-0.0021046503
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.93506604
147,google/vit-base-patch32-384,0.9667991
148,nateraw/rare-puppers-demo,0.9645655
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.82365954
150,AkshatSurolia/DeiT-FaceMask-Finetuned,0.9280062
151,meame2010/rare-puppers,0.9712729
152,facebook/convnext-base-224-22k-1k,0.976974
153,google/vit-large-patch32-384,0.7512835
154,microsoft/swin-large-patch4-window7-224,1.0394156
155,mmgyorke/vit-world-landmarks,0.9810082
156,lysandre/tiny-vit-random,0.105584666
157,AhmedSayeem/VIT_Basic,0.97060275
158,facebook/convnext-large-224-22k-1k,0.9769093
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.987217
160,facebook/convnext-base-384,0.9607484
161,microsoft/resnet-50,0.8886721
162,microsoft/beit-base-patch16-224-pt22k,0.89918905
163,microsoft/beit-large-patch16-224,0.7844175
164,facebook/convnext-large-224-22k,0.9826297
165,google/vit-large-patch16-224,0.8743004
166,facebook/convnext-large-384,0.900816
167,facebook/convnext-xlarge-224-22k,1.0017246
168,facebook/convnext-large-384-22k-1k,0.9673965
169,nielsr/convnext-xlarge-224-22k-1k,0.98074454
170,facebook/deit-base-patch16-384,0.98054856
171,google/vit-base-patch16-384,0.9818889
172,microsoft/swin-base-patch4-window12-384-in22k,0.97471786
173,microsoft/beit-large-patch16-224-pt22k-ft22k,0.8370179
174,facebook/deit-base-distilled-patch16-384,0.9665373
175,facebook/convnext-xlarge-224-22k-1k,0.9933247
176,nielsr/convnext-xlarge-224-22k,1.0035797
177,microsoft/beit-large-patch16-384,0.7166146
178,microsoft/swin-large-patch4-window12-384,1.022434
