,model,score
0,firebolt/llama_or_what2,0.8600432
1,google/vit-base-patch16-224,0.88163143
2,nateraw/denver-nyc-paris,0.8756714
3,black/simple_kitchen,0.8682908
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8792129
5,Suzana/new-york-tokyo-london,0.85962874
6,filipafcastro/beer_vs_wine,0.8712797
7,nateraw/baked-goods,0.87104654
8,ajanco/greens,0.8660933
9,nateraw/vit-base-beans-demo,0.852433
10,HHousen/household-rooms,0.8744596
11,Amrrs/indian-foods,0.86312914
12,nateraw/planes-trains-automobiles,0.86667186
13,julien-c/hotdog-not-hotdog,0.8683844
14,jmarshall/rare-puppers,0.8582433
15,nielsr/vit-finetuned-eurosat-kornia,0.88419193
16,eren23/pneumonia_test_attempt,0.86740464
17,micole66/dwarf-goats,0.8633198
18,nateraw/ex-for-evan,0.8658156
19,karthiksv/vit-base-patch16-224-cifar10,0.8757323
20,ferdinand/rare-puppers,0.869
21,ipvikas/rare-puppers,0.86869305
22,Frodnar/bee-likes,0.86067915
23,nickmuchi/vit-base-beans,0.8676321
24,nateraw/baseball-stadium-foods,0.8687055
25,Giuliano/places,0.86640793
26,firas-spanioli/beer-whisky-wine-detection,0.8697735
27,jjhoffstein/lotr,0.8689317
28,Nonem100/Test-Model,0.8598627
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.86536115
30,LorenzoDeMattei/lawn-weeds,0.8769963
31,nateraw/doggos-lol,0.86741436
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8617624
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8605722
34,karthiksv/vit-base-beans,0.86018246
35,Symbermine/rare-puppers,0.8687545
36,nateraw/vit-base-patch16-224-cifar10,0.86677086
37,gatecitypreservation/architectural_styles,0.8702452
38,Amrrs/south-indian-foods,0.863516
39,hafidber/fruits,0.8656279
40,nateraw/rare-puppers-123,0.86526036
41,Aftabhussain/Tomato_Leaf_Classifier,0.8709316
42,nickmuchi/vit-base-xray-pneumonia,0.8469829
43,Neto71/sea_mammals,0.8646404
44,lewtun/oz-fauna,0.87107027
45,hgarg/fruits,0.86832833
46,jasmeen/dogs,0.8707116
47,b25mayank3/shirt_identifier,0.8656604
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8538597
49,facebook/convnext-base-224-22k,0.9407785
50,nickmuchi/vit-finetuned-cats-dogs,0.87445515
51,godiec/diam,0.8591884
52,Rajaram1996/FacialEmoRecog,0.8727702
53,nateraw/vit-base-beans-demo-v3,0.8613647
54,firebolt/llama_or_what,0.86009914
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8612548
56,johnnydevriese/vit_beans,0.8674548
57,nateraw/vit-age-classifier,0.843147
58,nateraw/vit-base-beans-demo-v2,0.8610767
59,mmekias/vit-base-beans,0.8759651
60,juanfiguera/ice_cream,0.86821026
61,drab/Infrastructures,0.869812
62,nateraw/vit-base-beans,0.86884177
63,Sena/dog,0.8653516
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.87098074
65,hafidber/rare-puppers,0.85637814
66,edixo/road_good_damaged_condition,0.8689641
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8684786
68,Sena/flowers,0.871872
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.870531
70,johnnydevriese/vit-airplanes,0.863187
71,nateraw/pasta-shapes,0.8670436
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.86482435
73,hgarg/indian-snacks,0.865308
74,nateraw/vit-base-food101,0.87096316
75,Hijazzi/rare-puppers,0.8660745
76,nateraw/trainer-rare-puppers,0.782016
77,ibombonato/vit-age-classifier,0.86857396
78,nateraw/rare-puppers-new-auth,0.8574932
79,SriramSridhar78/sriram-car-classifier,0.85832626
80,ismgar01/vit-base-cats-vs-dogs,0.84333974
81,nateraw/rare-puppers,0.8721096
82,iyzg/computer-stuff,0.87374306
83,nateraw/huggingpics-package-demo-2,0.8675871
84,imjeffhi/pokemon_classifier,0.8361138
85,nateraw/pasta-pizza-ravioli,0.86513656
86,akahana/vit-base-cats-vs-dogs,0.83681774
87,nateraw/donut-or-bagel,0.8566111
88,nateraw/rare-puppers-09-04-2021,0.86863005
89,nateraw/vit-base-cats-vs-dogs,0.8613036
90,Zayn/VIT_Basic,0.87893444
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.87051743
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8518782
93,microsoft/swin-large-patch4-window7-224-in22k,0.9289883
94,Ahmed9275/Vit-Cifar100,0.83944863
95,driboune/skin_type,0.86133856
96,microsoft/swin-base-patch4-window7-224-in22k,0.89656436
97,facebook/deit-base-patch16-224,0.8777594
98,facebook/deit-base-distilled-patch16-224,0.8670371
99,eslamxm/vit-base-food101,0.8460305
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.877682
101,facebook/convnext-base-224,0.9280498
102,facebook/convnext-small-224,0.913515
103,microsoft/swin-base-patch4-window7-224,0.9015675
104,microsoft/beit-base-patch16-224,0.7660201
105,mrm8488/convnext-tiny-finetuned-eurosat,0.91975945
106,mrm8488/convnext-tiny-finetuned-beans,0.92421895
107,facebook/convnext-tiny-224,0.9083513
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9180344
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.78562117
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.9172007
111,Calin/convnext-tiny-finteuned-eurosat,0.9173146
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.9084403
113,Visual-Attention-Network/van-small,0.8859428
114,WinKawaks/vit-small-patch16-224,0.86810213
115,facebook/deit-small-distilled-patch16-224,0.8776055
116,Visual-Attention-Network/van-base,0.8883506
117,jadohu/BEiT-finetuned,0.72660035
118,nielsr/convnext-tiny-finetuned-eurostat,0.93266255
119,facebook/deit-small-patch16-224,0.8174512
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.87690103
121,microsoft/swin-small-patch4-window7-224,0.90564245
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8836532
123,Ahmed9275/ALL-3,0.8840071
124,facebook/convnext-large-224,0.93774515
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.87165326
126,WinKawaks/vit-tiny-patch16-224,0.8077602
127,Visual-Attention-Network/van-tiny,0.90011376
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.86797446
129,facebook/deit-tiny-distilled-patch16-224,0.835683
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.87515044
131,nielsr/convnext-tiny-finetuned-eurosat,0.91392
132,ibombonato/swin-age-classifier,0.86149967
133,Ahmed9275/ALL-test,0.8674597
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8667567
135,facebook/deit-tiny-patch16-224,0.82690513
136,microsoft/swin-tiny-patch4-window7-224,0.87450206
137,flyswot/test,0.8391546
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8711148
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.864028
140,nielsr/van-base-finetuned-eurosat-imgaug,0.87353927
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8719657
142,Visual-Attention-Network/van-large,0.8591355
143,Matthijs/snacks-classifier,0.8615167
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.87432724
145,nateraw/test_model_a,0.09132661
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8823268
147,google/vit-base-patch32-384,0.85412884
148,nateraw/rare-puppers-demo,0.8706204
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.48617867
150,AkshatSurolia/DeiT-FaceMask-Finetuned,0.85983247
151,meame2010/rare-puppers,0.86642396
152,facebook/convnext-base-224-22k-1k,0.939409
153,google/vit-large-patch32-384,0.82670987
154,microsoft/swin-large-patch4-window7-224,0.9231217
155,mmgyorke/vit-world-landmarks,0.8646202
156,lysandre/tiny-vit-random,0.10768844
157,AhmedSayeem/VIT_Basic,0.84873116
158,facebook/convnext-large-224-22k-1k,0.9437561
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.86219674
160,facebook/convnext-base-384,0.9351738
161,microsoft/resnet-50,0.8278649
162,microsoft/beit-base-patch16-224-pt22k,0.6370857
163,microsoft/beit-large-patch16-224,0.56225497
164,facebook/convnext-large-224-22k,0.97184026
165,google/vit-large-patch16-224,0.84360766
166,facebook/convnext-large-384,0.9017843
167,facebook/convnext-xlarge-224-22k,0.96748453
168,facebook/convnext-large-384-22k-1k,0.97367865
169,nielsr/convnext-xlarge-224-22k-1k,0.9253363
170,facebook/deit-base-patch16-384,0.87853885
171,google/vit-base-patch16-384,0.873881
172,microsoft/swin-base-patch4-window12-384-in22k,0.95232135
173,microsoft/beit-large-patch16-224-pt22k-ft22k,0.6781101
174,facebook/deit-base-distilled-patch16-384,0.91321695
175,facebook/convnext-xlarge-224-22k-1k,0.9415277
176,nielsr/convnext-xlarge-224-22k,0.94508356
177,microsoft/beit-large-patch16-384,0.7478878
178,microsoft/swin-large-patch4-window12-384,0.9226582
