,model,score
0,google/vit-base-patch16-224,0.8990144
1,IDEA-CCNL/Taiyi-vit-87M-D,0.9032637
2,facebook/deit-base-patch16-224,0.9055324
3,facebook/deit-base-distilled-patch16-224,0.86551005
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.83416593
5,facebook/convnext-base-224,0.90490556
6,facebook/convnext-small-224,0.92141765
7,microsoft/swin-base-patch4-window7-224,0.88945144
8,microsoft/beit-base-patch16-224,0.85046846
9,facebook/convnext-tiny-224,0.90026546
10,Visual-Attention-Network/van-small,0.9079355
11,WinKawaks/vit-small-patch16-224,0.8978104
12,facebook/deit-small-distilled-patch16-224,0.89264107
13,Visual-Attention-Network/van-base,0.8656175
14,facebook/deit-small-patch16-224,0.8805394
15,microsoft/swin-small-patch4-window7-224,0.8909522
16,Ahmed9275/ALL-3,0.86652565
17,facebook/convnext-large-224,0.8810808
18,WinKawaks/vit-tiny-patch16-224,0.7953963
19,Visual-Attention-Network/van-tiny,0.8754937
20,facebook/deit-tiny-distilled-patch16-224,0.818879
21,Ahmed9275/ALL-test,0.8941039
22,facebook/deit-tiny-patch16-224,0.8027096
23,microsoft/swin-tiny-patch4-window7-224,0.8905336
24,Visual-Attention-Network/van-large,0.89637375
25,google/vit-base-patch32-384,0.86894375
26,facebook/convnext-base-224-22k-1k,0.92910177
27,google/vit-large-patch32-384,0.9001833
28,microsoft/swin-large-patch4-window7-224,0.9144234
29,lysandre/tiny-vit-random,0.04291368
30,facebook/convnext-large-224-22k-1k,0.9308108
31,facebook/convnext-base-384,0.91649806
32,microsoft/resnet-50,0.81902605
33,microsoft/beit-base-patch16-224-pt22k,0.8116874
34,microsoft/beit-large-patch16-224,0.8160962
35,google/vit-large-patch16-224,0.8646774
36,facebook/convnext-large-384,0.9114688
37,facebook/convnext-large-384-22k-1k,0.92700154
38,nielsr/convnext-xlarge-224-22k-1k,0.90078604
39,facebook/deit-base-patch16-384,0.90691596
40,google/vit-base-patch16-384,0.90326416
41,facebook/deit-base-distilled-patch16-384,0.8945453
42,facebook/convnext-xlarge-224-22k-1k,0.9303834
43,microsoft/beit-large-patch16-384,0.67010194
44,microsoft/swin-large-patch4-window12-384,0.9134649
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9118514
46,karthiksv/vit-base-patch16-224-cifar10,0.899956
47,nateraw/vit-base-patch16-224-cifar10,0.89593667
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8932887
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.90405566
50,jadohu/BEiT-finetuned,0.864976
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8920868
52,nateraw/vit-base-beans-demo,0.8944967
53,nickmuchi/vit-base-beans,0.8987938
54,karthiksv/vit-base-beans,0.9044942
55,nateraw/vit-base-beans-demo-v3,0.9006099
56,johnnydevriese/vit_beans,0.90016115
57,nateraw/vit-base-beans-demo-v2,0.900403
58,mmekias/vit-base-beans,0.9067752
59,nateraw/vit-base-beans,0.90538615
60,mrm8488/convnext-tiny-finetuned-beans,0.9224891
61,nielsr/vit-finetuned-eurosat-kornia,0.901776
62,mrm8488/convnext-tiny-finetuned-eurosat,0.93091136
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9248764
64,Calin/convnext-tiny-finteuned-eurosat,0.9258792
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.91214365
66,nielsr/convnext-tiny-finetuned-eurostat,0.91034466
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9108673
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.88847643
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.89877486
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.89606196
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.91179186
72,nielsr/convnext-tiny-finetuned-eurosat,0.9040939
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8972408
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.89461863
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.90952647
76,nielsr/van-base-finetuned-eurosat-imgaug,0.9007625
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9046924
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8998192
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9083943
80,eren23/pneumonia_test_attempt,0.91923326
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9180359
82,nickmuchi/vit-base-xray-pneumonia,0.9030676
83,facebook/convnext-base-224-22k,0.8897122
84,microsoft/swin-large-patch4-window7-224-in22k,0.89096344
85,microsoft/swin-base-patch4-window7-224-in22k,0.8986325
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7947499
87,facebook/convnext-large-224-22k,0.9179169
88,facebook/convnext-xlarge-224-22k,0.9019412
89,microsoft/swin-base-patch4-window12-384-in22k,0.90023017
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.81900454
91,nielsr/convnext-xlarge-224-22k,0.91946894
92,nickmuchi/vit-finetuned-cats-dogs,0.90366507
93,ismgar01/vit-base-cats-vs-dogs,0.902245
94,akahana/vit-base-cats-vs-dogs,0.89610076
95,nateraw/vit-base-cats-vs-dogs,0.90061724
96,nateraw/test_model_a,0.034705043
97,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9036165
98,Matthijs/snacks-classifier,0.9014037
99,nateraw/vit-base-food101,0.9000301
100,eslamxm/vit-base-food101,0.8992548
101,SriramSridhar78/sriram-car-classifier,0.9252812
102,imjeffhi/pokemon_classifier,0.885226
103,AkshatSurolia/ViT-FaceMask-Finetuned,0.8693157
104,AkshatSurolia/BEiT-FaceMask-Finetuned,0.75754815
105,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8973275
106,Ahmed9275/Vit-Cifar100,0.88353944
