,model,score
0,Rajaram1996/FacialEmoRecog,1.2315466403249191
1,matteopilotto/vit-base-patch16-224-in21k-snacks,1.243790185000458
2,Matthijs/snacks-classifier,1.1595673112495262
3,nateraw/vit-age-classifier,1.2282220293766604
4,ibombonato/vit-age-classifier,1.2265262425430343
5,ibombonato/swin-age-classifier,1.2045808756892336
6,mrm8488/convnext-tiny-finetuned-beans,1.2034759317242938
7,nateraw/vit-base-beans,1.1727150341683252
8,johnnydevriese/vit_beans,1.2734309922855478
9,mmekias/vit-base-beans,1.2726218178114288
10,nateraw/vit-base-beans-demo,1.17922734878931
11,nickmuchi/vit-base-beans,1.1939891534818798
12,karthiksv/vit-base-beans,1.272565137029493
13,nateraw/vit-base-beans-demo-v2,1.1755240297276157
14,nateraw/vit-base-beans-demo-v3,1.1747827241363278
15,nickmuchi/vit-finetuned-cats-dogs,1.1678896194250123
16,nateraw/vit-base-cats-vs-dogs,1.172499704798607
17,ismgar01/vit-base-cats-vs-dogs,1.1879118883287987
18,nateraw/test_model_a,0.4304844703688325
19,akahana/vit-base-cats-vs-dogs,1.0862420346531765
20,eren23/pneumonia_test_attempt,1.1807185367353359
21,nickmuchi/vit-finetuned-chest-xray-pneumonia,1.1844703586776346
22,nickmuchi/vit-base-xray-pneumonia,1.263929756116831
23,nateraw/vit-base-patch16-224-cifar10,1.2247830194161375
24,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,1.2287194644758186
25,karthiksv/vit-base-patch16-224-cifar10,1.2249452255118345
26,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,1.214711638221029
27,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,1.224048770300465
28,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,1.2033613857733485
29,jadohu/BEiT-finetuned,1.067375508447384
30,Ahmed9275/Vit-Cifar100,1.171554431466988
31,nielsr/vit-finetuned-eurosat-kornia,1.1715375307821874
32,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,1.1699798890043471
33,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,1.1905935419128004
34,Calin/convnext-tiny-finteuned-eurosat,1.197030521296943
35,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,1.169753166879077
36,nielsr/convnext-tiny-finetuned-eurosat,1.1887758567686488
37,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,1.1703721911508405
38,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,1.1700135463633834
39,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,1.165233780105381
40,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,1.1694977781425187
41,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,1.1649995726500995
42,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,1.1709159108963636
43,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,1.170476179353382
