,mappedID,model,score
0,73,Aftabhussain/Tomato_Leaf_Classifier,-0.24018635
1,74,Ahmed9275/ALL-3,-0.23762077
2,75,Ahmed9275/ALL-test,-0.40467417
3,76,Ahmed9275/Vit-Cifar100,-0.16729823
4,77,AhmedSayeem/VIT_Basic,-0.24018635
5,78,AkshatSurolia/BEiT-FaceMask-Finetuned,-0.24018635
6,79,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,-0.24018635
7,80,AkshatSurolia/DeiT-FaceMask-Finetuned,-0.24018635
8,81,AkshatSurolia/ViT-FaceMask-Finetuned,-0.24018635
9,82,Amrrs/indian-foods,-0.24018635
10,83,Amrrs/south-indian-foods,-0.24018635
11,84,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.28623712
12,85,AykeeSalazar/vc-bantai-vit-withoutAMBI,-0.24018635
13,86,Frodnar/bee-likes,-0.24018635
14,87,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.2862371
15,88,Giuliano/places,-0.24018635
16,89,HHousen/household-rooms,-0.24018635
17,90,Hijazzi/rare-puppers,-0.24018635
18,91,IDEA-CCNL/Taiyi-vit-87M-D,-0.40467417
19,92,LorenzoDeMattei/lawn-weeds,-0.24018635
20,93,Matthijs/snacks-classifier,-0.23762077
21,94,Neto71/sea_mammals,-0.24018635
22,95,Nonem100/Test-Model,-0.24018635
23,96,Rajaram1996/FacialEmoRecog,-0.24018635
24,97,Sena/dog,-0.24018635
25,98,Sena/flowers,-0.24018635
26,99,SriramSridhar78/sriram-car-classifier,-0.24018635
27,100,Suzana/new-york-tokyo-london,-0.24018635
28,101,Symbermine/rare-puppers,-0.24018635
29,102,Visual-Attention-Network/van-base,-0.40467417
30,103,Visual-Attention-Network/van-large,-0.40467417
31,104,Visual-Attention-Network/van-small,-0.40467417
32,105,Visual-Attention-Network/van-tiny,-0.24018635
33,106,Zayn/VIT_Basic,-0.24018635
34,107,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-0.24018635
35,108,ajanco/greens,-0.24018635
36,109,akahana/vit-base-cats-vs-dogs,-0.24018635
37,110,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.28623712
38,111,b25mayank3/shirt_identifier,-0.24018635
39,112,black/simple_kitchen,-0.24018635
40,113,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-0.24018635
41,114,drab/Infrastructures,-0.24018635
42,115,driboune/skin_type,-0.24018635
43,116,edixo/road_good_damaged_condition,-0.24018635
44,117,eren23/pneumonia_test_attempt,-0.24018635
45,118,eslamxm/vit-base-food101,-0.24018635
46,119,facebook/convnext-base-224,-0.22343034
47,120,facebook/convnext-base-224-22k,-0.16729823
48,121,facebook/convnext-base-224-22k-1k,-0.21865487
49,122,facebook/convnext-base-384,-0.23762076
50,123,facebook/convnext-base-384-22k-1k,-0.24018635
51,124,facebook/convnext-large-224,-0.21865489
52,125,facebook/convnext-large-224-22k,-0.3777269
53,126,facebook/convnext-large-224-22k-1k,-0.29868034
54,127,facebook/convnext-large-384,-0.2862371
55,128,facebook/convnext-large-384-22k-1k,-0.2862371
56,129,facebook/convnext-small-224,-0.22343034
57,130,facebook/convnext-tiny-224,-0.23192438
58,131,facebook/convnext-xlarge-224-22k,-0.37772688
59,132,facebook/deit-base-distilled-patch16-224,-0.40467417
60,133,facebook/deit-base-distilled-patch16-384,-0.40467417
61,134,facebook/deit-base-patch16-224,-0.23762077
62,135,facebook/deit-base-patch16-384,-0.40467417
63,136,facebook/deit-small-distilled-patch16-224,-0.40467417
64,137,facebook/deit-small-patch16-224,-0.24018635
65,138,facebook/deit-tiny-distilled-patch16-224,-0.24018635
66,139,facebook/deit-tiny-patch16-224,-0.24018635
67,140,ferdinand/rare-puppers,-0.24018635
68,141,filipafcastro/beer_vs_wine,-0.24018635
69,142,firas-spanioli/beer-whisky-wine-detection,-0.24018635
70,143,firebolt/llama_or_what,-0.24018635
71,144,firebolt/llama_or_what2,-0.24018635
72,145,gatecitypreservation/architectural_styles,-0.24018635
73,146,godiec/diam,-0.24018635
74,147,google/vit-base-patch16-224,-0.40467417
75,148,google/vit-base-patch16-384,-0.40467417
76,149,google/vit-base-patch32-384,-0.23762076
77,150,google/vit-large-patch16-224,-0.3777269
78,151,google/vit-large-patch32-384,-0.21865487
