,model,score
0,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-0.44732199536431816
1,nateraw/vit-base-patch16-224-cifar10,-0.131521239492276
2,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-0.8478194190775614
3,nateraw/vit-base-beans-demo,-0.2202577397516916
4,nickmuchi/vit-base-beans,-0.21796686262591924
5,nateraw/vit-base-beans-demo-v3,-0.2757878872504098
6,nateraw/vit-base-beans-demo-v2,-0.2588148621900359
7,mmekias/vit-base-beans,-0.09542141870609244
8,nateraw/vit-base-beans,-0.18221947667788596
9,mrm8488/convnext-tiny-finetuned-beans,-0.25871299862739017
10,nielsr/vit-finetuned-eurosat-kornia,-0.38183778278164215
11,mrm8488/convnext-tiny-finetuned-eurosat,-0.046568659353578123
12,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,-0.0771138680685226
13,Calin/convnext-tiny-finteuned-eurosat,-0.44717975027005386
14,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,-0.4219940933369877
15,nielsr/convnext-tiny-finetuned-eurostat,-0.4153934684441558
16,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.5488606704685082
17,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.6425497950818455
18,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.09676406010617722
19,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.06304974611320135
20,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.19207286278978586
21,nielsr/convnext-tiny-finetuned-eurosat,-0.4265456443171316
22,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,-0.3841403403922743
23,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.12757922577389413
24,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.09553754116981805
25,nielsr/van-base-finetuned-eurosat-imgaug,-0.6965845628569669
26,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.11055006081758867
27,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.10145060714516152
28,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.05773294719422006
29,eren23/pneumonia_test_attempt,-0.9591407919483834
30,nickmuchi/vit-finetuned-chest-xray-pneumonia,-0.8836666123130148
31,nickmuchi/vit-base-xray-pneumonia,-0.7830102574985167
32,IDEA-CCNL/Taiyi-vit-87M-D,-0.33002582997377683
33,mrm8488/data2vec-base-finetuned-imagenet1k,-0.27949389517901846
34,facebook/convnext-base-224,0.16495430748965578
35,facebook/convnext-small-224,0.01426997966720256
36,microsoft/swin-base-patch4-window7-224,0.7014423249510959
37,microsoft/beit-base-patch16-224,-1.9631848698977978
38,facebook/convnext-tiny-224,0.011952121419040562
39,Visual-Attention-Network/van-small,-0.5398407643222107
40,WinKawaks/vit-small-patch16-224,-0.8482601518246993
41,facebook/deit-small-distilled-patch16-224,-0.530741957637078
42,Visual-Attention-Network/van-base,-0.49497526825048643
43,facebook/deit-small-patch16-224,-0.7738709314751029
44,microsoft/swin-small-patch4-window7-224,0.12926267369186295
45,Ahmed9275/ALL-3,-0.14384422145106424
46,facebook/convnext-large-224,1.3218571230932086
47,WinKawaks/vit-tiny-patch16-224,-0.9534650980224924
48,Visual-Attention-Network/van-tiny,-0.6521208701076544
49,facebook/deit-tiny-distilled-patch16-224,-0.6577810395090506
50,Ahmed9275/ALL-test,-0.7025940577320999
51,facebook/deit-tiny-patch16-224,-0.7224502189651054
52,microsoft/swin-tiny-patch4-window7-224,0.05070296554985898
53,Visual-Attention-Network/van-large,-0.41119589172226334
54,facebook/convnext-base-224-22k-1k,0.8998604351117891
55,lysandre/tiny-vit-random,-2.5574704394878824
56,facebook/convnext-large-224-22k-1k,1.3329113122125285
57,facebook/convnext-base-384,0.38998125621323343
58,facebook/convnext-base-224-22k,0.5083844828214388
59,microsoft/swin-base-patch4-window7-224-in22k,0.4620889195262503
60,microsoft/beit-base-patch16-224-pt22k-ft22k,-0.3299309221683355
61,facebook/convnext-large-224-22k,1.4809635175232825
62,nickmuchi/vit-finetuned-cats-dogs,-0.8955861055335155
63,akahana/vit-base-cats-vs-dogs,-0.8930671583967711
64,nateraw/vit-base-cats-vs-dogs,-0.8856757360459593
65,nateraw/test_model_a,-2.71253118910935
66,nateraw/vit-base-food101,-0.7785898309042225
67,eslamxm/vit-base-food101,-0.7467473563926319
68,SriramSridhar78/sriram-car-classifier,-0.6308446552931697
69,AkshatSurolia/ViT-FaceMask-Finetuned,-0.8928824169917173
70,AkshatSurolia/BEiT-FaceMask-Finetuned,-0.6390543209690995
71,AkshatSurolia/DeiT-FaceMask-Finetuned,-0.7711871207552408
72,Ahmed9275/Vit-Cifar100,-0.03452249269002161
73,Matthijs/snacks-classifier,-0.2789645005123531
