,model,score
0,nateraw/denver-nyc-paris,-0.29175099155149864
1,black/simple_kitchen,-0.2872465196251506
2,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.06154823470925597
3,Suzana/new-york-tokyo-london,-0.30619512203054433
4,nateraw/baked-goods,-0.3377385203977493
5,ajanco/greens,-0.29210321112861903
6,nateraw/vit-base-beans-demo,0.023263475439912362
7,HHousen/household-rooms,-0.28440238724187505
8,Amrrs/indian-foods,-0.3319067923233082
9,nateraw/planes-trains-automobiles,-0.32802919701566446
10,nielsr/vit-finetuned-eurosat-kornia,0.0754896966884615
11,eren23/pneumonia_test_attempt,-0.40738513743775984
12,nateraw/ex-for-evan,-0.31290323475440407
13,Frodnar/bee-likes,-0.2790716899121837
14,nickmuchi/vit-base-beans,0.004594749973882761
15,nateraw/baseball-stadium-foods,-0.3218467698193036
16,Giuliano/places,-0.3493615023271016
17,Nonem100/Test-Model,-0.302027803333516
18,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-0.3361129982502654
19,LorenzoDeMattei/lawn-weeds,-0.32675159546988575
20,nateraw/doggos-lol,-0.3045121615341231
21,IDEA-CCNL/Taiyi-vit-87M-D,-0.33410398409919084
22,nickmuchi/vit-finetuned-chest-xray-pneumonia,-0.35706978858820915
23,Symbermine/rare-puppers,-0.3117425394920812
24,nateraw/vit-base-patch16-224-cifar10,0.05576921544105673
25,Amrrs/south-indian-foods,-0.3006913344701976
26,nateraw/rare-puppers-123,0.08240959668797032
27,Aftabhussain/Tomato_Leaf_Classifier,-0.37797796493057045
28,nickmuchi/vit-base-xray-pneumonia,-0.33627866923397953
29,Neto71/sea_mammals,-0.2677404064550395
30,b25mayank3/shirt_identifier,-0.22982196849135317
31,facebook/convnext-base-224-22k,0.42802263481485303
32,nickmuchi/vit-finetuned-cats-dogs,-0.38541748281487853
33,Rajaram1996/FacialEmoRecog,-0.4099931502434567
34,nateraw/vit-base-beans-demo-v3,-0.023448868938768408
35,nateraw/vit-age-classifier,-0.39011187151244686
36,nateraw/vit-base-beans-demo-v2,0.012876392932336556
37,mmekias/vit-base-beans,0.06516679580812168
38,drab/Infrastructures,-0.2954117537740486
39,nateraw/vit-base-beans,0.02937949652469163
40,Sena/dog,-0.31769028866606674
41,edixo/road_good_damaged_condition,-0.3453220904250268
42,AykeeSalazar/vc-bantai-vit-withoutAMBI,-0.3011118113876319
43,Sena/flowers,-0.21463026135358998
44,nateraw/pasta-shapes,-0.3063218085193289
45,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,-0.31463615201493944
46,nateraw/vit-base-food101,-0.3082621629289861
47,Hijazzi/rare-puppers,-0.30967012584673514
48,nateraw/trainer-rare-puppers,-0.32047105029496137
49,nateraw/rare-puppers-new-auth,-0.2861173155111174
50,SriramSridhar78/sriram-car-classifier,-0.23432097624523385
51,nateraw/rare-puppers,-0.3207472994491164
52,nateraw/huggingpics-package-demo-2,-0.34453209105184734
53,nateraw/pasta-pizza-ravioli,-0.3524012028357878
54,akahana/vit-base-cats-vs-dogs,-0.39285602384681206
55,nateraw/donut-or-bagel,-0.3385833494688578
56,nateraw/rare-puppers-09-04-2021,-0.2892850423545319
57,nateraw/vit-base-cats-vs-dogs,-0.3829227925833919
58,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-0.34275687626231466
59,AkshatSurolia/ViT-FaceMask-Finetuned,-0.3489814347916663
60,Ahmed9275/Vit-Cifar100,0.08791139061146414
61,driboune/skin_type,-0.32319067062169393
62,microsoft/swin-base-patch4-window7-224-in22k,0.46381454741291095
63,eslamxm/vit-base-food101,-0.30700364507765454
64,mrm8488/data2vec-base-finetuned-imagenet1k,-0.3133488201000625
65,facebook/convnext-base-224,0.2723926892398447
66,facebook/convnext-small-224,0.12371266555149796
67,microsoft/swin-base-patch4-window7-224,0.8013850148019477
68,microsoft/beit-base-patch16-224,-1.8263309935574252
69,mrm8488/convnext-tiny-finetuned-eurosat,0.40746350348356875
70,mrm8488/convnext-tiny-finetuned-beans,-0.10647428231800293
71,facebook/convnext-tiny-224,-0.023928192406186488
72,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.3848078042773211
73,microsoft/beit-base-patch16-224-pt22k-ft22k,-0.19474469119735738
74,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,-0.4325972094103733
75,Calin/convnext-tiny-finteuned-eurosat,-0.06402916527020186
76,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,-0.03196991656140091
77,Visual-Attention-Network/van-small,-0.5555402147428788
78,WinKawaks/vit-small-patch16-224,-0.585209893474708
79,facebook/deit-small-distilled-patch16-224,-0.5458572274196455
80,Visual-Attention-Network/van-base,-0.49419051331410435
81,nielsr/convnext-tiny-finetuned-eurostat,-0.029137767305457585
82,facebook/deit-small-patch16-224,-0.8188541795014084
83,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.08494463709061839
84,microsoft/swin-small-patch4-window7-224,0.09094118556126429
85,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.07503818385348393
86,Ahmed9275/ALL-3,-0.07865510578238588
87,facebook/convnext-large-224,1.3540471518156811
88,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.3891612997692264
89,WinKawaks/vit-tiny-patch16-224,-0.6891087992872059
90,Visual-Attention-Network/van-tiny,-0.5456101076553844
91,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.43114499407266305
92,facebook/deit-tiny-distilled-patch16-224,-0.5482626379627352
93,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.3613032634214792
94,nielsr/convnext-tiny-finetuned-eurosat,-0.03543330451373383
95,ibombonato/swin-age-classifier,-0.6117746905619371
96,Ahmed9275/ALL-test,-0.5643239133543078
97,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.16901173822904902
98,facebook/deit-tiny-patch16-224,-0.6326159048512526
99,microsoft/swin-tiny-patch4-window7-224,-0.005073401589131388
100,flyswot/test,-0.6978989013814131
101,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.37993202048235175
102,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.3919225773537054
103,nielsr/van-base-finetuned-eurosat-imgaug,-0.11991415364528346
104,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.38493621298774583
105,Visual-Attention-Network/van-large,-0.4067175709786486
106,Matthijs/snacks-classifier,-0.17613658841916902
107,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.3893370065277604
108,nateraw/test_model_a,-2.351022379806698
109,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4309331657938178
110,nateraw/rare-puppers-demo,-0.2944755596440085
111,AkshatSurolia/BEiT-FaceMask-Finetuned,-0.18680101697148466
112,AkshatSurolia/DeiT-FaceMask-Finetuned,-0.30628100311446405
113,facebook/convnext-base-224-22k-1k,0.8729626511354038
114,mmgyorke/vit-world-landmarks,-0.36932621017349854
115,lysandre/tiny-vit-random,-2.3279413160098033
116,AhmedSayeem/VIT_Basic,-0.2888501490092108
117,facebook/convnext-large-224-22k-1k,1.3366876240581294
118,facebook/convnext-base-384,0.29078407596576406
119,facebook/convnext-large-224-22k,1.5060303401012944
