,model,score
0,firebolt/llama_or_what2,1.7603493
1,google/vit-base-patch16-224,1.8208492
2,nateraw/denver-nyc-paris,1.7570516
3,black/simple_kitchen,1.7644596
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,1.7738228
5,Suzana/new-york-tokyo-london,1.7652235
6,filipafcastro/beer_vs_wine,1.763784
7,nateraw/baked-goods,1.7571124
8,ajanco/greens,1.7660859
9,nateraw/vit-base-beans-demo,1.7611876
10,HHousen/household-rooms,1.761007
11,Amrrs/indian-foods,1.7655859
12,nateraw/planes-trains-automobiles,1.7623167
13,julien-c/hotdog-not-hotdog,1.7660859
14,jmarshall/rare-puppers,1.7660859
15,nielsr/vit-finetuned-eurosat-kornia,1.7353461
16,eren23/pneumonia_test_attempt,1.7660859
17,micole66/dwarf-goats,1.7738228
18,nateraw/ex-for-evan,1.764108
19,karthiksv/vit-base-patch16-224-cifar10,1.7738228
20,ferdinand/rare-puppers,1.7660859
21,ipvikas/rare-puppers,1.7660859
22,Frodnar/bee-likes,1.7698473
23,nickmuchi/vit-base-beans,1.7763572
24,nateraw/baseball-stadium-foods,1.7520638
25,Giuliano/places,1.7653483
26,firas-spanioli/beer-whisky-wine-detection,1.7721066
27,jjhoffstein/lotr,1.7604795
28,Nonem100/Test-Model,1.751945
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,1.7617528
30,LorenzoDeMattei/lawn-weeds,1.7657971
31,nateraw/doggos-lol,1.7573173
32,IDEA-CCNL/Taiyi-vit-87M-D,1.814738
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,1.7551403
34,karthiksv/vit-base-beans,1.7631893
35,Symbermine/rare-puppers,1.7647378
36,nateraw/vit-base-patch16-224-cifar10,1.7604299
37,gatecitypreservation/architectural_styles,1.765866
38,Amrrs/south-indian-foods,1.7581959
39,hafidber/fruits,1.7723641
40,nateraw/rare-puppers-123,1.7660859
41,Aftabhussain/Tomato_Leaf_Classifier,1.7555077
42,nickmuchi/vit-base-xray-pneumonia,1.7538495
43,Neto71/sea_mammals,1.7709455
44,lewtun/oz-fauna,1.7507186
45,hgarg/fruits,1.7572976
46,jasmeen/dogs,1.7613647
47,b25mayank3/shirt_identifier,1.7651092
48,jeffboudier/vision-transformers-spain-or-italy-fan,1.7493933
49,facebook/convnext-base-224-22k,1.7491056
50,nickmuchi/vit-finetuned-cats-dogs,1.7660859
51,godiec/diam,1.7654403
52,Rajaram1996/FacialEmoRecog,1.7574849
53,nateraw/vit-base-beans-demo-v3,1.7595391
54,firebolt/llama_or_what,1.7660859
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,1.7718604
56,johnnydevriese/vit_beans,1.7619114
57,nateraw/vit-age-classifier,1.7558357
58,nateraw/vit-base-beans-demo-v2,1.7769568
59,mmekias/vit-base-beans,1.7654247
60,juanfiguera/ice_cream,1.7685201
61,drab/Infrastructures,1.7657046
62,nateraw/vit-base-beans,1.7601793
63,Sena/dog,1.7617278
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,1.7573173
65,hafidber/rare-puppers,1.7660859
66,edixo/road_good_damaged_condition,1.7610397
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,1.7592478
68,Sena/flowers,1.7627792
69,matteopilotto/vit-base-patch16-224-in21k-snacks,1.7603949
70,johnnydevriese/vit-airplanes,1.7604976
71,nateraw/pasta-shapes,1.7660859
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,1.766161
73,hgarg/indian-snacks,1.7567147
74,nateraw/vit-base-food101,1.7655771
75,Hijazzi/rare-puppers,1.7660859
76,nateraw/trainer-rare-puppers,1.6654379
77,ibombonato/vit-age-classifier,1.7660859
