,model,score
0,google/vit-base-patch16-224,1.122293636154686
1,IDEA-CCNL/Taiyi-vit-87M-D,1.074062791646549
2,facebook/deit-base-patch16-224,1.1286409326752491
3,facebook/deit-base-distilled-patch16-224,1.0715629840926426
4,mrm8488/data2vec-base-finetuned-imagenet1k,1.11481205765406
5,facebook/convnext-base-224,1.0730950129831807
6,facebook/convnext-small-224,1.0424504001743795
7,microsoft/swin-base-patch4-window7-224,1.1838493751961146
8,microsoft/beit-base-patch16-224,1.0604240528682978
9,facebook/convnext-tiny-224,1.0351349431377748
10,Visual-Attention-Network/van-small,1.0567082110207364
11,WinKawaks/vit-small-patch16-224,1.047677381353618
12,facebook/deit-small-distilled-patch16-224,1.0257556646691912
13,Visual-Attention-Network/van-base,1.0669416032923325
14,facebook/deit-small-patch16-224,1.0755384554535403
15,microsoft/swin-small-patch4-window7-224,1.0595786598813388
16,Ahmed9275/ALL-3,1.0680391276100634
17,facebook/convnext-large-224,1.1180589388791904
18,WinKawaks/vit-tiny-patch16-224,1.0401240166676995
19,Visual-Attention-Network/van-tiny,1.0878714732430037
20,facebook/deit-tiny-distilled-patch16-224,1.0120500085244637
21,Ahmed9275/ALL-test,1.069277111156116
22,facebook/deit-tiny-patch16-224,1.0267079487745416
23,microsoft/swin-tiny-patch4-window7-224,1.0405045811151994
24,Visual-Attention-Network/van-large,1.1002385162278687
25,google/vit-base-patch32-384,1.1492897270861988
26,facebook/convnext-base-224-22k-1k,1.170478909242929
27,google/vit-large-patch32-384,1.2369223904043936
28,microsoft/swin-large-patch4-window7-224,1.1373691116229847
29,lysandre/tiny-vit-random,1.0401128718014785
30,facebook/convnext-large-224-22k-1k,1.1325655302010573
31,facebook/convnext-base-384,1.18919323941697
32,microsoft/resnet-50,1.041036477008665
33,microsoft/beit-base-patch16-224-pt22k,1.0967604051020727
34,microsoft/beit-large-patch16-224,1.1783010533600144
35,google/vit-large-patch16-224,1.1858188829851397
36,facebook/convnext-large-384,1.291382698205111
37,facebook/convnext-large-384-22k-1k,1.29246848962589
38,nielsr/convnext-xlarge-224-22k-1k,1.1958267527905138
39,facebook/deit-base-patch16-384,1.2062801072076217
40,google/vit-base-patch16-384,1.2112652501952574
41,facebook/deit-base-distilled-patch16-384,1.191719698044338
42,facebook/convnext-xlarge-224-22k-1k,1.1973846398275656
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,1.1572562304318101
44,karthiksv/vit-base-patch16-224-cifar10,1.1884339833574773
45,nateraw/vit-base-patch16-224-cifar10,1.1880435740692479
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,1.1862772676483433
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,1.1913024661745828
48,jadohu/BEiT-finetuned,1.1242844034491337
49,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,1.1506858723978604
50,nateraw/vit-base-beans-demo,1.1669475154529212
51,nickmuchi/vit-base-beans,1.2054647986018665
52,karthiksv/vit-base-beans,1.1970716680736277
53,nateraw/vit-base-beans-demo-v3,1.1586423697883173
54,johnnydevriese/vit_beans,1.1991547655854138
55,nateraw/vit-base-beans-demo-v2,1.1571537532832363
56,mmekias/vit-base-beans,1.194512645692308
57,nateraw/vit-base-beans,1.1525102338411881
58,mrm8488/convnext-tiny-finetuned-beans,1.12690472880839
59,nielsr/vit-finetuned-eurosat-kornia,1.1311997958578792
60,mrm8488/convnext-tiny-finetuned-eurosat,1.0789321894927126
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,1.097686232427745
62,Calin/convnext-tiny-finteuned-eurosat,1.0935357291511068
63,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,1.0753540687566314
64,nielsr/convnext-tiny-finetuned-eurostat,1.089783070541806
65,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,1.0867264259196354
66,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,1.0915799895560256
67,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,1.0972649760909312
68,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,1.0915043825707749
69,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,1.092646367249583
70,nielsr/convnext-tiny-finetuned-eurosat,1.0709810336212726
71,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,1.0947096005489367
72,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,1.0954766165526917
73,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,1.1086027117644612
74,nielsr/van-base-finetuned-eurosat-imgaug,1.1255478978460454
75,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,1.0947055153835459
76,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,1.1085368905071875
77,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,1.0911962343670067
78,eren23/pneumonia_test_attempt,1.1473168099183448
79,nickmuchi/vit-finetuned-chest-xray-pneumonia,1.1545280125465713
80,nickmuchi/vit-base-xray-pneumonia,1.1477258295926986
81,facebook/convnext-base-224-22k,1.1028908379499696
82,microsoft/swin-large-patch4-window7-224-in22k,1.1763310710836536
83,microsoft/swin-base-patch4-window7-224-in22k,1.1285815315759522
84,microsoft/beit-base-patch16-224-pt22k-ft22k,1.1430889578584558
85,facebook/convnext-large-224-22k,1.1641949016275266
86,facebook/convnext-xlarge-224-22k,1.2363689386608705
87,microsoft/swin-base-patch4-window12-384-in22k,1.2629265257580342
88,microsoft/beit-large-patch16-224-pt22k-ft22k,1.214038959671345
89,nielsr/convnext-xlarge-224-22k,1.237965674096325
90,nickmuchi/vit-finetuned-cats-dogs,1.001480467357482
91,ismgar01/vit-base-cats-vs-dogs,1.0524613105224683
92,akahana/vit-base-cats-vs-dogs,1.0003971139551826
93,nateraw/vit-base-cats-vs-dogs,1.0127252930364166
94,nateraw/test_model_a,0.9506030093652715
95,matteopilotto/vit-base-patch16-224-in21k-snacks,1.1390192422423873
96,Matthijs/snacks-classifier,1.10934901249942
97,nateraw/vit-base-food101,1.1041010099863304
98,eslamxm/vit-base-food101,1.1734392965674114
99,SriramSridhar78/sriram-car-classifier,1.0495104245384246
100,imjeffhi/pokemon_classifier,1.1496395892337792
101,AkshatSurolia/ViT-FaceMask-Finetuned,1.0581218053021204
102,AkshatSurolia/BEiT-FaceMask-Finetuned,1.0214849672919954
103,AkshatSurolia/DeiT-FaceMask-Finetuned,1.07189331661162
104,Ahmed9275/Vit-Cifar100,1.178276807599736
