,model,score
0,matteopilotto/vit-base-patch16-224-in21k-snacks,332.42663990265646
1,Matthijs/snacks-classifier,332.33099781769033
2,mrm8488/convnext-tiny-finetuned-beans,332.39079578080145
3,johnnydevriese/vit_beans,332.41954600203735
4,karthiksv/vit-base-beans,332.3061844397025
5,nateraw/vit-base-beans-demo-v3,332.38009149230584
6,nateraw/test_model_a,331.5015109177748
7,eren23/pneumonia_test_attempt,332.3832554595929
8,nickmuchi/vit-base-xray-pneumonia,332.3848330226356
9,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,332.4030556649541
10,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,332.38244657570885
11,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,332.30781201767877
12,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,332.3151844347458
13,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,332.3156668829197
14,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,332.30786710415214
15,mrm8488/convnext-tiny-finetuned-eurosat,332.32419629405376
16,nateraw/vit-base-food101,332.3845619224976
17,nateraw/rare-puppers,332.37787739919804
18,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,332.3891771946892
19,jjhoffstein/lotr,332.3356516418962
20,HHousen/household-rooms,332.3816920582167
21,Sena/flowers,332.36769572549474
22,nateraw/rare-puppers-123,332.37867163111514
23,juanfiguera/ice_cream,332.36638319306985
24,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,332.3874274878717
25,hafidber/fruits,332.3806466937358
26,hafidber/rare-puppers,332.37769611123167
27,ajanco/greens,332.3706879864112
28,nateraw/baked-goods,332.37730098530756
29,edixo/road_good_damaged_condition,332.38211137759026
30,lewtun/oz-fauna,332.3787547458187
31,Suzana/new-york-tokyo-london,332.3805075495311
32,jmarshall/rare-puppers,332.37800336985765
33,Aftabhussain/Tomato_Leaf_Classifier,332.3802533684893
34,nateraw/ex-for-evan,332.38489672479227
35,nateraw/rare-puppers-09-04-2021,332.37181273985607
36,Zayn/VIT_Basic,332.3832165760987
37,facebook/deit-base-distilled-patch16-224,332.3866731572325
38,Visual-Attention-Network/van-base,332.35893180377025
39,Visual-Attention-Network/van-small,332.35743254470344
40,facebook/deit-base-patch16-224,332.3769671118489
41,facebook/convnext-large-224,332.43356396738636
42,facebook/deit-tiny-distilled-patch16-224,332.3996657044636
43,WinKawaks/vit-tiny-patch16-224,332.14418938408653
44,WinKawaks/vit-small-patch16-224,332.3201128301962
45,facebook/convnext-small-224,332.380112867977
46,Ahmed9275/ALL-test,332.3374616646179
47,facebook/convnext-base-224-22k-1k,332.39965068913534
48,facebook/convnext-xlarge-224-22k-1k,332.4614905932058
49,microsoft/beit-base-patch16-224-pt22k-ft22k,332.2074930347926
50,facebook/convnext-xlarge-224-22k,332.4936429697618
51,microsoft/beit-large-patch16-224-pt22k-ft22k,332.1847713487896
52,imjeffhi/pokemon_classifier,332.36608232907747
