,model,score
0,firebolt/llama_or_what2,1.2027546843612689
1,google/vit-base-patch16-224,1.2570505147810218
2,nateraw/denver-nyc-paris,1.1966059785151901
3,black/simple_kitchen,1.2062511853451419
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,1.2151864211725856
5,Suzana/new-york-tokyo-london,1.2116770820411573
6,filipafcastro/beer_vs_wine,1.2653308598754403
7,nateraw/baked-goods,1.2045278836143236
8,ajanco/greens,1.2212267270112955
9,nateraw/vit-base-beans-demo,1.218403751273424
10,HHousen/household-rooms,1.212537502290742
11,Amrrs/indian-foods,1.2665030568121949
12,nateraw/planes-trains-automobiles,1.2108794626437038
13,julien-c/hotdog-not-hotdog,1.260034397866595
14,jmarshall/rare-puppers,1.2195572222324071
15,nielsr/vit-finetuned-eurosat-kornia,1.2222093565509298
16,eren23/pneumonia_test_attempt,1.2082229418436763
17,micole66/dwarf-goats,1.1998321873422588
18,nateraw/ex-for-evan,1.258067251241746
19,karthiksv/vit-base-patch16-224-cifar10,1.2743069398940579
20,ferdinand/rare-puppers,1.2238999262504837
21,ipvikas/rare-puppers,1.2108419851384706
22,Frodnar/bee-likes,1.212849004879961
23,nickmuchi/vit-base-beans,1.275184607529219
24,nateraw/baseball-stadium-foods,1.2742507742710458
25,Giuliano/places,1.2715006568835625
26,firas-spanioli/beer-whisky-wine-detection,1.2028705068073713
27,jjhoffstein/lotr,1.2642930555355238
28,Nonem100/Test-Model,1.2116389966276535
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,1.2092511756551527
30,LorenzoDeMattei/lawn-weeds,1.2699784921520978
31,nateraw/doggos-lol,1.2114056949891738
32,IDEA-CCNL/Taiyi-vit-87M-D,1.1964354347472148
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,1.2163762806906344
34,karthiksv/vit-base-beans,1.2747545194597376
35,Symbermine/rare-puppers,1.2107484536926278
36,nateraw/vit-base-patch16-224-cifar10,1.273785220263716
37,gatecitypreservation/architectural_styles,1.2211155430649299
38,Amrrs/south-indian-foods,1.1959048572271467
39,hafidber/fruits,1.2566687332167414
40,nateraw/rare-puppers-123,1.2107602241153608
41,Aftabhussain/Tomato_Leaf_Classifier,1.2179324589614764
42,nickmuchi/vit-base-xray-pneumonia,1.2163514430966191
43,Neto71/sea_mammals,1.258745531620207
44,lewtun/oz-fauna,1.1963953316642568
45,hgarg/fruits,1.257282082672712
46,jasmeen/dogs,1.1944976596644656
47,b25mayank3/shirt_identifier,1.2143546089894555
48,jeffboudier/vision-transformers-spain-or-italy-fan,1.223547424393936
49,facebook/convnext-base-224-22k,1.1753928013758856
50,nickmuchi/vit-finetuned-cats-dogs,1.2015453546077672
51,godiec/diam,1.2179272460103043
52,Rajaram1996/FacialEmoRecog,1.2804053251059258
53,nateraw/vit-base-beans-demo-v3,1.2106331275742404
54,firebolt/llama_or_what,1.2280932585685906
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,1.271424833489772
56,johnnydevriese/vit_beans,1.2775382468844225
57,nateraw/vit-age-classifier,1.2737689184545407
58,nateraw/vit-base-beans-demo-v2,1.2024685884308335
59,mmekias/vit-base-beans,1.2670165289327895
60,juanfiguera/ice_cream,1.2250070075065518
61,drab/Infrastructures,1.2577178061495387
62,nateraw/vit-base-beans,1.2030721750746343
63,Sena/dog,1.2109161160733506
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,1.2669382738633566
65,hafidber/rare-puppers,1.2032317787771925
66,edixo/road_good_damaged_condition,1.2685076229805978
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,1.2564261976546658
68,Sena/flowers,1.2002663834728342
69,matteopilotto/vit-base-patch16-224-in21k-snacks,1.2141145234481945
70,johnnydevriese/vit-airplanes,1.262269997074599
71,nateraw/pasta-shapes,1.2126243695590628
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,1.2687956361668085
73,hgarg/indian-snacks,1.2681707744278938
74,nateraw/vit-base-food101,1.212786138964376
75,Hijazzi/rare-puppers,1.25800988706716
76,nateraw/trainer-rare-puppers,1.2734190299817074
77,ibombonato/vit-age-classifier,1.2687238076855645
78,nateraw/rare-puppers-new-auth,1.2612174096762048
79,SriramSridhar78/sriram-car-classifier,1.2064324190191584
80,ismgar01/vit-base-cats-vs-dogs,1.2743627785699563
81,nateraw/rare-puppers,1.2111304312966253
82,iyzg/computer-stuff,1.2686857884524945
83,nateraw/huggingpics-package-demo-2,1.223180094056016
84,imjeffhi/pokemon_classifier,1.255036336867812
85,nateraw/pasta-pizza-ravioli,1.2180471542822597
86,akahana/vit-base-cats-vs-dogs,1.2012118108258092
87,nateraw/donut-or-bagel,1.2699252889310375
88,nateraw/rare-puppers-09-04-2021,1.1982070285555255
89,nateraw/vit-base-cats-vs-dogs,1.2170674636069083
90,Zayn/VIT_Basic,1.2161803127142647
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,1.2617979688003529
92,AkshatSurolia/ViT-FaceMask-Finetuned,1.2136262301335512
93,microsoft/swin-large-patch4-window7-224-in22k,1.2782705586867187
94,Ahmed9275/Vit-Cifar100,1.261690687816181
95,driboune/skin_type,1.2043911559405147
96,microsoft/swin-base-patch4-window7-224-in22k,1.226569128971475
97,facebook/deit-base-patch16-224,1.274431468513321
98,facebook/deit-base-distilled-patch16-224,1.1837113052720067
99,eslamxm/vit-base-food101,1.2551191856813486
100,mrm8488/data2vec-base-finetuned-imagenet1k,1.2342803262748454
101,facebook/convnext-base-224,1.18182682596561
102,facebook/convnext-small-224,1.1394885250356992
103,microsoft/swin-base-patch4-window7-224,1.2915712683460894
