,mappedID,model,score
0,0,Ahmed9275/ALL-3,-0.32235003
1,1,Ahmed9275/ALL-test,-0.12305917
2,2,Ahmed9275/Vit-Cifar100,0.06139476
3,3,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.13920626
4,4,AkshatSurolia/DeiT-FaceMask-Finetuned,0.12899289
5,5,AkshatSurolia/ViT-FaceMask-Finetuned,0.13317955
6,6,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.12599263
7,7,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.15283744
8,8,Hijazzi/rare-puppers,0.32817444
9,9,IDEA-CCNL/Taiyi-vit-87M-D,0.13126288
10,10,Matthijs/snacks-classifier,0.13308725
11,11,Visual-Attention-Network/van-base,0.13126288
12,12,Visual-Attention-Network/van-large,0.13126288
13,13,Visual-Attention-Network/van-small,0.17596675
14,14,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.13705334
15,15,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.13562135
16,16,eren23/pneumonia_test_attempt,0.09756175
17,17,facebook/convnext-base-224,-0.075772524
18,18,facebook/convnext-base-224-22k,-0.35076156
19,19,facebook/convnext-base-224-22k-1k,-0.5845401
20,20,facebook/convnext-base-384,-0.41122335
21,21,facebook/convnext-large-224,0.13942505
22,22,facebook/convnext-large-224-22k,-0.42045778
23,23,facebook/convnext-large-224-22k-1k,-0.29540244
24,24,facebook/convnext-large-384,-0.357236
25,25,facebook/convnext-large-384-22k-1k,-0.35061458
26,26,facebook/convnext-small-224,0.13734034
27,27,facebook/convnext-tiny-224,0.13829035
28,28,facebook/convnext-xlarge-224-22k,0.13942505
29,29,facebook/deit-base-distilled-patch16-224,0.13126288
30,30,facebook/deit-base-distilled-patch16-384,-0.1868043
31,31,facebook/deit-base-patch16-224,0.21135476
32,32,facebook/deit-base-patch16-384,-0.11874612
33,33,facebook/deit-small-distilled-patch16-224,0.12854639
34,34,ferdinand/rare-puppers,0.12899289
35,35,firebolt/llama_or_what2,0.12899289
36,36,google/vit-base-patch16-224,0.13126288
37,37,google/vit-base-patch16-384,-0.31389928
38,38,google/vit-base-patch32-384,0.13562135
39,39,google/vit-large-patch16-224,-0.4923507
40,40,google/vit-large-patch32-384,-0.43259907
41,41,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.13771452
42,42,hafidber/rare-puppers,0.13126288
43,43,ibombonato/swin-age-classifier,0.13126288
44,44,ibombonato/vit-age-classifier,0.12646157
45,45,ipvikas/rare-puppers,0.12899289
46,46,ismgar01/vit-base-cats-vs-dogs,0.12899289
47,47,jadohu/BEiT-finetuned,0.12899289
48,48,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.2298045
49,49,jmarshall/rare-puppers,0.24238154
50,50,julien-c/hotdog-not-hotdog,0.083104506
51,51,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.13562135
52,52,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.13562135
53,53,michaelbenayoun/vit-base-beans,0.13126288
54,54,microsoft/beit-large-patch16-384,-0.47564968
55,55,microsoft/swin-base-patch4-window12-384-in22k,-0.044149805
56,56,microsoft/swin-base-patch4-window7-224,-0.34426773
57,57,microsoft/swin-base-patch4-window7-224-in22k,-0.3922341
58,58,microsoft/swin-large-patch4-window7-224-in22k,-0.3339951
59,59,microsoft/swin-small-patch4-window7-224,-0.42761865
60,60,microsoft/swin-tiny-patch4-window7-224,-0.38538444
61,61,mrm8488/convnext-tiny-finetuned-beans,0.17253196
62,62,mrm8488/convnext-tiny-finetuned-eurosat,0.13938403
63,63,nateraw/baseball-stadium-foods,0.12899289
64,64,nateraw/rare-puppers,0.047847655
65,65,nateraw/rare-puppers-123,0.139255
66,66,nateraw/vit-base-beans,0.041873064
67,67,nateraw/vit-base-beans-demo,0.110894255
68,68,nateraw/vit-base-beans-demo-v2,0.030661963
69,69,nateraw/vit-base-beans-demo-v3,2.705597
70,70,nateraw/vit-base-cats-vs-dogs,2.912627
71,71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,2.750177
72,72,nickmuchi/vit-base-beans,0.12468221
73,73,nickmuchi/vit-finetuned-cats-dogs,0.5921393
74,74,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.66750336
75,75,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.6277501
76,76,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.56318164
77,77,nielsr/van-base-finetuned-eurosat-imgaug,0.6253312
78,78,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7073439
79,79,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.66718996
80,80,nielsr/vit-finetuned-eurosat-kornia,0.69518155
81,81,karthiksv/vit-base-patch16-224-cifar10,0.60528994
82,82,karthiksv/vit-base-beans,0.6287403
83,83,nateraw/vit-base-patch16-224-cifar10,0.61657274
84,84,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.57815194
85,85,mmekias/vit-base-beans,0.5630527
86,86,mrm8488/data2vec-base-finetuned-imagenet1k,0.8360416
87,87,Calin/convnext-tiny-finteuned-eurosat,0.62008804
88,88,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.67393017
89,89,nielsr/convnext-tiny-finetuned-eurostat,0.6590232
90,90,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.689481
91,91,nielsr/convnext-tiny-finetuned-eurosat,0.69804215
92,92,microsoft/swin-large-patch4-window7-224,-0.12088671
93,93,microsoft/resnet-50,0.51054823
94,94,nielsr/convnext-xlarge-224-22k-1k,-0.20880005
95,95,microsoft/swin-large-patch4-window12-384,-0.097735554
96,96,facebook/convnext-xlarge-224-22k-1k,0.051887773
97,97,nielsr/convnext-xlarge-224-22k,-0.36362094
