,model,score
0,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8089725639773101
1,nateraw/vit-base-patch16-224-cifar10,0.8960783794921607
2,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8614543999807994
3,nateraw/vit-base-beans-demo,0.7941820930818795
4,nickmuchi/vit-base-beans,0.8676223975216089
5,nateraw/vit-base-beans-demo-v3,0.8032920565137824
6,nateraw/vit-base-beans-demo-v2,0.7989284191861702
7,mmekias/vit-base-beans,0.8629585449704699
8,nateraw/vit-base-beans,0.7978054066870744
9,mrm8488/convnext-tiny-finetuned-beans,0.891870350087249
10,nielsr/vit-finetuned-eurosat-kornia,0.8136162213997918
11,mrm8488/convnext-tiny-finetuned-eurosat,0.8228335066889565
12,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9096684662978692
13,Calin/convnext-tiny-finteuned-eurosat,0.8227706325762887
14,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.828377005654598
15,nielsr/convnext-tiny-finetuned-eurostat,0.8334719357113617
16,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8143564195412837
17,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7987284704989893
18,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7956579526634089
19,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7830984713495726
20,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7781649495472566
21,nielsr/convnext-tiny-finetuned-eurosat,0.8097316872841592
22,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7880611810769279
23,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.782903994810018
24,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8142475613214286
25,nielsr/van-base-finetuned-eurosat-imgaug,0.8496972018546438
26,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7881927959579106
27,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8154919725879357
28,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8058461578127923
29,eren23/pneumonia_test_attempt,0.7831950584022687
30,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.7936738069014483
31,nickmuchi/vit-base-xray-pneumonia,0.7960494406493905
32,IDEA-CCNL/Taiyi-vit-87M-D,0.7806993237241269
33,mrm8488/data2vec-base-finetuned-imagenet1k,0.8931338887221512
34,facebook/convnext-base-224,0.8999847168510273
35,facebook/convnext-small-224,0.8551810551876398
36,microsoft/swin-base-patch4-window7-224,0.8862378999464129
37,microsoft/beit-base-patch16-224,0.7607705574434604
38,facebook/convnext-tiny-224,0.8608848799003598
39,Visual-Attention-Network/van-small,0.8609413570364476
40,WinKawaks/vit-small-patch16-224,0.7429808363995691
41,facebook/deit-small-distilled-patch16-224,0.766264558995168
42,Visual-Attention-Network/van-base,0.8501165348435091
43,facebook/deit-small-patch16-224,0.796620877912809
44,microsoft/swin-small-patch4-window7-224,0.8222022226155311
45,Ahmed9275/ALL-3,0.8578153944194458
46,facebook/convnext-large-224,0.919575902102964
47,WinKawaks/vit-tiny-patch16-224,0.7028031591318478
48,Visual-Attention-Network/van-tiny,0.8768666239112571
49,facebook/deit-tiny-distilled-patch16-224,0.7269051745338692
50,Ahmed9275/ALL-test,0.856456696704713
51,facebook/deit-tiny-patch16-224,0.7263414239600321
52,microsoft/swin-tiny-patch4-window7-224,0.8349748906874559
53,Visual-Attention-Network/van-large,0.8853677944051929
54,facebook/convnext-base-224-22k-1k,0.9391295887173148
55,lysandre/tiny-vit-random,0.643826028291739
56,facebook/convnext-large-224-22k-1k,0.9720198905194939
57,facebook/convnext-base-384,1.0125892964643959
58,facebook/convnext-base-224-22k,0.8939767729298622
59,microsoft/swin-base-patch4-window7-224-in22k,0.8840958519085009
60,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8385106827344415
61,facebook/convnext-large-224-22k,0.99180584777312
62,nickmuchi/vit-finetuned-cats-dogs,0.7889310138114883
63,akahana/vit-base-cats-vs-dogs,0.7988245666100438
64,nateraw/vit-base-cats-vs-dogs,0.7999322309338808
65,nateraw/test_model_a,0.6639976926913522
66,nateraw/vit-base-food101,0.7735527242931156
67,eslamxm/vit-base-food101,0.7876446476708933
68,SriramSridhar78/sriram-car-classifier,0.7747587595376362
69,AkshatSurolia/ViT-FaceMask-Finetuned,0.7814639961340545
70,AkshatSurolia/BEiT-FaceMask-Finetuned,0.7010512981480563
71,AkshatSurolia/DeiT-FaceMask-Finetuned,0.9233815826658757
72,Ahmed9275/Vit-Cifar100,0.9441171737447387
73,Matthijs/snacks-classifier,0.8503284393715119
