,model,score
0,Rajaram1996/FacialEmoRecog,0.9355000372434368
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9476625603716692
2,Matthijs/snacks-classifier,0.9072637353982016
3,nateraw/vit-age-classifier,0.9194367568211638
4,ibombonato/vit-age-classifier,0.9308418005958468
5,ibombonato/swin-age-classifier,0.9026542170970672
6,mrm8488/convnext-tiny-finetuned-beans,0.9594958245849412
7,nateraw/vit-base-beans,0.9484480396567716
8,johnnydevriese/vit_beans,0.9232062581653872
9,nateraw/vit-base-beans-demo,0.9273775644860438
10,nickmuchi/vit-base-beans,0.9213650300986094
11,karthiksv/vit-base-beans,0.9345053012657718
12,nateraw/vit-base-beans-demo-v2,0.9428300713981952
13,nateraw/vit-base-beans-demo-v3,0.9459369781816972
14,nickmuchi/vit-finetuned-cats-dogs,0.9599698673735304
15,nateraw/vit-base-cats-vs-dogs,0.9396783788202713
16,ismgar01/vit-base-cats-vs-dogs,0.9180587702430202
17,nateraw/test_model_a,0.07217297657458688
18,akahana/vit-base-cats-vs-dogs,0.9167104939870342
19,eren23/pneumonia_test_attempt,0.954773062087787
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9493323888802145
21,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9375575950956376
22,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9575131299588141
23,Ahmed9275/Vit-Cifar100,0.8591697547477555
24,nielsr/vit-finetuned-eurosat-kornia,0.9508406943706229
25,Calin/convnext-tiny-finteuned-eurosat,0.9687597224921386
26,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9221023994109051
27,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9100627718139205
28,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.90513202011065
29,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.917734453956647
30,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9128452875092268
31,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9154122106980983
32,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9107871069051903
33,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.907984072919913
34,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9004469962551985
35,mrm8488/convnext-tiny-finetuned-eurosat,0.9692372276800648
36,nielsr/van-base-finetuned-eurosat-imgaug,0.9337821710228061
37,nateraw/vit-base-food101,0.9528800555157737
38,meame2010/rare-puppers,0.9506167939020636
39,nateraw/huggingpics-package-demo-2,0.9487609510959957
40,nateraw/rare-puppers,0.9484453876892428
41,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9483719015655661
42,nateraw/doggos-lol,0.9111395788353636
43,Amrrs/south-indian-foods,0.950478929651012
44,Amrrs/indian-foods,0.9330557072755378
45,jasmeen/dogs,0.955604801778679
46,HHousen/household-rooms,0.9502037147771827
47,nateraw/planes-trains-automobiles,0.9437188428193743
48,ipvikas/rare-puppers,0.9460807870531127
49,Sena/flowers,0.9476374741608842
50,driboune/skin_type,0.9508136595127364
51,AhmedSayeem/VIT_Basic,0.9285575791321513
