,model,score
0,Rajaram1996/FacialEmoRecog,0.8308407988971611
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8294828138001444
2,Matthijs/snacks-classifier,0.8216020738366081
3,nateraw/vit-age-classifier,0.8293253846521135
4,ibombonato/vit-age-classifier,0.8497124764901094
5,ibombonato/swin-age-classifier,0.8465787881649129
6,mrm8488/convnext-tiny-finetuned-beans,0.7704018831869868
7,nateraw/vit-base-beans,0.8503739513699482
8,johnnydevriese/vit_beans,0.8419119653530663
9,mmekias/vit-base-beans,0.8186230103830322
10,nateraw/vit-base-beans-demo,0.8144173849307225
11,nickmuchi/vit-base-beans,0.8121286603043402
12,karthiksv/vit-base-beans,0.8186733386295205
13,nateraw/vit-base-beans-demo-v2,0.7943812525132241
14,nateraw/vit-base-beans-demo-v3,0.846559054181541
15,nickmuchi/vit-finetuned-cats-dogs,0.7447069699154168
16,nateraw/vit-base-cats-vs-dogs,0.7759560399900056
17,ismgar01/vit-base-cats-vs-dogs,0.8205755831518644
18,nateraw/test_model_a,-0.062326214778008815
19,akahana/vit-base-cats-vs-dogs,0.8225272216682082
20,eren23/pneumonia_test_attempt,0.8388878458653534
21,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8520049016755921
22,nickmuchi/vit-base-xray-pneumonia,0.7955281316550111
23,nateraw/vit-base-patch16-224-cifar10,0.848095688994174
24,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8152755113831994
25,karthiksv/vit-base-patch16-224-cifar10,0.8856432154490536
26,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8324963655634322
27,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.7786506810008883
28,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.7822210258174893
29,jadohu/BEiT-finetuned,0.68463875336026
30,Ahmed9275/Vit-Cifar100,0.7881350201670855
31,nielsr/vit-finetuned-eurosat-kornia,0.7482345588113613
32,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7683280676233812
33,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8533978063615917
34,Calin/convnext-tiny-finteuned-eurosat,0.8695444470346543
35,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.741097244521425
36,nielsr/convnext-tiny-finetuned-eurosat,0.8612277496354777
37,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7104612132602969
38,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7340754108416907
39,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7833830974945573
40,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7601159246734845
41,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.793918261467182
42,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7060314658059806
43,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8339559043569458
44,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8304207801733363
45,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7765980728448403
46,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7520224026317711
47,nielsr/convnext-tiny-finetuned-eurostat,0.7974681117058231
48,mrm8488/convnext-tiny-finetuned-eurosat,0.8113370247894999
49,nielsr/van-base-finetuned-eurosat-imgaug,0.8101583753821912
50,nateraw/vit-base-food101,0.861447099653187
51,eslamxm/vit-base-food101,0.7496868894365665
52,meame2010/rare-puppers,0.8321991418643995
53,nateraw/huggingpics-package-demo-2,0.884193813001305
54,nateraw/rare-puppers,0.8261955458652699
55,gatecitypreservation/architectural_styles,0.8540586284739355
56,firas-spanioli/beer-whisky-wine-detection,0.8112937828784721
57,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8102243058657022
58,nateraw/doggos-lol,0.8042213901588908
59,jjhoffstein/lotr,0.8363218684139243
60,Amrrs/south-indian-foods,0.8771206512828966
61,Amrrs/indian-foods,0.9040694768273165
62,jasmeen/dogs,0.8173620068540924
63,HHousen/household-rooms,0.8127912046660625
64,nateraw/planes-trains-automobiles,0.7932037982223384
65,ipvikas/rare-puppers,0.8227953697752199
66,b25mayank3/shirt_identifier,0.8263963741420464
67,firebolt/llama_or_what2,0.8086450800829375
68,Sena/flowers,0.8273493501007674
69,driboune/skin_type,0.841172737239103
70,AhmedSayeem/VIT_Basic,0.8151885070319113
71,nateraw/rare-puppers-123,0.8188769979066773
72,Symbermine/rare-puppers,0.7870907563677464
73,juanfiguera/ice_cream,0.823727974051025
74,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.7468400881281756
75,hafidber/fruits,0.7489995657791781
76,hafidber/rare-puppers,0.7943670120840285
77,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8669783976821074
78,mmgyorke/vit-world-landmarks,0.8468479073435342
79,micole66/dwarf-goats,0.8287423183519997
80,nateraw/baseball-stadium-foods,0.8484573562725608
81,black/simple_kitchen,0.7888943941817809
82,jeffboudier/vision-transformers-spain-or-italy-fan,0.7363779973492751
83,hgarg/fruits,0.87138983424242
84,nateraw/denver-nyc-paris,0.8215214786412087
85,ajanco/greens,0.8647601811296368
86,drab/Infrastructures,0.8481570260316164
87,filipafcastro/beer_vs_wine,0.8391896963958679
88,ferdinand/rare-puppers,0.8531410848624715
89,nateraw/baked-goods,0.8260095239296344
90,edixo/road_good_damaged_condition,0.7801951973223344
91,lewtun/oz-fauna,0.8317778940614287
92,Sena/dog,0.8257635882738519
93,firebolt/llama_or_what,0.8242916675264953
94,nateraw/rare-puppers-new-auth,0.7653416952398159
95,Giuliano/places,0.8483102487281964
96,Hijazzi/rare-puppers,0.8129476464159833
97,Frodnar/bee-likes,0.8519525549786496
98,nateraw/pasta-pizza-ravioli,0.8270869078538993
99,nateraw/donut-or-bagel,0.8691724411848285
