,model,score
0,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9405172007122872
1,Matthijs/snacks-classifier,0.9046517681861729
2,ibombonato/swin-age-classifier,0.8995833696193207
3,mrm8488/convnext-tiny-finetuned-beans,0.9428393658933024
4,mmekias/vit-base-beans,0.8937217457895418
5,nateraw/vit-base-beans-demo,0.9091547429865061
6,karthiksv/vit-base-beans,0.8899127271785163
7,nateraw/vit-base-beans-demo-v2,0.9341706634692774
8,nateraw/test_model_a,0.07305656212259504
9,akahana/vit-base-cats-vs-dogs,0.9104757966842048
10,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9306255606921463
11,nateraw/vit-base-patch16-224-cifar10,0.8935980829398378
12,karthiksv/vit-base-patch16-224-cifar10,0.8933802752096804
13,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8966409341799157
14,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9524052398441871
15,jadohu/BEiT-finetuned,0.7562426263111595
16,nielsr/vit-finetuned-eurosat-kornia,0.9376554830393118
17,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9125747527983461
18,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9216877750765067
19,nielsr/convnext-tiny-finetuned-eurosat,0.9569645281320884
20,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9076063058227656
21,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9077474839783677
22,nielsr/convnext-tiny-finetuned-eurostat,0.9348684326859575
23,nielsr/van-base-finetuned-eurosat-imgaug,0.917416868798213
24,nateraw/huggingpics-package-demo-2,0.9287603069600066
25,nateraw/rare-puppers,0.9320565142885286
26,gatecitypreservation/architectural_styles,0.9276769674156489
27,firas-spanioli/beer-whisky-wine-detection,0.9478059545850326
28,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.931583981283183
29,nateraw/doggos-lol,0.8902652668529056
30,Amrrs/south-indian-foods,0.9417818827734742
31,jasmeen/dogs,0.9470837438088181
32,HHousen/household-rooms,0.9318698855053137
33,driboune/skin_type,0.9437789240452374
34,AhmedSayeem/VIT_Basic,0.8849346909554006
35,Symbermine/rare-puppers,0.9278162765749773
36,hafidber/fruits,0.8888622247313916
37,hafidber/rare-puppers,0.9339861990203624
38,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8752945785635997
39,nateraw/baseball-stadium-foods,0.8844159892024344
40,black/simple_kitchen,0.9403044401122782
41,jeffboudier/vision-transformers-spain-or-italy-fan,0.9173724835318455
42,ajanco/greens,0.9273837747559792
43,filipafcastro/beer_vs_wine,0.8944788870455006
44,edixo/road_good_damaged_condition,0.8897983098230644
45,Sena/dog,0.925389847052893
46,firebolt/llama_or_what,0.9228034688584786
47,nateraw/donut-or-bagel,0.8826282736518356
48,jmarshall/rare-puppers,0.9216364287660797
49,nateraw/rare-puppers-demo,0.8631219109846847
50,nateraw/trainer-rare-puppers,0.8303659963675663
51,nateraw/ex-for-evan,0.8917124617246605
52,johnnydevriese/vit-airplanes,0.8724732472000475
53,Neto71/sea_mammals,0.889655324685205
54,iyzg/computer-stuff,0.8873792525251828
55,nateraw/rare-puppers-09-04-2021,0.9435499301079702
56,facebook/convnext-base-224,0.9537186754522041
57,Visual-Attention-Network/van-base,0.913631591651128
58,facebook/deit-base-patch16-224,0.8964055917162056
59,mrm8488/data2vec-base-finetuned-imagenet1k,0.7952067732650856
60,microsoft/swin-tiny-patch4-window7-224,0.9169871635448433
61,facebook/convnext-large-224,0.9398357598630536
62,facebook/deit-tiny-distilled-patch16-224,0.8246001073486147
63,WinKawaks/vit-tiny-patch16-224,0.734426196610154
64,WinKawaks/vit-small-patch16-224,0.907277381126446
65,facebook/convnext-tiny-224,0.9645317936593705
66,facebook/deit-small-patch16-224,0.8901207952598056
67,facebook/convnext-small-224,0.9602763787000852
68,microsoft/swin-small-patch4-window7-224,0.896983206032274
69,microsoft/beit-base-patch16-224,0.7538702257927723
70,facebook/deit-tiny-patch16-224,0.7967218275296603
71,Ahmed9275/ALL-3,0.8931163155832721
72,microsoft/resnet-50,0.8445406360846339
73,Visual-Attention-Network/van-large,0.8857859647884441
74,facebook/convnext-large-224-22k-1k,0.9730220418448677
75,google/vit-large-patch32-384,0.8909644103413954
76,google/vit-large-patch16-224,0.8692655059449969
77,facebook/convnext-base-384,0.9630291318382391
78,facebook/deit-base-distilled-patch16-384,0.9510890958590702
79,facebook/convnext-large-384,0.8404951073248372
80,facebook/deit-base-patch16-384,0.9511178277966293
81,google/vit-base-patch16-384,0.9514827125508575
82,facebook/convnext-large-224-22k,0.9944129225725318
83,facebook/convnext-xlarge-224-22k,0.9657321622062273
84,microsoft/swin-base-patch4-window12-384-in22k,0.9420539962898336
85,imjeffhi/pokemon_classifier,0.8607324114537664
86,AkshatSurolia/ViT-FaceMask-Finetuned,0.8366557243855726
87,SriramSridhar78/sriram-car-classifier,0.9311191519968713
