,model,score
0,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8722083384708768
1,nateraw/vit-base-patch16-224-cifar10,0.7436749550698047
2,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.7413704360190023
3,nateraw/vit-base-beans-demo,0.7303136780526696
4,nickmuchi/vit-base-beans,0.6825970861786829
5,nateraw/vit-base-beans-demo-v3,0.7764442115358089
6,nateraw/vit-base-beans-demo-v2,0.7873095027353613
7,mmekias/vit-base-beans,0.7700154203266559
8,nateraw/vit-base-beans,0.8470184584733932
9,mrm8488/convnext-tiny-finetuned-beans,0.8777405372029837
10,nielsr/vit-finetuned-eurosat-kornia,0.7214475140945892
11,mrm8488/convnext-tiny-finetuned-eurosat,0.8771290308132677
12,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8558339735308277
13,Calin/convnext-tiny-finteuned-eurosat,0.8384536907992491
14,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.797191900102327
15,nielsr/convnext-tiny-finetuned-eurostat,0.7527240244298303
16,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8524411963209354
17,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8566303007536263
18,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8427210432343478
19,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8588967006524763
20,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8558429282244907
21,nielsr/convnext-tiny-finetuned-eurosat,0.7897218223511352
22,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8514523097746961
23,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8265323692345488
24,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8268006025476216
25,nielsr/van-base-finetuned-eurosat-imgaug,0.6565071897276872
26,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8502882467637288
27,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8295851453563443
28,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8540219860023627
29,eren23/pneumonia_test_attempt,0.8021052261379449
30,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.7826704601137195
31,nickmuchi/vit-base-xray-pneumonia,0.6819345341028695
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8007880463652862
33,mrm8488/data2vec-base-finetuned-imagenet1k,0.6869016960488311
34,facebook/convnext-base-224,0.9439500618229558
35,facebook/convnext-small-224,0.87428674071334
36,microsoft/swin-base-patch4-window7-224,0.9387324659722481
37,microsoft/beit-base-patch16-224,0.6015939533191701
38,facebook/convnext-tiny-224,0.9291524836288844
39,Visual-Attention-Network/van-small,0.8280523404103495
40,WinKawaks/vit-small-patch16-224,0.7899078989778575
41,facebook/deit-small-distilled-patch16-224,0.7373526907453565
42,Visual-Attention-Network/van-base,0.8326374813204741
43,facebook/deit-small-patch16-224,0.7417458250254482
44,microsoft/swin-small-patch4-window7-224,0.9449111005875582
45,Ahmed9275/ALL-3,0.9016140830649911
46,facebook/convnext-large-224,0.9805922341277155
47,WinKawaks/vit-tiny-patch16-224,0.7152016247513756
48,Visual-Attention-Network/van-tiny,0.6294732109186197
49,facebook/deit-tiny-distilled-patch16-224,0.7434839188426315
50,Ahmed9275/ALL-test,0.8429445143518739
51,facebook/deit-tiny-patch16-224,0.7961104016292254
52,microsoft/swin-tiny-patch4-window7-224,0.9416242268318534
53,Visual-Attention-Network/van-large,0.7936207857776636
54,facebook/convnext-base-224-22k-1k,0.9935353290298395
55,lysandre/tiny-vit-random,0.6349919397657815
56,facebook/convnext-large-224-22k-1k,1.0972924885377582
57,facebook/convnext-base-384,0.9102043736559743
58,facebook/convnext-base-224-22k,1.0083634250427398
59,microsoft/swin-base-patch4-window7-224-in22k,0.9650501289352783
60,microsoft/beit-base-patch16-224-pt22k-ft22k,0.632428263097924
61,facebook/convnext-large-224-22k,1.0257514525216425
62,nickmuchi/vit-finetuned-cats-dogs,0.7990798845977666
63,akahana/vit-base-cats-vs-dogs,0.7386506525801638
64,nateraw/vit-base-cats-vs-dogs,0.7624218611892267
65,nateraw/test_model_a,0.6119758006196725
66,nateraw/vit-base-food101,0.7981911078326513
67,eslamxm/vit-base-food101,0.7235020027715429
68,SriramSridhar78/sriram-car-classifier,0.7505802457659301
69,AkshatSurolia/ViT-FaceMask-Finetuned,0.6591866781838513
70,AkshatSurolia/BEiT-FaceMask-Finetuned,0.6983096690993085
71,AkshatSurolia/DeiT-FaceMask-Finetuned,0.678430964550613
72,Ahmed9275/Vit-Cifar100,0.7183115251758062
73,Matthijs/snacks-classifier,0.8829584882706971
