,model,score
0,google/vit-base-patch16-224,0.8961799537009643
1,IDEA-CCNL/Taiyi-vit-87M-D,0.897501147238423
2,facebook/deit-base-patch16-224,0.9012928484955846
3,facebook/deit-base-distilled-patch16-224,0.9003068273763981
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8947556753554443
5,facebook/convnext-base-224,0.9084865028325508
6,facebook/convnext-small-224,0.9063522906789899
7,microsoft/swin-base-patch4-window7-224,0.9008235545121229
8,microsoft/beit-base-patch16-224,0.7203731160692399
9,facebook/convnext-tiny-224,0.90480222943524
10,Visual-Attention-Network/van-small,0.8894635676229241
11,WinKawaks/vit-small-patch16-224,0.8626451808307407
12,facebook/deit-small-distilled-patch16-224,0.8816627017205495
13,Visual-Attention-Network/van-base,0.8853628999392481
14,facebook/deit-small-patch16-224,0.8881804991035847
15,microsoft/swin-small-patch4-window7-224,0.8930577443796447
16,Ahmed9275/ALL-3,0.8981535156269678
17,facebook/convnext-large-224,0.9093104760423297
18,WinKawaks/vit-tiny-patch16-224,0.7415390218484755
19,Visual-Attention-Network/van-tiny,0.887928983241774
20,facebook/deit-tiny-distilled-patch16-224,0.8526520522913319
21,Ahmed9275/ALL-test,0.894058391949038
22,facebook/deit-tiny-patch16-224,0.8612302832873171
23,microsoft/swin-tiny-patch4-window7-224,0.8950556621218716
24,Visual-Attention-Network/van-large,0.898712862702439
25,google/vit-base-patch32-384,0.9065171619939966
26,facebook/convnext-base-224-22k-1k,0.8995062747028567
27,google/vit-large-patch32-384,0.895624483644372
28,microsoft/swin-large-patch4-window7-224,0.9118515969638531
29,lysandre/tiny-vit-random,0.027404012861689635
30,facebook/convnext-large-224-22k-1k,0.910847479973189
31,facebook/convnext-base-384,0.9030654664317623
32,microsoft/resnet-50,0.9041302371097979
33,microsoft/beit-base-patch16-224-pt22k,0.6448565417459262
34,microsoft/beit-large-patch16-224,0.6724600617359568
35,google/vit-large-patch16-224,0.9039822482641496
36,facebook/convnext-large-384,0.9102287296202922
37,facebook/convnext-large-384-22k-1k,0.9127712357493314
38,nielsr/convnext-xlarge-224-22k-1k,0.9135662511411202
39,facebook/deit-base-patch16-384,0.9049522176287148
40,google/vit-base-patch16-384,0.9123014374295895
41,facebook/deit-base-distilled-patch16-384,0.9042304194391909
42,facebook/convnext-xlarge-224-22k-1k,0.9116823629939721
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8969426650857971
44,karthiksv/vit-base-patch16-224-cifar10,0.9075421116335047
45,nateraw/vit-base-patch16-224-cifar10,0.9072993601582655
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9075421116335047
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9072993601582655
48,jadohu/BEiT-finetuned,0.8699407315137205
49,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9065775619687416
50,nateraw/vit-base-beans-demo,0.9072993601582655
51,nickmuchi/vit-base-beans,0.9072993601582655
52,karthiksv/vit-base-beans,0.9075421116335047
53,nateraw/vit-base-beans-demo-v3,0.9072993601582655
54,johnnydevriese/vit_beans,0.9072993601582655
55,nateraw/vit-base-beans-demo-v2,0.9072993601582655
56,mmekias/vit-base-beans,0.9075421116335047
57,nateraw/vit-base-beans,0.9075421116335047
58,mrm8488/convnext-tiny-finetuned-beans,0.9042707289954666
59,nielsr/vit-finetuned-eurosat-kornia,0.8974482380931411
60,mrm8488/convnext-tiny-finetuned-eurosat,0.8863226827442687
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8863226827442687
62,Calin/convnext-tiny-finteuned-eurosat,0.9018176393692839
63,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8959852477670089
64,nielsr/convnext-tiny-finetuned-eurostat,0.8946179388441133
65,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.894892045580032
66,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8918794337957743
67,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8918794337957743
68,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8918794337957743
69,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.891131109313191
70,nielsr/convnext-tiny-finetuned-eurosat,0.8881566424379428
71,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8924229422191019
