,model,score
0,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-0.07069060667717729
1,nateraw/vit-base-patch16-224-cifar10,0.31930030586114005
2,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-0.5931558767385998
3,nateraw/vit-base-beans-demo,0.005581315112268824
4,nickmuchi/vit-base-beans,0.005581315112268824
5,nateraw/vit-base-beans-demo-v3,0.005581315112268824
6,nateraw/vit-base-beans-demo-v2,0.005581315112268824
7,mmekias/vit-base-beans,0.3265854196673076
8,nateraw/vit-base-beans,0.022527914164908715
9,mrm8488/convnext-tiny-finetuned-beans,0.2920096242790158
10,nielsr/vit-finetuned-eurosat-kornia,-0.07069060667717729
11,mrm8488/convnext-tiny-finetuned-eurosat,0.4330205738196725
12,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.4017501487532518
13,Calin/convnext-tiny-finteuned-eurosat,0.16672529072649211
14,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.12208649039936617
15,nielsr/convnext-tiny-finetuned-eurostat,0.12635047531576724
16,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.08171167498864118
17,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.12208649039936617
18,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4600848371894747
19,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5266414612206958
20,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.37796042546768627
21,nielsr/convnext-tiny-finetuned-eurosat,0.12208649039936617
22,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.31163470792654996
23,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4600848371894747
24,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5147905274557397
25,nielsr/van-base-finetuned-eurosat-imgaug,0.2244293888171608
26,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4600848371894747
27,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5147905274557397
28,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5266414612206958
29,eren23/pneumonia_test_attempt,-0.5931558767385998
30,nickmuchi/vit-finetuned-chest-xray-pneumonia,-0.5931558767385998
31,nickmuchi/vit-base-xray-pneumonia,-0.6011482104654775
32,IDEA-CCNL/Taiyi-vit-87M-D,-0.047471125591999515
33,mrm8488/data2vec-base-finetuned-imagenet1k,0.01189966813874826
34,facebook/convnext-base-224,0.46490434457054236
35,facebook/convnext-small-224,0.35241548091656794
36,microsoft/swin-base-patch4-window7-224,1.384518962121575
37,microsoft/beit-base-patch16-224,-0.8268030627986307
38,facebook/convnext-tiny-224,0.4894554642298038
39,Visual-Attention-Network/van-small,0.17173641161257402
40,WinKawaks/vit-small-patch16-224,-0.6468588821491486
41,facebook/deit-small-distilled-patch16-224,-0.018736142330270152
42,Visual-Attention-Network/van-base,0.1713725910981903
43,facebook/deit-small-patch16-224,-0.6252078040629585
44,microsoft/swin-small-patch4-window7-224,0.4626340729314785
45,Ahmed9275/ALL-3,0.3773405023260793
46,facebook/convnext-large-224,1.4942408220243246
47,WinKawaks/vit-tiny-patch16-224,-0.6848980742667249
48,Visual-Attention-Network/van-tiny,-0.5153115961763775
49,facebook/deit-tiny-distilled-patch16-224,-0.6798585239304542
50,Ahmed9275/ALL-test,0.05188972239473933
51,facebook/deit-tiny-patch16-224,-0.6821638338564722
52,microsoft/swin-tiny-patch4-window7-224,0.44255357296261466
53,Visual-Attention-Network/van-large,0.17925199177310236
54,facebook/convnext-base-224-22k-1k,1.4687300519462503
55,lysandre/tiny-vit-random,-0.9008690935013849
56,facebook/convnext-large-224-22k-1k,2.1653185784457527
57,facebook/convnext-base-384,0.6931606153145163
58,facebook/convnext-base-224-22k,1.1402276569744025
59,microsoft/swin-base-patch4-window7-224-in22k,1.2559598881380092
60,microsoft/beit-base-patch16-224-pt22k-ft22k,-0.6633535476624146
61,facebook/convnext-large-224-22k,2.2257601313399022
62,nickmuchi/vit-finetuned-cats-dogs,-0.5780281930493457
63,akahana/vit-base-cats-vs-dogs,-0.5867934258446409
64,nateraw/vit-base-cats-vs-dogs,-0.5862064650424506
65,nateraw/test_model_a,-0.898315432879187
66,nateraw/vit-base-food101,-0.6011482104654775
67,eslamxm/vit-base-food101,-0.599791959489509
68,SriramSridhar78/sriram-car-classifier,-0.6090501163091129
69,AkshatSurolia/ViT-FaceMask-Finetuned,-0.6142548500780175
70,AkshatSurolia/BEiT-FaceMask-Finetuned,-0.6438981178670536
71,AkshatSurolia/DeiT-FaceMask-Finetuned,-0.6236871275190681
72,Ahmed9275/Vit-Cifar100,0.31616105225840724
73,Matthijs/snacks-classifier,0.24439019204564802
