,model,score
0,google/vit-base-patch16-224,0.8962811315934333
1,IDEA-CCNL/Taiyi-vit-87M-D,0.896833800480112
2,facebook/deit-base-patch16-224,0.8954392564180229
3,facebook/deit-base-distilled-patch16-224,0.8942771867009024
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8182426328587051
5,facebook/convnext-base-224,0.894555091039189
6,facebook/convnext-small-224,0.8921365655610781
7,microsoft/swin-base-patch4-window7-224,0.8945312616433854
8,microsoft/beit-base-patch16-224,0.8003204619155917
9,facebook/convnext-tiny-224,0.8905255089153773
10,Visual-Attention-Network/van-small,0.8901213042047316
11,WinKawaks/vit-small-patch16-224,0.8084645079077363
12,facebook/deit-small-distilled-patch16-224,0.8851700581728724
13,Visual-Attention-Network/van-base,0.8901213042047316
14,facebook/deit-small-patch16-224,0.8928511957671423
15,microsoft/swin-small-patch4-window7-224,0.8885163167852969
16,Ahmed9275/ALL-3,0.8926207307206261
17,facebook/convnext-large-224,0.895398115425466
18,WinKawaks/vit-tiny-patch16-224,0.7833049711481967
19,Visual-Attention-Network/van-tiny,0.8914985064783248
20,facebook/deit-tiny-distilled-patch16-224,0.8087054650368825
21,Ahmed9275/ALL-test,0.8788303928266634
22,facebook/deit-tiny-patch16-224,0.8362230917641041
23,microsoft/swin-tiny-patch4-window7-224,0.8923855682826223
24,Visual-Attention-Network/van-large,0.8902601232343892
25,google/vit-base-patch32-384,0.8955757256121373
26,facebook/convnext-base-224-22k-1k,0.8952585778395344
27,google/vit-large-patch32-384,0.8935318923246877
28,microsoft/swin-large-patch4-window7-224,0.894493668319081
29,lysandre/tiny-vit-random,0.08281165489208625
30,facebook/convnext-large-224-22k-1k,0.8956360210234944
31,facebook/convnext-base-384,0.8953767957059262
32,microsoft/resnet-50,0.8614328124540236
33,microsoft/beit-base-patch16-224-pt22k,0.7489314063166481
34,microsoft/beit-large-patch16-224,0.7624837447398467
35,google/vit-large-patch16-224,0.8958704230184809
36,facebook/convnext-large-384,0.8962053254521674
37,facebook/convnext-large-384-22k-1k,0.8934057172660396
38,nielsr/convnext-xlarge-224-22k-1k,0.8947373087394815
39,facebook/deit-base-patch16-384,0.8968502446482697
40,google/vit-base-patch16-384,0.8971579252286414
41,facebook/deit-base-distilled-patch16-384,0.8944992767661814
42,facebook/convnext-xlarge-224-22k-1k,0.8951485335429992
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8844225246580584
44,karthiksv/vit-base-patch16-224-cifar10,0.8844225246580584
45,nateraw/vit-base-patch16-224-cifar10,0.8934630647459259
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.891907562526058
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8900430411006621
48,jadohu/BEiT-finetuned,0.8318703250899013
49,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8844958176769973
50,nateraw/vit-base-beans-demo,0.8925813617054986
51,nickmuchi/vit-base-beans,0.8953239382207301
52,karthiksv/vit-base-beans,0.8953239382207301
53,nateraw/vit-base-beans-demo-v3,0.8934803161692616
54,johnnydevriese/vit_beans,0.8920672953652626
55,nateraw/vit-base-beans-demo-v2,0.894763935865864
56,mmekias/vit-base-beans,0.8941976385750893
57,nateraw/vit-base-beans,0.8946047446983763
58,mrm8488/convnext-tiny-finetuned-beans,0.8913576935607604
59,nielsr/vit-finetuned-eurosat-kornia,0.8823547064789793
60,mrm8488/convnext-tiny-finetuned-eurosat,0.8826112431899114
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8681095379878375
62,Calin/convnext-tiny-finteuned-eurosat,0.8819598021441051
63,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8708353820166943
64,nielsr/convnext-tiny-finetuned-eurostat,0.8711595067652235
65,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8860075095916572
66,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.867300724200534
67,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.871778682291
68,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.867300724200534
69,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.867300724200534
70,nielsr/convnext-tiny-finetuned-eurosat,0.8838893980202218
71,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.867300724200534
72,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8703506929779198
73,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.867300724200534
74,nielsr/van-base-finetuned-eurosat-imgaug,0.8762437958619772
75,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.867300724200534
76,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.867300724200534
77,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.867300724200534
78,eren23/pneumonia_test_attempt,0.8874920808588124
79,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8947751901337267
80,nickmuchi/vit-base-xray-pneumonia,0.8910761807842775
81,facebook/convnext-base-224-22k,0.8940683806720954
82,microsoft/swin-large-patch4-window7-224-in22k,0.8949983974396981
83,microsoft/swin-base-patch4-window7-224-in22k,0.8954695833171297
84,microsoft/beit-base-patch16-224-pt22k-ft22k,0.787217317294013
85,facebook/convnext-large-224-22k,0.8960758436443567
86,facebook/convnext-xlarge-224-22k,0.8975762010065559
87,microsoft/swin-base-patch4-window12-384-in22k,0.8954695833171297
88,microsoft/beit-large-patch16-224-pt22k-ft22k,0.7857959817303921
89,nielsr/convnext-xlarge-224-22k,0.8959452896391202
90,nickmuchi/vit-finetuned-cats-dogs,0.889460477515881
91,ismgar01/vit-base-cats-vs-dogs,0.8897846022644101
92,akahana/vit-base-cats-vs-dogs,0.8736874236426125
93,nateraw/vit-base-cats-vs-dogs,0.8897846022644101
94,nateraw/test_model_a,0.06740239160140492
95,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8931389399973965
96,Matthijs/snacks-classifier,0.879804876674787
